q**2_data,ln(I(q))_data,error_data,q**2_fit,ln(I(q))_fit,normalized_residual,
8.992962385064225e-06,-3.611509999268443,0.11248772942415906,2.2207111195770842e-05,-3.7323135652705735,1.3217615016880857,
1.0787476421086113e-05,-3.744030653256286,0.0687293052692522,2.4980451069622847e-05,-3.7332956264843054,1.0049800860956144,
1.2745128096746354e-05,-3.9167457231810974,0.06797979519639126,2.7916928583113205e-05,-3.7343354560047275,0.9621096167947456,
1.4865917412044946e-05,-3.6480225080407975,0.04354914756430915,3.101654373624192e-05,-3.73543305383184,-0.8039513632374572,
1.7149844366981893e-05,-3.7127809343575575,0.03682103885731085,3.4279296529008984e-05,-3.736588419965642,0.31381649547549023,
1.959690896155719e-05,-3.708970055028055,0.031046557804665725,3.770518696141441e-05,-3.7378015544061345,0.47090257681653586,
2.2207111195770842e-05,-3.695305529938703,0.027999026514697028,4.129421503345817e-05,-3.739072457153317,-0.266916059656332,
2.4980451069622847e-05,-3.7064508080238125,0.026711791439356713,4.504638074514029e-05,-3.74040112820719,0.4920813690069771,
2.7916928583113205e-05,-3.709619001539359,0.025689852833725064,4.896168409646078e-05,-3.7417875675677528,-0.37407408706581285,
3.101654373624192e-05,-3.756827922993016,0.026612143643889852,5.30401250874196e-05,-3.7432317752350057,0.12065142972395153,
3.4279296529008984e-05,-3.7285195142522256,0.025712178390082913,5.72817037180168e-05,-3.744733751208949,0.04501130274966098,
3.770518696141441e-05,-3.726042611225187,0.02497107418787559,6.168641998825232e-05,-3.7462934954895823,0.20056795628274535,
4.129421503345817e-05,-3.7456382005159816,0.02459853247915541,6.625427389812625e-05,-3.7479110080769056,-1.267933592966497,
4.504638074514029e-05,-3.728846075652004,0.023481995627073066,7.098526544763845e-05,-3.749586288970919,-0.9885959908394317,
4.896168409646078e-05,-3.7505451881375627,0.02341146011610559,7.587939463678908e-05,-3.7513193381716228,-2.029324204522206,
5.30401250874196e-05,-3.7404656509726153,0.022926576740277923,8.0936661465578e-05,-3.7531101556790163,0.5645031454556297,
5.72817037180168e-05,-3.7437060221434786,0.022832688740120264,8.615706593400533e-05,-3.7549587414931,-0.23428228061880688,
6.168641998825232e-05,-3.741899177520095,0.021909372019987185,9.154060804207099e-05,-3.756865095613874,-1.0345080505632185,
6.625427389812625e-05,-3.776009809052133,0.022161098287085054,9.7087287789775e-05,-3.7588292180413383,0.12134681002118505,
7.098526544763845e-05,-3.7712982133175337,0.021962383570035215,0.00010279710517711737,-3.7608511087754923,0.4854949349021041,
7.587939463678908e-05,-3.7959003035732213,0.02196838006576424,0.00010867006020409808,-3.7629307678163366,-0.09457798508597147,
8.0936661465578e-05,-3.7413742023901624,0.02078988112525293,0.00011470615287071715,-3.765068195163871,0.8576997882237577,
8.615706593400533e-05,-3.7597612298286136,0.020498726249500398,0.00012090538317697457,-3.7672633908180955,-0.03900697607663358,
9.154060804207099e-05,-3.7779960382493187,0.02042607848623347,0.00012726775112287036,-3.76951635477901,0.05733271928584853,
9.7087287789775e-05,-3.7563331521588395,0.02056968685096109,0.00013379325670840448,-3.771827087046615,0.27864031704905945,
0.00010279710517711737,-3.7514077443126848,0.019451005116483355,0.00014048189993357696,-3.77419558762091,0.1906786975496942,
0.00010867006020409808,-3.7647576362045907,0.019316000299577668,0.00014733368079838783,-3.7766218565018947,0.1996927144366463,
0.00011470615287071715,-3.74862107290268,0.01917584974021298,0.000154348599302837,-3.7791058936895703,1.9024843707672765,
0.00012090538317697457,-3.768011852042349,0.019187881233941672,0.00016152665544692457,-3.781647699183935,-1.148235230951156,
0.00012726775112287036,-3.7684120736617395,0.019260923448700562,0.00016886784923065052,-3.7842472729849908,1.942328799748329,
0.00013379325670840448,-3.766700357843165,0.018399093346377293,0.00017637218065401472,-3.786904615092736,1.1455448837965798,
0.00014048189993357696,-3.7706532718433907,0.018577407036231664,0.00018403964971701732,-3.7896197255071717,-0.2573373786392269,
0.00014733368079838783,-3.7729476409952674,0.018399346801372937,0.00019187025641965834,-3.7923926042282976,0.9971735255767044,
0.000154348599302837,-3.74748500036275,0.016620842626984364,0.00019986400076193764,-3.7952232512561133,-0.6557322385536162,
0.00016152665544692457,-3.8012427718742288,0.017065381867844055,0.00020802088274385526,-3.7981116665906196,-1.1813237897624564,
0.00016886784923065052,-3.7537707380163265,0.015690718776662893,0.00021634090236541127,-3.8010578502318153,0.0023709459022139175,
0.00017637218065401472,-3.768801641008077,0.015802937397495838,0.0002248240596266057,-3.8040618021797017,1.7958119527475345,
0.00018403964971701732,-3.7936491907540626,0.01565829755552124,0.0002334703545274384,-3.807123522434278,-0.09380483964988315,
0.00019187025641965834,-3.7772785552127583,0.01515688957626328,0.00024227978706790944,-3.8102430109955443,-1.9693013284459686,
0.00019986400076193764,-3.8052141999567257,0.015236323781563688,0.00025125235724801886,-3.813420267863501,0.8572379462155552,
0.00020802088274385526,-3.8160848088768087,0.015214408142752425,0.00026038806506776673,-3.816655293038148,0.5166630412796844,
0.00021634090236541127,-3.8010228765845118,0.014750925894547181,0.00026968691052715275,-3.8199480865194846,-0.154006848777526,
0.0002248240596266057,-3.7786558408099507,0.014147339497813643,0.00027914889362617724,-3.8232986483075115,1.0912240141668428,
0.0002334703545274384,-3.8084743456037864,0.014400356895767073,0.0002887740143648402,-3.8267069784022287,-0.6840279697616253,
0.00024227978706790944,-3.8386835722591934,0.014441955049150546,0.00029856227274314143,-3.8301730768036357,-1.8692136208070256,
0.00025125235724801886,-3.801474556172464,0.013935117715884803,0.00030851366876108086,-3.833696943511733,-0.6496541685986494,
0.00026038806506776673,-3.809533949509233,0.01378334225586656,0.00031862820241865877,-3.8372785785265204,-0.3346147917207014,
0.00026968691052715275,-3.8220608754516365,0.013718798539953371,0.00032890587371587514,-3.840917981847998,0.4060956149429019,
0.00027914889362617724,-3.8086381025341147,0.013434955227401447,0.00033934668265272973,-3.8446151534761657,0.05317622867471569,
0.0002887740143648402,-3.8359524376340213,0.01351620056562082,0.00034995062922922257,-3.8483700934110234,0.043176270649933644,
0.00029856227274314143,-3.85569711781022,0.01365496202385061,0.000360717713445354,-3.8521828016525714,-0.501908086422797,
0.00030851366876108086,-3.8423725731901333,0.013354227676417828,0.0003716479353011237,-3.8560532782008092,0.6721199599473967,
0.00031862820241865877,-3.8416782313532916,0.013148411055430749,0.00038274129479653167,-3.8599815230557373,-0.2770752075610207,
0.00032890587371587514,-3.8356205429394516,0.01304480697062276,0.0003939977919315781,-3.8639675362173556,-0.21356383968290216,
0.00033934668265272973,-3.843931996177242,0.012847043048174682,0.0004054174267062628,-3.868011317685664,-2.021924639184187,
0.00034995062922922257,-3.8478158096812387,0.0128376935163939,0.00041700019912058585,-3.8721128674606624,-1.4323937165887481,
0.000360717713445354,-3.858684787967687,0.012954535882170087,0.0004287461091745473,-3.876272185542351,-1.00871810646641,
0.0003716479353011237,-3.847662451655449,0.01248412046268758,0.0004406551568681471,-3.88048927193073,1.0548855483525912,
0.00038274129479653167,-3.8635038619840354,0.012712573453625902,0.0004527273422013852,-3.884764126625799,-0.007230528077149946,
0.0003939977919315781,-3.8666274710879645,0.012454987110918884,0.0004649626651742617,-3.8890967496275577,-1.1849278966120949,
0.0004054174267062628,-3.8938641984386893,0.01278627316370029,0.0004773611257867766,-3.893487140936007,-0.6469733459542334,
0.00041700019912058585,-3.8902426906536385,0.012657011115737315,0.0004899227240389298,-3.897935300551146,-0.10887961150007695,
0.0004287461091745473,-3.888730782405902,0.012350920226062163,0.0005026474599307213,-3.9024412284729753,-1.0970528678748344,
0.0004406551568681471,-3.8676921095925856,0.01213132776169838,0.0005155353334621512,-3.9070049247014946,1.4837183479022904,
0.0004527273422013852,-3.8848518508373817,0.012132476445268405,0.0005285863446332195,-3.9116263892367042,-0.12527822453967286,
0.0004649626651742617,-3.903693975141198,0.012319083342856797,0.0005418004934439261,-3.916305622078604,0.20267962681822244,
0.0004773611257867766,-3.901377506214257,0.012195811972149168,0.000555177779894271,-3.9210426232271938,1.2786262706470986,
0.0004899227240389298,-3.899239608372302,0.011979357780450459,0.0005687182039842544,-3.9258373926824737,-0.5295282948683416,
0.0005026474599307213,-3.915724987113212,0.01210858567460795,0.0005824217657138763,-3.930689930444444,0.8239963399261594,
0.0005155353334621512,-3.8895450931281728,0.011767618563190863,0.0005962884650831361,-3.9356002365131038,0.48492808414474875,
0.0005285863446332195,-3.913119236298225,0.011916253339366257,0.0006103183020920344,-3.940568310888454,-0.8276667949881114,
0.0005418004934439261,-3.9139217470694194,0.011761789019488957,0.0006245112767405712,-3.9455941535704944,-1.331224681023453,
0.000555177779894271,-3.9060706281471655,0.011709438030278433,0.0006388673890287463,-3.950677764559225,-0.6278037242115471,
0.0005687182039842544,-3.9320888628512125,0.011805733950993423,0.0006533866389565597,-3.9558191438546455,0.5372261452533919,
0.0005824217657138763,-3.921114262292756,0.011621008113392527,0.0006680690265240117,-3.9610182914567567,2.381903061823372,
0.0005962884650831361,-3.929958127509278,0.011634939671058003,0.0006829145517311016,-3.966275207365557,-0.45371375677631454,
0.0006103183020920344,-3.9502733490881257,0.011725779333470937,0.0006979232145778304,-3.9715898915810484,0.9912114697606388,
0.0006245112767405712,-3.96129348788993,0.011793151481661296,0.0007130950150641971,-3.9769623441032294,-0.17330051712713662,
0.0006388673890287463,-3.957986045911152,0.011641028987372742,0.0007284299531902022,-3.9823925649321006,2.423908151497241,
0.0006533866389565597,-3.949647871265473,0.01148729011738982,0.000743928028955846,-3.987880554067662,0.39416646592650806,
0.0006680690265240117,-3.93406285313033,0.011316765471468053,0.0007595892423611279,-3.9934263115099133,-0.11599845022741832,
0.0006829145517311016,-3.971504720332414,0.011526018086851006,0.0007754135934060479,-3.999029837258855,-1.1882968988527371,
0.0006979232145778304,-3.9602475827728534,0.01144287485992667,0.0007914010820906067,-4.004691131314487,0.28551231613381917,
0.0007130950150641971,-3.9789353749483456,0.011385025721930118,0.0008075517084148035,-4.010410193676808,-0.5334906250691965,
0.0007284299531902022,-3.95509293469662,0.011262650450932941,0.000823865472378639,-4.016187024345821,0.6550410589673763,
0.000743928028955846,-3.983398010686492,0.011372208872801276,0.0008403423739821127,-4.022021623321523,-1.193661701783171,
0.0007595892423611279,-3.9947515636599427,0.011424740136020146,0.0008569824132252246,-4.027913990603915,0.9832097786606687,
0.0007754135934060479,-4.013084932011127,0.01182793186268678,0.0008737855901079751,-4.033864126192997,0.7691672536326385,
0.0007914010820906067,-4.001325965332481,0.011786412675901126,0.0008907519046303638,-4.03987203008877,-0.729434646023355,
0.0008075517084148035,-4.016742398883487,0.011869384219933471,0.0009078813567923908,-4.045937702291232,0.4646140170139759,
0.000823865472378639,-4.00840649934768,0.011877919546610901,0.0009251739465940564,-4.052061142800385,-1.3997682981996749,
0.0008403423739821127,-4.036357984358759,0.012010405474029352,0.0009426296740353605,-4.058242351616228,-0.27494124933799446,
0.0008569824132252246,-4.016270322170423,0.011842506742918079,,,,
0.0008737855901079751,-4.024768629299382,0.011825122365334922,,,,
0.0008907519046303638,-4.048660890653281,0.01204886635482053,,,,
0.0009078813567923908,-4.04039182449928,0.011936527071642092,,,,
0.0009251739465940564,-4.0691351306677515,0.01219772435861445,,,,
0.0009426296740353605,-4.06158265975813,0.012149170595338458,,,,
0.0009602485391163024,-4.070553485080324,0.012152166659193648,,,,
0.000978030541836883,-4.071325777529096,0.012196490295447312,,,,
0.0009959756821971016,-4.054740770041426,0.01199814278659173,,,,
