,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS16,1020,450,963,977,931,1075,945,926,1087,1060,975,1075,853,800,939,990,979,928,836,734
GS16,1020,451,1197,1225,1185,1364,1176,1158,1373,1348,1221,1350,1070,988,1176,1239,1224,1140,1033,937
GS16,1020,452,1487,1501,1459,1680,1456,1433,1697,1649,1521,1670,1325,1226,1458,1530,1515,1428,1278,1153
GS16,1020,453,1785,1813,1758,2050,1763,1743,2067,1996,1848,2033,1618,1487,1744,1854,1834,1717,1552,1377
GS16,1020,454,2220,2247,2167,2529,2175,2141,2553,2493,2283,2542,2009,1854,2157,2298,2282,2114,1903,1706
GS16,1020,455,2722,2748,2634,3084,2664,2629,3105,3033,2781,3046,2429,2232,2628,2778,2765,2593,2335,2075
GS16,1020,456,3242,3280,3165,3688,3191,3142,3696,3633,3324,3661,2911,2700,3155,3350,3306,3092,2792,2488
GS16,1020,457,3843,3918,3796,4424,3806,3775,4425,4337,3993,4415,3508,3226,3734,3984,3964,3716,3329,2966
GS16,1020,458,4555,4624,4488,5230,4487,4450,5227,5156,4747,5231,4139,3831,4433,4723,4703,4374,3942,3501
GS16,1020,459,5356,5470,5272,6202,5340,5298,6225,6079,5626,6223,4905,4530,5265,5630,5566,5228,4684,4188
GS16,1020,460,6238,6348,6177,7222,6246,6160,7242,7143,6576,7264,5750,5323,6133,6578,6474,6074,5487,4870
GS16,1020,461,7145,7278,7098,8288,7165,7069,8349,8207,7586,8403,6635,6102,7045,7511,7440,7011,6265,5585
GS16,1020,462,8158,8329,8098,9466,8171,8075,9574,9386,8646,9573,7578,6994,7993,8604,8510,8043,7181,6408
GS16,1020,463,9343,9526,9275,10832,9362,9266,10970,10801,9940,11057,8707,8038,9200,9858,9806,9178,8254,7355
GS16,1020,464,10416,10598,10354,12110,10434,10333,12206,12097,11093,12318,9798,8980,10293,11020,10951,10278,9252,8195
GS16,1020,465,11436,11627,11291,13268,11450,11302,13405,13330,12239,13633,10770,9898,11309,12081,12097,11329,10116,9039
GS16,1020,466,12680,12873,12554,14714,12667,12533,14938,14762,13657,15144,11968,11038,12549,13404,13351,12582,11300,10025
GS16,1020,467,13638,13896,13547,15838,13606,13550,16137,15981,14777,16374,12985,11866,13545,14573,14505,13581,12202,10857
GS16,1020,468,14535,14862,14449,16879,14551,14431,17215,17078,15775,17541,13887,12736,14489,15518,15484,14491,13066,11569
GS16,1020,469,15297,15602,15165,17752,15336,15185,18207,18137,16698,18595,14735,13460,15307,16439,16383,15378,13819,12306
GS16,1020,470,16291,16619,16160,18838,16309,16082,19372,19225,17804,19776,15644,14340,16308,17443,17397,16415,14705,13088
GS16,1020,471,16775,17101,16595,19403,16796,16637,20074,19897,18477,20441,16165,14849,16826,18088,18077,16912,15191,13520
GS16,1020,472,17074,17440,16959,19905,17151,16945,20454,20414,18838,20983,16594,15249,17189,18538,18515,17376,15533,13841
GS16,1020,473,17694,18036,17504,20523,17647,17475,21122,21069,19488,21720,17192,15727,17738,19125,19094,17949,16085,14340
GS16,1020,474,17735,18130,17644,20656,17728,17597,21369,21179,19720,21882,17321,15896,17950,19332,19316,18167,16268,14438
GS16,1020,475,17726,18033,17594,20546,17731,17498,21263,21216,19674,21840,17308,15905,17872,19333,19253,18156,16259,14490
GS16,1020,476,17734,18075,17644,20664,17795,17615,21412,21331,19809,22024,17385,16023,17992,19551,19417,18275,16397,14594
GS16,1020,477,17563,17867,17407,20367,17564,17407,21194,21105,19595,21758,17256,15852,17783,19229,19213,18106,16231,14393
GS16,1020,478,17121,17488,17001,19851,17113,16964,20720,20670,19098,21364,16842,15527,17397,18824,18812,17680,15875,14124
GS16,1020,479,17064,17358,16850,19732,17012,16841,20645,20538,19039,21147,16781,15476,17316,18711,18678,17566,15776,14037
GS16,1020,480,16507,16781,16337,19094,16503,16344,19913,19815,18459,20562,16315,14982,16812,18149,18094,17039,15305,13625
GS16,1020,481,16153,16469,16046,18745,16210,15954,19527,19553,18109,20129,15980,14769,16536,17846,17790,16766,15061,13335
GS16,1020,482,15867,16105,15670,18375,15798,15693,19190,19161,17765,19753,15658,14406,16114,17508,17408,16401,14779,13095
GS16,1020,483,15339,15554,15140,17719,15343,15151,18570,18499,17197,19120,15147,13965,15655,16895,16868,15881,14255,12672
GS16,1020,484,15206,15438,14985,17569,15180,15069,18378,18295,17014,18890,14974,13796,15447,16659,16688,15666,14071,12553
GS16,1020,485,14793,15019,14626,17085,14745,14645,17826,17806,16481,18393,14603,13428,14989,16208,16201,15270,13711,12181
GS16,1020,486,14596,14845,14430,16818,14587,14384,17590,17499,16226,18101,14335,13238,14809,16022,15998,14986,13537,12015
GS16,1020,487,14410,14646,14228,16620,14380,14217,17292,17222,16033,17748,14123,13017,14584,15726,15732,14770,13343,11806
GS16,1020,488,14289,14521,14132,16442,14255,14136,17032,17045,15804,17561,13974,12815,14457,15603,15528,14584,13174,11724
GS16,1020,489,14243,14374,14029,16341,14098,13987,16963,16850,15643,17415,13825,12781,14294,15401,15389,14490,13065,11636
GS16,1020,490,14244,14470,14112,16440,14243,14098,16889,16847,15664,17376,13817,12801,14302,15403,15403,14500,13130,11697
GS16,1020,491,14221,14535,14075,16441,14211,14097,16841,16790,15520,17345,13797,12752,14221,15324,15289,14491,13013,11657
GS16,1020,492,14410,14639,14263,16626,14408,14213,16891,16882,15637,17394,13837,12824,14312,15434,15382,14558,13162,11743
GS16,1020,493,14666,14939,14521,16956,14625,14500,17209,17073,15814,17706,14085,13110,14512,15616,15568,14763,13308,11975
GS16,1020,494,14975,15307,14860,17333,15007,14822,17418,17293,16095,17945,14352,13342,14770,15882,15824,14932,13541,12223
GS16,1020,495,15415,15694,15302,17805,15444,15247,17719,17634,16421,18316,14707,13664,15013,16158,16147,15328,13904,12556
GS16,1020,496,15858,16126,15728,18280,15860,15684,18038,17942,16690,18613,14961,14006,15327,16475,16512,15647,14200,12863
