,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
p53 NTAD,1020,513,32460,31459,30551,29640,30380,30538,29402,28559,26586,27724,28444,28526,30729,28571,26709,27706,26898,26784
p53 NTAD,1020,514,32831,31759,30850,29937,30786,30846,29741,28820,26944,28166,28982,29123,31214,28926,27231,28248,27582,27444
p53 NTAD,1020,515,33249,32253,31342,30351,31191,31197,30222,29311,27407,28745,29565,29776,31611,29423,27568,28705,28114,28079
p53 NTAD,1020,516,33318,32274,31334,30376,31301,31381,30268,29366,27490,28957,29800,30112,31671,29530,27736,28979,28354,28364
p53 NTAD,1020,517,32906,31897,31002,30068,30863,30967,29861,28999,27269,28653,29585,29864,31246,29203,27525,28874,28247,28296
p53 NTAD,1020,518,32916,31957,30904,29953,30719,30943,29872,29078,27282,28771,29716,30029,31327,29349,27664,28910,28389,28473
p53 NTAD,1020,519,31942,31042,30017,29180,29819,29982,29164,28315,26550,28062,29029,29296,30378,28443,26859,28145,27676,27775
p53 NTAD,1020,520,31353,30468,29452,28610,29430,29486,28655,27857,26294,27639,28690,28933,29924,28047,26584,27837,27327,27416
p53 NTAD,1020,521,30308,29335,28346,27520,28319,28384,27625,26869,25299,26647,27621,27933,28898,27064,25606,26864,26407,26514
p53 NTAD,1020,522,29062,28205,27257,26520,27131,27243,26539,25853,24373,25714,26651,26989,27745,26042,24704,25899,25404,25555
p53 NTAD,1020,523,28041,27189,26344,25603,26300,26359,25669,24970,23527,24828,25836,26085,26875,25149,23828,25127,24632,24678
p53 NTAD,1020,524,26615,25749,24906,24169,24807,24859,24336,23638,22296,23494,24400,24661,25485,23785,22565,23704,23298,23280
p53 NTAD,1020,525,25430,24594,23817,23120,23786,23777,23241,22641,21373,22471,23358,23643,24391,22834,21566,22706,22274,22316
p53 NTAD,1020,526,24145,23400,22629,22008,22587,22664,22054,21534,20315,21398,22148,22382,23185,21717,20486,21528,21125,21173
p53 NTAD,1020,527,22965,22208,21494,20826,21498,21519,21037,20447,19225,20259,20955,21193,22048,20568,19491,20452,20060,20120
p53 NTAD,1020,528,22216,21428,20724,20107,20753,20752,20287,19770,18594,19588,20288,20502,21283,19898,18796,19699,19342,19394
p53 NTAD,1020,529,21328,20652,19960,19387,19921,19922,19582,19032,17934,18882,19511,19745,20515,19200,18095,18966,18599,18630
p53 NTAD,1020,530,20602,19973,19382,18747,19244,19348,19006,18427,17346,18221,18907,19052,19866,18565,17512,18332,18046,17960
p53 NTAD,1020,531,19976,19274,18669,18057,18535,18650,18299,17811,16708,17662,18197,18340,19240,17871,16957,17692,17303,17353
p53 NTAD,1020,532,19208,18629,17981,17485,17977,18102,17659,17189,16173,16970,17529,17676,18533,17223,16292,17066,16664,16700
p53 NTAD,1020,533,18541,17992,17413,16860,17348,17449,17081,16665,15605,16383,16953,16975,17893,16721,15738,16441,16106,16087
p53 NTAD,1020,534,17855,17306,16744,16240,16706,16789,16425,15979,14937,15711,16235,16331,17264,16057,15100,15783,15430,15367
p53 NTAD,1020,535,17340,16805,16237,15740,16208,16230,15920,15502,14506,15225,15742,15810,16788,15587,14617,15312,14971,14911
p53 NTAD,1020,536,16963,16354,15833,15347,15795,15842,15578,15084,14170,14878,15324,15384,16347,15217,14319,14861,14521,14504
p53 NTAD,1020,537,16254,15702,15151,14715,15144,15224,14886,14498,13553,14246,14637,14726,15604,14573,13671,14242,13917,13872
p53 NTAD,1020,538,15796,15244,14700,14273,14727,14749,14439,14087,13145,13784,14175,14296,15176,14137,13289,13881,13488,13388
p53 NTAD,1020,539,15228,14744,14264,13804,14230,14296,13996,13629,12667,13284,13713,13768,14668,13669,12865,13385,12998,12921
p53 NTAD,1020,540,14844,14328,13900,13488,13813,13915,13579,13278,12352,12960,13286,13370,14268,13285,12450,12991,12684,12567
p53 NTAD,1020,541,14663,14167,13681,13305,13662,13734,13452,13042,12170,12766,13123,13170,14067,13151,12305,12794,12433,12438
p53 NTAD,1020,542,14080,13622,13180,12718,13088,13161,12857,12534,11677,12212,12597,12661,13534,12556,11829,12273,11945,11874
p53 NTAD,1020,543,13737,13272,12826,12470,12781,12874,12556,12222,11381,11887,12291,12345,13175,12231,11514,11992,11643,11603
p53 NTAD,1020,544,13315,12851,12475,12105,12433,12439,12153,11833,11036,11580,11850,11918,12781,11872,11089,11552,11266,11195
p53 NTAD,1020,545,12871,12471,12102,11709,12098,12133,11874,11486,10701,11204,11494,11602,12401,11546,10786,11275,10942,10900
p53 NTAD,1020,546,12525,12194,11776,11378,11656,11768,11484,11121,10383,10854,11179,11233,12082,11151,10510,10923,10639,10579
p53 NTAD,1020,547,12042,11660,11269,10929,11223,11271,11039,10716,9985,10414,10711,10818,11553,10739,10106,10487,10245,10104
p53 NTAD,1020,548,11614,11255,10874,10552,10808,10876,10633,10318,9612,10072,10377,10434,11112,10353,9710,10121,9851,9822
p53 NTAD,1020,549,11240,10944,10566,10250,10495,10561,10313,9997,9346,9816,10074,10122,10853,10062,9395,9835,9565,9503
p53 NTAD,1020,550,10817,10499,10167,9889,10147,10177,9918,9654,8988,9449,9717,9773,10430,9690,9050,9457,9223,9196
p53 NTAD,1020,551,10412,10130,9784,9508,9761,9748,9546,9302,8654,9119,9353,9390,10021,9320,8756,9123,8858,8887
p53 NTAD,1020,552,10097,9786,9502,9195,9468,9479,9252,8961,8363,8786,9079,9127,9732,9054,8449,8809,8611,8556
p53 NTAD,1020,553,9761,9451,9181,8929,9151,9147,8915,8675,8111,8486,8793,8859,9408,8751,8198,8566,8349,8306
p53 NTAD,1020,554,9647,9297,9023,8728,8970,9003,8816,8561,7994,8390,8639,8696,9256,8612,8076,8442,8251,8171
p53 NTAD,1020,555,9292,8994,8702,8440,8660,8734,8483,8265,7741,8113,8381,8417,8918,8309,7784,8146,7975,7970
p53 NTAD,1020,556,9000,8749,8497,8207,8436,8481,8312,8083,7529,7891,8103,8229,8666,8081,7624,7935,7728,7716
p53 NTAD,1020,557,8771,8468,8193,7959,8189,8261,8000,7801,7306,7673,7902,7974,8428,7827,7397,7718,7516,7508
p53 NTAD,1020,558,8442,8178,7893,7718,7892,7948,7745,7522,7048,7398,7636,7724,8118,7555,7119,7441,7303,7253
p53 NTAD,1020,559,8193,7903,7652,7452,7659,7720,7520,7288,6866,7189,7389,7474,7894,7345,6893,7211,7092,7036
p53 NTAD,1020,560,7796,7567,7285,7129,7319,7315,7180,6994,6514,6864,7105,7153,7534,7031,6619,6902,6783,6763
p53 NTAD,1020,561,7507,7317,7060,6832,7031,7093,6923,6659,6285,6592,6828,6914,7219,6765,6363,6674,6493,6518
p53 NTAD,1020,562,7278,7036,6787,6605,6800,6813,6698,6489,6087,6368,6579,6688,6987,6533,6154,6454,6304,6290
p53 NTAD,1020,563,6933,6715,6498,6282,6473,6502,6342,6170,5791,6099,6298,6346,6683,6216,5874,6116,6022,5994
p53 NTAD,1020,564,6731,6506,6312,6128,6315,6336,6168,6017,5636,5946,6101,6178,6498,6056,5715,5958,5827,5831
p53 NTAD,1020,565,6445,6231,6011,5854,6021,6044,5912,5722,5388,5640,5849,5918,6234,5771,5445,5716,5574,5583
p53 NTAD,1020,566,6174,5932,5744,5593,5746,5782,5664,5504,5176,5421,5625,5680,5916,5545,5228,5455,5361,5362
p53 NTAD,1020,567,5938,5720,5537,5392,5547,5551,5445,5277,4958,5184,5368,5462,5712,5323,5014,5242,5141,5095
p53 NTAD,1020,568,5722,5535,5298,5153,5320,5351,5267,5091,4804,5056,5192,5243,5512,5117,4850,5067,4954,4932
p53 NTAD,1020,569,5379,5230,5045,4895,5013,5062,4947,4820,4507,4777,4881,4933,5216,4844,4571,4763,4680,4663
p53 NTAD,1020,570,5246,5071,4909,4761,4906,4921,4818,4704,4390,4627,4768,4811,5068,4714,4447,4628,4533,4502
p53 NTAD,1020,571,4959,4783,4645,4530,4661,4643,4542,4438,4132,4365,4521,4574,4788,4477,4214,4394,4285,4292
p53 NTAD,1020,572,4779,4619,4481,4346,4463,4454,4412,4273,4025,4207,4339,4380,4633,4299,4060,4212,4130,4129
p53 NTAD,1020,573,4615,4444,4298,4202,4310,4347,4226,4119,3860,4061,4187,4205,4471,4171,3901,4088,3982,3959
p53 NTAD,1020,574,4427,4244,4128,4022,4123,4167,4061,3948,3700,3870,4011,4018,4227,3951,3715,3878,3816,3809
p53 NTAD,1020,575,4232,4103,3953,3844,3966,3976,3920,3807,3543,3743,3853,3880,4133,3824,3608,3766,3667,3659
p53 NTAD,1020,576,4080,3947,3818,3715,3796,3831,3775,3643,3409,3604,3697,3717,3929,3687,3483,3604,3503,3484
p53 NTAD,1020,577,3891,3763,3632,3544,3623,3635,3591,3483,3247,3396,3507,3537,3762,3504,3285,3419,3353,3318
p53 NTAD,1020,578,3742,3610,3503,3381,3492,3497,3417,3347,3128,3292,3389,3401,3605,3379,3173,3304,3223,3176
p53 NTAD,1020,579,3500,3408,3280,3194,3265,3308,3211,3146,2939,3087,3186,3182,3386,3152,2979,3088,2995,2995
p53 NTAD,1020,580,3391,3270,3183,3072,3147,3183,3107,3038,2833,2972,3059,3072,3286,3060,2858,2975,2906,2906
p53 NTAD,1020,581,3166,3077,2971,2881,2959,2974,2928,2873,2669,2811,2857,2878,3080,2866,2704,2793,2727,2692
p53 NTAD,1020,582,3083,2992,2899,2804,2871,2894,2880,2795,2578,2697,2783,2818,2987,2787,2633,2721,2659,2622
p53 NTAD,1020,583,2975,2856,2777,2695,2754,2788,2746,2666,2481,2604,2665,2672,2884,2694,2487,2592,2543,2504
p53 NTAD,1020,584,2877,2780,2679,2609,2669,2698,2660,2579,2387,2513,2593,2588,2779,2571,2418,2518,2428,2454
p53 NTAD,1020,585,2765,2663,2585,2533,2579,2607,2552,2495,2328,2416,2484,2503,2680,2494,2315,2424,2355,2342
p53 NTAD,1020,586,2680,2611,2512,2455,2499,2523,2491,2421,2247,2368,2402,2418,2613,2427,2279,2373,2295,2288
p53 NTAD,1020,587,2581,2502,2421,2329,2408,2424,2372,2308,2152,2250,2298,2313,2507,2321,2169,2267,2195,2188
p53 NTAD,1020,588,2501,2403,2338,2261,2323,2349,2316,2223,2084,2184,2208,2254,2415,2261,2113,2192,2136,2117
p53 NTAD,1020,589,2428,2353,2269,2204,2272,2294,2249,2196,2047,2128,2189,2181,2367,2188,2058,2128,2060,2053
p53 NTAD,1020,590,2363,2266,2212,2148,2215,2204,2195,2140,1962,2059,2113,2123,2288,2130,1992,2056,2012,1994
p53 NTAD,1020,591,2291,2220,2150,2106,2162,2167,2131,2086,1934,1999,2070,2069,2254,2070,1939,2035,1951,1934
p53 NTAD,1020,592,2226,2152,2069,2023,2085,2102,2061,2012,1859,1935,1992,1988,2184,2021,1869,1949,1902,1885
p53 NTAD,1020,593,2200,2108,2038,1984,2031,2050,2008,1953,1797,1888,1946,1953,2118,1949,1836,1902,1838,1831
p53 NTAD,1020,594,2091,2027,1967,1911,1964,1978,1944,1897,1754,1810,1879,1872,2049,1883,1777,1833,1778,1756
p53 NTAD,1020,595,2043,1962,1894,1844,1912,1912,1864,1835,1712,1764,1832,1830,1957,1835,1712,1769,1728,1699
p53 NTAD,1020,596,1987,1893,1855,1797,1839,1857,1833,1779,1676,1734,1775,1777,1935,1795,1674,1727,1665,1667
p53 NTAD,1020,597,1912,1855,1798,1748,1787,1809,1769,1743,1589,1673,1710,1723,1862,1741,1618,1690,1638,1625
p53 NTAD,1020,598,1861,1800,1728,1691,1728,1744,1711,1689,1544,1640,1661,1668,1782,1679,1553,1624,1572,1559
p53 NTAD,1020,599,1761,1702,1659,1605,1657,1669,1627,1590,1482,1567,1591,1582,1712,1601,1492,1529,1501,1492
p53 NTAD,1020,600,1735,1691,1624,1577,1630,1640,1600,1571,1447,1503,1546,1562,1674,1560,1461,1525,1470,1459
