,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S3,1020,514,38082,37763,38856,41599,41061,37810,34721,33132,31160,34851,34877,34437,34131,33528,30199,32751,33999,31088
PUMA S3,1020,515,39265,38888,40040,42832,42288,38968,35769,34083,32050,35808,35957,35488,35057,34457,31129,33800,35030,32118
PUMA S3,1020,516,39508,39056,40095,42976,42525,39061,35916,34136,32278,36026,36219,35866,35259,34571,31302,34033,35343,32481
PUMA S3,1020,517,39601,39296,40358,43193,42704,39338,36090,34320,32493,36296,36470,36113,35505,34715,31476,34255,35697,32754
PUMA S3,1020,518,39609,39152,40275,43074,42621,39244,36027,34290,32362,36171,36380,36076,35353,34747,31350,34193,35730,32760
PUMA S3,1020,519,38968,38389,39558,42192,41823,38527,35289,33622,31918,35612,35762,35470,34763,34192,30898,33611,35151,32277
PUMA S3,1020,520,38207,37841,39029,41691,41190,37889,34826,33193,31311,35092,35332,34982,34202,33598,30366,33176,34566,31848
PUMA S3,1020,521,36979,36562,37603,40201,39764,36540,33625,32007,30338,33854,34182,33872,33110,32482,29407,32100,33481,30797
PUMA S3,1020,522,35773,35392,36442,38939,38582,35431,32567,31032,29401,32787,33020,32808,32070,31519,28514,31121,32369,29879
PUMA S3,1020,523,34457,34047,35147,37567,37129,34198,31442,29961,28343,31668,31952,31591,31014,30410,27511,29961,31232,28804
PUMA S3,1020,524,32761,32368,33246,35598,35221,32362,29847,28403,26936,30057,30278,29957,29443,28841,26079,28488,29604,27259
PUMA S3,1020,525,30974,30645,31518,33666,33315,30658,28268,26946,25572,28435,28721,28423,27899,27318,24587,27038,28083,25883
PUMA S3,1020,526,29535,29127,29924,32043,31693,29188,27010,25600,24256,27111,27375,27073,26555,25990,23476,25657,26720,24579
PUMA S3,1020,527,28209,27788,28602,30589,30226,27834,25835,24494,23189,25901,26074,25894,25429,24962,22497,24576,25552,23480
PUMA S3,1020,528,26836,26556,27274,29271,28917,26536,24673,23402,22064,24663,24921,24598,24264,23766,21416,23428,24258,22344
PUMA S3,1020,529,25860,25517,26275,28070,27806,25560,23677,22517,21299,23651,23966,23672,23363,22829,20607,22462,23403,21464
PUMA S3,1020,530,25045,24711,25452,27202,26895,24780,23012,21848,20569,23016,23101,22919,22590,22179,19982,21815,22661,20737
PUMA S3,1020,531,23880,23586,24281,25920,25694,23613,21944,20874,19645,21952,22118,21821,21677,21206,19102,20777,21532,19789
PUMA S3,1020,532,22953,22702,23341,24975,24713,22701,21099,20066,18906,21028,21170,21006,20807,20301,18341,20011,20751,19005
PUMA S3,1020,533,21994,21721,22330,23893,23673,21770,20250,19272,18106,20264,20342,20178,19968,19528,17546,19085,19838,18217
PUMA S3,1020,534,21239,20986,21621,23154,22945,21036,19540,18582,17548,19535,19632,19416,19302,18936,17027,18481,19171,17548
PUMA S3,1020,535,20693,20443,21011,22431,22241,20594,19061,18124,17041,18979,19095,18911,18779,18397,16567,17998,18587,17049
PUMA S3,1020,536,20210,19838,20443,21888,21710,20004,18658,17679,16651,18544,18625,18448,18274,17980,16152,17482,18206,16599
PUMA S3,1020,537,19333,19025,19582,20942,20725,19181,17764,16925,15919,17718,17791,17521,17567,17142,15389,16831,17429,15892
PUMA S3,1020,538,18649,18380,18908,20247,20095,18433,17204,16409,15354,17163,17169,16978,16925,16635,14948,16229,16828,15420
PUMA S3,1020,539,17947,17718,18207,19482,19311,17750,16552,15737,14790,16438,16564,16348,16366,15991,14355,15614,16191,14807
PUMA S3,1020,540,17554,17247,17707,19030,18771,17297,16180,15312,14381,16067,16109,15862,15828,15570,13977,15190,15721,14421
PUMA S3,1020,541,16892,16614,17096,18336,18134,16698,15579,14710,13897,15479,15522,15302,15338,14974,13524,14634,15165,13849
PUMA S3,1020,542,16323,16076,16476,17700,17507,16198,15026,14273,13421,14936,14994,14804,14832,14500,13026,14084,14657,13361
PUMA S3,1020,543,16002,15719,16163,17334,17179,15780,14695,14032,13122,14635,14716,14494,14475,14223,12712,13846,14308,13100
PUMA S3,1020,544,15568,15266,15742,16818,16728,15323,14329,13605,12741,14241,14272,14061,14090,13772,12374,13436,13943,12715
PUMA S3,1020,545,15161,14868,15287,16396,16195,14960,13911,13212,12412,13825,13850,13672,13692,13362,11999,13105,13482,12387
PUMA S3,1020,546,14624,14420,14850,15888,15665,14455,13472,12757,12039,13408,13424,13238,13311,13007,11649,12632,13078,11953
PUMA S3,1020,547,14106,13948,14284,15347,15223,13994,13023,12370,11591,12940,12990,12815,12793,12561,11254,12218,12660,11552
PUMA S3,1020,548,13683,13460,13873,14839,14667,13455,12582,11945,11195,12475,12525,12385,12367,12150,10821,11801,12242,11151
PUMA S3,1020,549,13086,13011,13336,14239,14125,13004,12146,11486,10819,12056,12080,11896,11907,11607,10508,11385,11752,10792
PUMA S3,1020,550,12737,12551,12946,13856,13711,12641,11735,11161,10494,11715,11702,11635,11501,11275,10150,11077,11441,10429
PUMA S3,1020,551,12285,12091,12444,13323,13170,12119,11270,10655,10038,11179,11265,11104,11089,10859,9752,10619,10950,10058
PUMA S3,1020,552,11878,11707,12048,12880,12793,11726,10938,10358,9741,10863,10909,10809,10718,10498,9473,10269,10662,9740
PUMA S3,1020,553,11558,11403,11700,12605,12412,11405,10629,10079,9453,10595,10627,10498,10462,10242,9205,10034,10371,9502
PUMA S3,1020,554,11424,11232,11586,12458,12259,11260,10496,9925,9327,10443,10478,10383,10311,10088,9057,9854,10243,9366
PUMA S3,1020,555,11087,10940,11231,12026,11956,10996,10174,9662,9085,10160,10188,10074,10029,9788,8811,9613,9952,9137
PUMA S3,1020,556,10834,10664,10993,11765,11656,10712,9928,9447,8839,9941,9947,9872,9757,9594,8635,9387,9715,8935
PUMA S3,1020,557,10346,10207,10589,11297,11166,10250,9491,9040,8520,9494,9522,9463,9358,9178,8291,9010,9356,8612
PUMA S3,1020,558,10121,9983,10242,10981,10863,9997,9241,8812,8276,9272,9290,9237,9127,8981,8069,8805,9088,8358
PUMA S3,1020,559,9655,9567,9811,10562,10394,9586,8886,8458,7951,8890,8923,8856,8738,8612,7710,8425,8709,8028
PUMA S3,1020,560,9351,9224,9448,10130,10006,9269,8573,8151,7671,8563,8630,8487,8456,8264,7471,8149,8425,7762
PUMA S3,1020,561,9043,8940,9141,9860,9716,9025,8318,7889,7442,8279,8352,8295,8177,8047,7206,7838,8186,7495
PUMA S3,1020,562,8671,8528,8778,9430,9338,8599,7967,7565,7135,7962,8017,7951,7864,7688,6947,7555,7812,7192
PUMA S3,1020,563,8336,8171,8450,9037,8904,8281,7660,7259,6858,7629,7694,7626,7573,7443,6653,7253,7518,6934
PUMA S3,1020,564,8072,7924,8168,8744,8666,8026,7415,7008,6624,7368,7451,7372,7318,7155,6440,7019,7258,6693
PUMA S3,1020,565,7667,7505,7739,8266,8178,7574,7005,6669,6288,7023,7075,6978,6928,6784,6094,6640,6911,6319
PUMA S3,1020,566,7412,7249,7488,8004,7948,7324,6808,6457,6062,6780,6809,6778,6711,6580,5910,6461,6690,6159
PUMA S3,1020,567,7117,6974,7172,7687,7644,7049,6529,6211,5876,6543,6564,6496,6464,6305,5674,6181,6429,5888
PUMA S3,1020,568,6747,6642,6866,7300,7242,6660,6222,5918,5539,6182,6238,6179,6124,5998,5411,5878,6119,5609
PUMA S3,1020,569,6450,6378,6525,6988,6930,6370,5946,5663,5301,5910,5970,5908,5853,5736,5164,5598,5813,5360
PUMA S3,1020,570,6101,6043,6218,6655,6586,6086,5638,5357,5040,5627,5672,5616,5552,5450,4887,5338,5538,5085
PUMA S3,1020,571,5937,5813,5983,6418,6329,5883,5465,5171,4870,5437,5471,5422,5389,5283,4742,5145,5354,4958
PUMA S3,1020,572,5715,5597,5771,6162,6103,5628,5260,5038,4700,5243,5259,5246,5236,5065,4554,4981,5146,4713
PUMA S3,1020,573,5424,5320,5490,5852,5794,5364,4976,4738,4444,4968,5005,4949,4957,4854,4361,4749,4886,4461
PUMA S3,1020,574,5227,5099,5240,5638,5591,5168,4812,4552,4266,4767,4820,4783,4784,4654,4155,4519,4707,4284
PUMA S3,1020,575,5005,4938,5074,5442,5392,4989,4656,4410,4151,4605,4602,4586,4565,4457,4027,4374,4549,4141
PUMA S3,1020,576,4814,4707,4830,5192,5129,4712,4441,4194,3934,4373,4398,4376,4365,4292,3837,4188,4326,3951
PUMA S3,1020,577,4570,4509,4610,4925,4913,4551,4242,4041,3791,4208,4245,4200,4196,4084,3674,3998,4116,3782
PUMA S3,1020,578,4376,4324,4417,4752,4687,4327,4049,3860,3632,4029,4063,4002,4020,3933,3522,3827,3964,3644
PUMA S3,1020,579,4102,4050,4171,4461,4390,4082,3834,3619,3394,3790,3791,3752,3770,3683,3311,3598,3707,3407
PUMA S3,1020,580,3946,3891,4005,4293,4220,3903,3687,3505,3262,3632,3644,3623,3616,3578,3201,3460,3569,3259
PUMA S3,1020,581,3714,3617,3762,4014,3967,3671,3417,3268,3041,3408,3429,3375,3411,3349,2994,3219,3339,3053
PUMA S3,1020,582,3549,3535,3629,3885,3847,3540,3351,3164,2951,3264,3325,3251,3285,3212,2893,3154,3215,2970
PUMA S3,1020,583,3443,3373,3486,3716,3667,3407,3213,3029,2841,3166,3171,3120,3159,3101,2773,3007,3097,2854
PUMA S3,1020,584,3335,3275,3344,3566,3595,3308,3118,2947,2751,3063,3093,3025,3068,3005,2715,2897,2994,2743
PUMA S3,1020,585,3169,3105,3177,3433,3398,3139,2967,2790,2623,2929,2923,2882,2912,2850,2544,2790,2852,2607
PUMA S3,1020,586,3073,3019,3113,3346,3295,3062,2876,2733,2544,2816,2844,2811,2832,2771,2490,2665,2777,2517
PUMA S3,1020,587,2968,2911,3000,3192,3186,2953,2748,2617,2466,2707,2735,2693,2720,2665,2397,2565,2667,2439
PUMA S3,1020,588,2865,2827,2909,3104,3076,2858,2670,2539,2397,2663,2637,2616,2631,2573,2341,2514,2564,2374
PUMA S3,1020,589,2793,2758,2824,3001,2986,2769,2614,2461,2299,2552,2589,2551,2569,2491,2256,2423,2519,2285
PUMA S3,1020,590,2694,2650,2721,2934,2882,2663,2526,2383,2232,2509,2501,2447,2474,2413,2177,2340,2434,2199
PUMA S3,1020,591,2614,2575,2650,2833,2805,2590,2446,2322,2186,2417,2415,2393,2414,2366,2108,2288,2364,2150
PUMA S3,1020,592,2518,2479,2548,2713,2673,2499,2345,2231,2100,2319,2334,2296,2326,2269,2040,2200,2265,2079
PUMA S3,1020,593,2451,2425,2495,2683,2643,2465,2315,2204,2062,2298,2301,2252,2270,2219,2003,2157,2212,2033
PUMA S3,1020,594,2400,2342,2400,2593,2573,2377,2241,2132,2001,2236,2216,2178,2231,2186,1943,2114,2178,1983
PUMA S3,1020,595,2327,2283,2361,2512,2488,2313,2172,2068,1943,2163,2143,2129,2157,2132,1886,2055,2095,1921
PUMA S3,1020,596,2263,2227,2281,2448,2420,2245,2107,1995,1891,2087,2071,2069,2076,2044,1826,1958,2047,1868
PUMA S3,1020,597,2178,2143,2214,2365,2368,2163,2046,1919,1818,2020,2027,1996,2035,1970,1776,1912,1969,1802
PUMA S3,1020,598,2095,2056,2127,2255,2237,2062,1954,1858,1746,1936,1941,1904,1945,1891,1696,1826,1895,1726
PUMA S3,1020,599,2030,2000,2020,2177,2160,2011,1862,1778,1661,1855,1868,1866,1864,1806,1633,1778,1840,1667
PUMA S3,1020,600,1958,1918,1982,2129,2078,1942,1838,1735,1638,1807,1824,1794,1836,1758,1594,1701,1775,1626
