,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C01,C02,C03,C04,C05,C06,,,,,,,,,,,,
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,PEG200,PEG200,PEG200,PEG200,PEG200,PEG200,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,Dextran,Dextran,Dextran,Dextran,Dextran,Dextran,EG,EG,EG,EG,EG,EG,PEG400,PEG400,PEG400,PEG400,PEG400,PEG400,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000
FUS,1020,468,16957,16800,15160,17632,18828,15559,10375,12566,11370,10757,2797,6759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20801,13171,10009,17136,15187,14008,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,469,18057,17801,16102,18690,20067,16546,11035,13280,12027,11451,2963,7151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22101,13962,10654,18239,16147,14885,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,470,18916,18721,16912,19689,21054,17414,11551,13944,12598,11987,3130,7550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23176,14703,11169,19067,16952,15647,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,471,19428,19175,17363,20185,21595,17832,11877,14268,13005,12331,3208,7719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23779,15097,11484,19585,17407,16012,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,472,19870,19589,17737,20699,22010,18262,12139,14587,13270,12589,3298,7882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24266,15421,11738,20019,17785,16336,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,473,20448,20189,18278,21201,22714,18775,12507,15061,13618,12914,3387,8118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25024,15873,12046,20653,18341,16855,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,474,20363,20130,18276,21209,22672,18797,12498,15013,13620,12949,3388,8095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24991,15829,12022,20553,18377,16816,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,475,20596,20337,18394,21420,22942,18924,12698,15176,13776,13120,3442,8226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25323,16042,12220,20901,18583,17088,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,476,20295,20193,18226,21127,22573,18671,12464,14973,13575,12945,3404,8068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24864,15790,12013,20536,18271,16760,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,477,19991,19758,17898,20823,22228,18386,12325,14775,13418,12729,3363,7978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24547,15576,11853,20251,18038,16549,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,478,19610,19403,17567,20470,21791,18043,12086,14545,13157,12526,3312,7829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24181,15328,11725,19901,17717,16297,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,479,19202,18985,17201,20055,21421,17715,11904,14263,12901,12311,3258,7709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23706,15000,11418,19512,17351,15908,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,480,18759,18505,16690,19435,20766,17250,11631,13856,12588,11971,3144,7512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23073,14624,11155,18944,16799,15510,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,481,18381,18127,16471,19117,20385,16957,11419,13645,12355,11761,3126,7439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22625,14408,10946,18632,16543,15240,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,482,17854,17599,15892,18600,19783,16396,11100,13251,12027,11499,3043,7215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21954,14005,10634,18081,16105,14761,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,483,17330,17037,15468,17917,19197,15893,10802,12898,11690,11098,2960,7026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21283,13566,10358,17518,15570,14336,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,484,17062,16803,15213,17707,18901,15695,10663,12645,11474,11016,2922,6980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21045,13369,10211,17377,15352,14209,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,485,16575,16363,14809,17222,18375,15238,10358,12355,11210,10697,2853,6796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20439,13007,9915,16841,14966,13809,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,486,16350,16121,14590,16895,18052,15025,10201,12157,11016,10559,2818,6744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20136,12769,9812,16564,14745,13604,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,487,16110,15919,14410,16686,17824,14816,10138,12049,10953,10425,2817,6705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19882,12686,9738,16382,14606,13411,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,488,15912,15646,14233,16502,17563,14621,10002,11842,10768,10324,2772,6657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19525,12563,9586,16197,14437,13314,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,489,15777,15547,14104,16315,17403,14520,9933,11798,10714,10251,2753,6616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19415,12445,9525,16058,14294,13247,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,490,15819,15617,14147,16409,17497,14571,9978,11853,10809,10351,2776,6728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19508,12495,9618,16152,14413,13353,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,491,15791,15572,14077,16336,17375,14491,9900,11778,10757,10347,2784,6742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19364,12421,9545,16047,14377,13338,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,492,15835,15602,14090,16381,17400,14579,9953,11875,10827,10410,2823,6880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19446,12514,9592,16203,14462,13498,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,493,16029,15829,14385,16658,17707,14742,10131,12035,10938,10648,2883,7103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19742,12720,9750,16403,14758,13762,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,494,16331,16061,14595,16892,17949,14979,10306,12210,11192,10831,2962,7312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19942,12842,9959,16662,15026,14108,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,495,16687,16419,14910,17244,18359,15354,10565,12560,11492,11182,3059,7669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20406,13205,10235,17212,15453,14575,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,496,16921,16681,15185,17567,18657,15564,10699,12799,11722,11476,3179,8002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20708,13437,10459,17545,15841,14956,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,497,17386,17174,15539,18000,19128,15964,10988,13147,12072,11846,3294,8449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21218,13859,10698,18061,16352,15512,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,498,17729,17594,15932,18402,19617,16359,11217,13448,12392,12236,3419,8904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21653,14162,11043,18570,16892,16092,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,499,18447,18278,16547,19213,20373,17028,11708,14069,12999,12871,3605,9656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22635,14826,11538,19443,17705,17075,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,500,18943,18757,17042,19661,20942,17513,12042,14480,13464,13415,3783,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23214,15255,11941,20129,18369,17818,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,501,19473,19377,17528,20368,21619,18074,12450,14962,13887,14015,3990,11046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23827,15753,12413,20827,19096,18705,0,0,0,0,0,0,0,0,0,0,0,0
FUS,1020,502,20500,20445,18522,21370,22770,19087,13134,15897,14815,15036,4320,12232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25148,16709,13096,22206,20450,20110,0,0,0,0,0,0,0,0,0,0,0,0
