,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS8,1020,517,91299,86054,87528,87658,84918,86718,81907,80723,82465,79660,81239,84440,69195,79121,81935,78921,77523,78714
GS8,1020,518,92126,86650,88200,88466,85762,87486,82610,81236,83321,80584,82126,85262,69586,79767,82646,79874,78191,79575
GS8,1020,519,90011,84710,86395,86131,83932,85736,80825,79596,81596,78880,80753,83769,68199,78046,81008,78159,76725,77949
GS8,1020,520,89218,83924,85329,85495,83018,84705,80247,78859,80947,78282,80063,83344,67543,77387,80398,77545,76268,77531
GS8,1020,521,86447,81237,82677,82888,80407,82094,77728,76587,78505,75909,77627,80700,65613,75234,77986,75264,74148,75213
GS8,1020,522,83343,78229,79641,79785,77304,79067,75215,73969,75843,73346,74845,77882,63502,72662,75519,72722,71620,72862
GS8,1020,523,80629,75776,76994,77291,74945,76618,72880,71682,73746,71119,72854,75498,61620,70568,73382,70534,69515,70645
GS8,1020,524,76358,71722,72834,73185,71012,72517,69155,68205,69528,67506,68767,71656,58398,66911,69675,67010,65724,66919
GS8,1020,525,73018,68450,69727,69964,67891,69192,66289,65164,67062,64673,65924,68586,56006,64104,66743,64239,63149,64084
GS8,1020,526,69478,65081,66307,66512,64509,65926,62984,62062,63669,61351,62721,65069,53266,60851,63396,61010,59834,60868
GS8,1020,527,65851,61623,62760,63021,61252,62451,59925,58983,60339,58175,59470,61773,50570,57960,60232,57985,56876,57795
GS8,1020,528,63416,59382,60502,60698,58989,60401,57905,56877,58424,56339,57372,59646,48819,56051,58232,56033,54788,55784
GS8,1020,529,60602,56727,57878,57994,56386,57476,55442,54657,56019,53845,54905,56999,47035,53872,55978,53904,52673,53549
GS8,1020,530,58809,55109,56102,56445,54706,55898,53709,52954,54220,52147,53214,55105,45482,52052,53988,51985,50849,51625
GS8,1020,531,56673,53058,54084,54322,52670,53961,51830,51164,52317,50313,51213,53101,43779,50230,52106,50021,49001,49739
GS8,1020,532,54516,51071,52095,52040,50707,51821,49800,49179,50331,48413,49435,51092,42198,48344,50257,48186,47136,47813
GS8,1020,533,52559,49257,50148,50248,48859,49866,48141,47443,48489,46667,47520,49244,40776,46602,48402,46521,45450,46009
GS8,1020,534,50355,47125,48013,48274,46689,47727,46099,45574,46611,44777,45604,47182,39097,44721,46370,44669,43461,43990
GS8,1020,535,48620,45514,46472,46597,45220,46116,44596,44004,45006,43211,43965,45531,37694,43165,44868,43044,42019,42507
GS8,1020,536,47364,44261,45086,45320,44009,44971,43456,42793,43780,41936,42751,44235,36761,42111,43596,41847,40878,41373
GS8,1020,537,45272,42361,43293,43352,42088,43057,41464,40889,41869,40133,40790,42181,35115,40191,41677,39878,38926,39524
GS8,1020,538,43902,41028,41792,42031,40754,41530,40306,39522,40398,38821,39601,40745,34056,38993,40304,38619,37731,38194
GS8,1020,539,42312,39461,40367,40413,39264,40054,38870,38301,38987,37512,38099,39480,32886,37545,38842,37323,36374,36730
GS8,1020,540,41024,38401,39151,39275,38040,38860,37701,37118,37907,36391,36914,38241,31915,36446,37776,36207,35322,35778
GS8,1020,541,40422,37738,38586,38640,37545,38337,37171,36581,37305,35764,36472,37656,31452,35918,37195,35652,34711,35130
GS8,1020,542,38727,36249,36979,37047,36025,36808,35680,35045,35821,34319,34866,36083,30113,34366,35693,34101,33322,33634
GS8,1020,543,37792,35278,36120,36231,35115,35859,34716,34163,34874,33455,33907,35006,29314,33580,34691,33216,32342,32623
GS8,1020,544,36602,34190,34868,35004,33939,34633,33584,33022,33703,32297,32790,33894,28406,32417,33615,32109,31278,31628
GS8,1020,545,35485,33122,33864,33976,32998,33645,32591,32129,32710,31345,31811,32909,27582,31538,32604,31198,30372,30651
GS8,1020,546,34479,32251,32841,32979,32064,32652,31699,31059,31815,30471,30946,32019,26844,30653,31782,30316,29548,29784
GS8,1020,547,33098,31023,31593,31672,30722,31428,30388,29877,30492,29228,29700,30656,25749,29353,30368,29089,28351,28643
GS8,1020,548,32040,29917,30532,30614,29742,30393,29352,28768,29345,28108,28697,29595,24885,28339,29343,28067,27365,27565
GS8,1020,549,31186,29162,29775,29862,28952,29610,28547,28023,28599,27461,27892,28866,24118,27543,28502,27328,26612,26898
GS8,1020,550,30059,28001,28647,28725,27929,28542,27442,27027,27572,26478,26859,27740,23192,26561,27451,26378,25651,25960
GS8,1020,551,28923,26964,27590,27654,26822,27362,26453,26021,26540,25519,25849,26827,22411,25609,26452,25292,24685,24947
GS8,1020,552,28135,26206,26756,26836,26008,26658,25628,25191,25782,24709,25108,25968,21710,24844,25657,24573,23987,24238
GS8,1020,553,27292,25389,25923,26020,25335,25735,24808,24365,24865,23891,24297,25230,21035,23985,24894,23816,23283,23538
GS8,1020,554,26795,25048,25576,25598,24936,25431,24512,24007,24530,23619,23947,24874,20727,23601,24560,23547,23000,23262
GS8,1020,555,25943,24232,24705,24694,24012,24594,23698,23215,23703,22874,23231,24075,20047,22885,23663,22716,22246,22504
GS8,1020,556,25246,23602,24062,24079,23455,23950,23048,22595,23076,22240,22654,23422,19480,22273,23053,22195,21646,21918
GS8,1020,557,24495,22923,23356,23463,22768,23147,22417,22029,22503,21712,22020,22777,19011,21744,22466,21573,21075,21287
GS8,1020,558,23687,22092,22487,22646,21940,22340,21570,21184,21737,20880,21238,22034,18270,20867,21574,20781,20341,20606
GS8,1020,559,22990,21417,21910,21997,21309,21679,20969,20587,21066,20282,20579,21402,17832,20274,20998,20179,19739,19992
GS8,1020,560,22018,20541,20921,21019,20335,20796,19971,19639,20171,19420,19721,20448,16969,19355,20107,19285,18853,19133
GS8,1020,561,21157,19726,20059,20124,19510,19928,19233,18900,19382,18693,18921,19668,16370,18612,19345,18597,18209,18398
GS8,1020,562,20348,19018,19442,19505,18933,19306,18603,18305,18712,18012,18347,19018,15858,18025,18704,17940,17546,17725
GS8,1020,563,19478,18123,18513,18629,17978,18321,17694,17439,17873,17182,17480,18176,15068,17178,17845,17174,16772,17009
GS8,1020,564,18836,17564,17932,18026,17527,17863,17261,16910,17374,16688,17016,17647,14697,16685,17357,16664,16267,16444
GS8,1020,565,18034,16784,17188,17269,16682,17046,16492,16185,16556,15982,16290,16875,13974,16015,16589,15945,15572,15759
GS8,1020,566,17215,16075,16419,16433,15987,16265,15783,15456,15874,15289,15538,16060,13400,15278,15837,15210,14804,15057
GS8,1020,567,16545,15405,15694,15683,15326,15624,15149,14886,15259,14631,14913,15483,12856,14720,15168,14624,14292,14475
GS8,1020,568,15892,14772,15104,15128,14750,15064,14572,14321,14674,14115,14336,14855,12405,14128,14638,14062,13740,13912
GS8,1020,569,14995,13947,14303,14299,13873,14162,13822,13528,13830,13273,13521,14061,11708,13376,13862,13248,12950,13159
GS8,1020,570,14565,13553,13831,13867,13456,13802,13338,13174,13423,12897,13121,13597,11394,12954,13439,12859,12586,12702
GS8,1020,571,13749,12783,13060,13106,12705,12985,12620,12440,12680,12165,12407,12849,10730,12216,12734,12156,11854,12003
GS8,1020,572,13126,12281,12546,12611,12254,12503,12243,12016,12264,11759,11940,12364,10329,11797,12243,11711,11466,11579
GS8,1020,573,12679,11854,12088,12107,11779,12027,11712,11543,11780,11319,11452,11886,9975,11384,11765,11277,10967,11121
GS8,1020,574,12084,11239,11425,11513,11168,11473,11146,11005,11194,10758,10929,11305,9514,10837,11264,10745,10496,10577
GS8,1020,575,11631,10792,11080,11103,10813,11010,10764,10575,10813,10346,10493,10851,9131,10410,10802,10343,10064,10204
GS8,1020,576,11145,10369,10549,10649,10266,10570,10319,10120,10335,9910,10043,10400,8787,9980,10347,9891,9653,9796
GS8,1020,577,10563,9807,10046,10074,9804,10023,9781,9598,9811,9425,9543,9821,8332,9501,9811,9405,9120,9238
GS8,1020,578,10178,9445,9635,9664,9410,9610,9395,9211,9405,9038,9147,9464,7975,9116,9405,9051,8778,8838
GS8,1020,579,9492,8862,9001,9103,8823,9001,8798,8633,8847,8429,8614,8870,7499,8565,8813,8437,8222,8301
GS8,1020,580,9126,8529,8695,8716,8481,8630,8449,8310,8485,8124,8261,8526,7239,8225,8470,8138,7948,7999
GS8,1020,581,8567,7965,8159,8149,7965,8121,7936,7793,7965,7616,7744,7997,6750,7704,7956,7636,7426,7504
GS8,1020,582,8297,7752,7954,7966,7676,7871,7711,7575,7718,7428,7462,7770,6598,7474,7752,7375,7204,7254
GS8,1020,583,7946,7440,7563,7594,7395,7524,7436,7256,7396,7086,7193,7404,6316,7134,7416,7098,6882,6983
GS8,1020,584,7690,7179,7309,7334,7144,7272,7147,7028,7184,6855,6931,7164,6052,6925,7140,6803,6664,6711
GS8,1020,585,7380,6876,7023,7054,6873,6969,6888,6738,6887,6566,6659,6874,5849,6678,6852,6558,6378,6440
GS8,1020,586,7170,6686,6787,6825,6641,6768,6644,6568,6640,6406,6430,6608,5694,6448,6629,6370,6202,6210
GS8,1020,587,6836,6406,6516,6509,6346,6462,6378,6226,6367,6081,6171,6343,5424,6152,6367,6039,5927,5935
GS8,1020,588,6604,6186,6276,6270,6155,6247,6150,6041,6189,5913,5996,6152,5248,5964,6158,5892,5713,5744
GS8,1020,589,6427,6014,6119,6104,5958,6051,5980,5868,5994,5703,5787,5980,5083,5784,5985,5714,5529,5537
GS8,1020,590,6190,5772,5923,5901,5740,5851,5799,5691,5825,5562,5644,5745,4911,5592,5804,5523,5364,5387
GS8,1020,591,6042,5662,5782,5764,5640,5731,5672,5543,5657,5407,5488,5629,4768,5473,5682,5398,5269,5276
GS8,1020,592,5858,5481,5574,5588,5426,5541,5448,5367,5471,5236,5280,5464,4646,5342,5484,5209,5061,5104
GS8,1020,593,5689,5340,5412,5434,5310,5394,5293,5209,5312,5101,5133,5302,4542,5152,5340,5054,4944,4979
GS8,1020,594,5468,5145,5212,5228,5070,5217,5129,5019,5097,4913,4961,5106,4348,4938,5153,4892,4742,4781
GS8,1020,595,5313,4962,5059,5088,4948,5029,4973,4882,4936,4762,4830,4959,4216,4841,4950,4750,4614,4615
GS8,1020,596,5158,4830,4917,4930,4797,4870,4823,4758,4843,4593,4680,4790,4132,4687,4857,4589,4484,4488
GS8,1020,597,5027,4647,4801,4799,4647,4744,4687,4585,4680,4491,4544,4660,4005,4517,4687,4436,4330,4348
GS8,1020,598,4858,4497,4626,4639,4507,4602,4533,4444,4551,4323,4421,4501,3842,4360,4540,4332,4189,4226
GS8,1020,599,4605,4280,4425,4400,4274,4361,4300,4253,4329,4124,4154,4312,3689,4191,4332,4086,4005,4013
GS8,1020,600,4527,4218,4300,4327,4207,4302,4232,4127,4226,4041,4104,4230,3616,4098,4237,4022,3933,3954
