,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,D07,D08,D09,D10,D11,D12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS32,1020,450,2239,2224,2454,2348,2358,2395,2730,2606,2515,2206,2182,2100,2828,2529,2346,2044,2139,2070
GS32,1020,451,2733,2738,3015,2852,2850,2921,3375,3241,3124,2731,2646,2578,3474,3089,2878,2493,2637,2554
GS32,1020,452,3391,3368,3683,3531,3533,3592,4149,3983,3848,3366,3251,3151,4269,3797,3554,3064,3247,3138
GS32,1020,453,4251,4276,4660,4449,4436,4539,5253,5000,4851,4221,4118,3968,5358,4772,4461,3838,4058,3910
GS32,1020,454,5197,5192,5714,5448,5440,5522,6403,6149,5949,5149,5005,4863,6534,5863,5451,4728,4921,4765
GS32,1020,455,6280,6308,6918,6565,6560,6651,7809,7435,7198,6283,6079,5869,7879,7060,6585,5695,5939,5742
GS32,1020,456,7560,7597,8296,7935,7866,8014,9383,9007,8720,7616,7358,7039,9501,8479,7941,6862,7206,6920
GS32,1020,457,9064,9102,9961,9507,9418,9567,11249,10781,10455,9115,8832,8449,11395,10222,9545,8235,8630,8308
GS32,1020,458,10860,10923,11949,11341,11266,11374,13565,12968,12621,10980,10608,10172,13642,12207,11375,9843,10315,9908
GS32,1020,459,12757,12814,14005,13305,13199,13342,15864,15284,14803,12862,12506,11947,15943,14304,13355,11554,12034,11616
GS32,1020,460,14785,14869,16324,15457,15286,15450,18597,17789,17291,15041,14550,13944,18544,16650,15525,13442,14082,13522
GS32,1020,461,16896,17055,18640,17660,17534,17687,21267,20420,19815,17281,16735,16020,21216,19095,17824,15417,16131,15433
GS32,1020,462,19636,19740,21566,20477,20287,20565,24751,23759,23125,20066,19513,18580,24532,22201,20788,17883,18720,18010
GS32,1020,463,22169,22306,24316,23064,22843,23072,27901,26830,26074,22718,22026,21094,27754,25040,23429,20232,21180,20345
GS32,1020,464,24580,24739,26962,25611,25329,25588,30987,29879,29121,25376,24507,23461,30778,27784,26058,22500,23466,22550
GS32,1020,465,27526,27667,30171,28617,28296,28635,34765,33530,32651,28471,27610,26279,34498,31037,29209,25310,26355,25355
GS32,1020,466,29789,29991,32769,31038,30749,31050,37711,36428,35581,31039,30093,28669,37541,33858,31830,27478,28728,27562
GS32,1020,467,31987,32177,35147,33201,32974,33275,40498,39259,38294,33442,32379,30807,40239,36364,34201,29535,30850,29571
GS32,1020,468,34165,34280,37419,35555,35230,35503,43501,42071,40994,35848,34742,33116,43085,38971,36601,31684,33080,31724
GS32,1020,469,36237,36431,39755,37662,37422,37678,46231,44817,43776,38134,37086,35251,45817,41489,39063,33716,35218,33819
GS32,1020,470,37780,38104,41479,39401,38945,39234,48248,46807,45712,39983,38769,36989,47877,43401,40795,35274,36959,35429
GS32,1020,471,38604,38910,42411,40164,39848,40064,49541,48023,46974,41003,39736,37958,49181,44457,41688,36154,37754,36374
GS32,1020,472,39722,39999,43742,41378,41061,41355,51106,49634,48603,42371,41161,39202,50546,45800,42879,37232,39003,37485
GS32,1020,473,40261,40388,44239,41921,41545,41869,52046,50304,49440,43124,41719,40088,51383,46796,43869,38047,39876,38298
GS32,1020,474,40346,40567,44304,41959,41530,41904,52072,50590,49614,43226,41929,40148,51689,47021,44139,38187,40123,38512
GS32,1020,475,40565,40863,44598,42222,41843,42153,52574,51162,50036,43780,42389,40499,52007,47445,44689,38687,40450,38923
GS32,1020,476,39925,40204,43884,41542,41249,41540,51735,50408,49537,43103,41818,40037,51332,46812,43981,38084,39941,38308
GS32,1020,477,39447,39703,43369,41071,40722,40943,51151,49976,48946,42787,41415,39653,50890,46357,43647,37859,39537,38033
GS32,1020,478,38548,38761,42441,40127,39818,40242,50099,48827,47890,41821,40690,38910,49748,45395,42780,37055,38837,37319
GS32,1020,479,37760,38023,41702,39338,39012,39462,49238,47919,47047,41159,39836,38156,48918,44578,41943,36419,38102,36704
GS32,1020,480,36555,36949,40298,38213,37887,38279,47753,46671,45635,39945,38732,37120,47543,43409,40934,35455,37256,35734
GS32,1020,481,35875,36182,39448,37347,37104,37570,46835,45651,44749,39075,37932,36388,46555,42421,39920,34708,36416,34928
GS32,1020,482,34889,35065,38495,36436,36098,36541,45418,44394,43458,38104,36777,35445,45191,41249,38962,33748,35416,34002
GS32,1020,483,33695,33892,37111,35099,34816,35258,43907,42812,41908,36729,35573,34190,43643,39825,37467,32612,34191,32920
GS32,1020,484,33182,33420,36632,34679,34355,34750,43072,42052,41260,36101,35068,33616,42911,39158,37052,32126,33688,32452
GS32,1020,485,32297,32554,35512,33716,33428,33832,41884,40802,40068,35058,33993,32695,41748,38089,35953,31235,32758,31583
GS32,1020,486,31955,32260,35261,33410,33208,33629,41486,40303,39670,34719,33595,32427,41252,37645,35536,30835,32378,31144
GS32,1020,487,31543,31819,34691,32970,32625,33010,40675,39538,38837,34060,33054,31779,40582,37054,35005,30370,31781,30714
GS32,1020,488,31071,31221,34075,32354,32085,32521,39821,38851,38046,33481,32382,31177,39794,36350,34271,29743,31236,30185
GS32,1020,489,31018,31176,34053,32343,32052,32515,39725,38664,37885,33415,32361,31081,39725,36189,34099,29692,31137,30059
GS32,1020,490,31019,31139,34025,32415,32178,32480,39572,38500,37646,33194,32147,31026,39455,36002,33953,29537,30989,29974
GS32,1020,491,30748,30999,33857,32185,31871,32306,39004,37946,37210,32921,31849,30761,39015,35565,33514,29224,30713,29694
GS32,1020,492,31308,31511,34373,32739,32478,32828,39555,38414,37781,33213,32284,31279,39408,35911,33917,29565,31106,30143
GS32,1020,493,31530,31873,34640,33077,32707,33127,39570,38413,37715,33383,32408,31324,39408,36023,33986,29664,31190,30301
GS32,1020,494,32137,32370,35353,33655,33326,33780,40043,38898,38125,33838,32865,31948,39948,36422,34482,30030,31742,30847
GS32,1020,495,32997,33312,36201,34602,34341,34570,40698,39495,38905,34573,33601,32679,40649,37071,35082,30776,32336,31613
GS32,1020,496,33663,33892,36953,35319,34987,35210,41102,39851,39205,34925,34044,33221,40988,37400,35446,31080,32782,32092
