,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS32,1020,450,1182,1141,1111,1190,1162,1168,689,1254,1202,1165,1144,1161,1280,1271,1122,1196,1062,921
GS32,1020,451,1488,1422,1394,1485,1454,1431,855,1569,1499,1438,1417,1420,1605,1594,1401,1437,1355,1127
GS32,1020,452,1836,1769,1729,1862,1792,1788,1045,1961,1856,1797,1757,1758,1998,1973,1739,1776,1666,1400
GS32,1020,453,2224,2148,2101,2274,2198,2189,1289,2379,2259,2196,2142,2138,2435,2386,2127,2100,1986,1681
GS32,1020,454,2753,2655,2627,2798,2716,2727,1579,2968,2811,2709,2643,2620,2996,2955,2630,2566,2495,2083
GS32,1020,455,3370,3225,3182,3395,3296,3291,1917,3604,3418,3279,3202,3248,3657,3604,3226,3101,3015,2556
GS32,1020,456,4021,3867,3798,4060,3946,3929,2313,4343,4104,3981,3846,3846,4366,4327,3842,3688,3621,3025
GS32,1020,457,4786,4634,4550,4891,4718,4705,2762,5175,4933,4754,4605,4596,5220,5158,4545,4374,4320,3607
GS32,1020,458,5709,5489,5401,5780,5576,5581,3254,6169,5824,5605,5481,5475,6177,6119,5460,5177,5108,4300
GS32,1020,459,6748,6508,6384,6829,6629,6598,3888,7282,6917,6642,6483,6484,7328,7239,6406,6151,6097,5082
GS32,1020,460,7899,7584,7434,7972,7723,7701,4537,8525,8119,7781,7562,7604,8561,8483,7493,7150,7092,5965
GS32,1020,461,9082,8726,8561,9136,8828,8830,5231,9779,9289,8929,8758,8702,9808,9720,8628,8192,8193,6830
GS32,1020,462,10362,9966,9838,10486,10070,10076,5959,11169,10657,10248,10026,9990,11220,11162,9873,9384,9333,7828
GS32,1020,463,11853,11430,11225,11994,11547,11533,6877,12884,12238,11774,11501,11446,12904,12806,11353,10743,10728,8943
GS32,1020,464,13266,12803,12524,13356,12891,12875,7660,14383,13728,13167,12846,12858,14397,14304,12659,12022,11987,10050
GS32,1020,465,14472,13988,13715,14650,14172,14114,8465,15855,15124,14572,14174,14171,15876,15771,13960,13214,13177,11053
GS32,1020,466,16142,15473,15246,16293,15688,15606,9334,17592,16781,16122,15734,15714,17573,17472,15558,14689,14655,12276
GS32,1020,467,17409,16815,16414,17556,16930,16809,10121,19078,18165,17507,17079,17083,18995,18891,16816,15915,15902,13283
GS32,1020,468,18531,17838,17516,18674,18046,17976,10835,20329,19435,18725,18278,18200,20291,20204,17934,16972,16979,14211
GS32,1020,469,19503,18858,18433,19701,19073,18931,11432,21589,20590,19829,19351,19262,21423,21363,19035,17934,17990,15012
GS32,1020,470,20749,19986,19552,20909,20216,19998,12191,22942,21942,21131,20667,20590,22828,22728,20262,19106,19150,16020
GS32,1020,471,21315,20599,20253,21603,20878,20689,12564,23774,22786,21886,21389,21321,23532,23542,20986,19775,19805,16574
GS32,1020,472,21868,21013,20581,22052,21203,21137,12947,24287,23200,22387,21851,21836,24131,24115,21499,20283,20285,16971
GS32,1020,473,22472,21668,21247,22657,21852,21735,13326,25129,24090,23189,22668,22562,24915,24896,22206,21035,20999,17568
GS32,1020,474,22534,21785,21361,22857,22001,21844,13466,25385,24307,23466,22854,22837,25134,25167,22456,21153,21222,17761
GS32,1020,475,22448,21658,21266,22701,21929,21789,13455,25326,24335,23358,22890,22769,25079,25094,22437,21072,21200,17731
GS32,1020,476,22515,21738,21331,22837,22078,21857,13558,25516,24454,23613,22992,22901,25313,25295,22572,21299,21334,17880
GS32,1020,477,22304,21446,21020,22497,21795,21609,13429,25251,24151,23291,22801,22743,24942,25024,22306,21119,21134,17689
GS32,1020,478,21752,20966,20531,21945,21214,21065,13115,24690,23779,22758,22288,22209,24443,24473,21829,20622,20626,17292
GS32,1020,479,21640,20803,20423,21802,21039,20967,13077,24534,23532,22647,22184,22105,24367,24334,21674,20515,20566,17243
GS32,1020,480,20945,20153,19740,21112,20382,20305,12674,23813,22769,21972,21470,21413,23514,23573,21020,19839,19947,16692
GS32,1020,481,20529,19792,19432,20748,20031,19895,12444,23320,22373,21585,21105,21123,23100,23143,20709,19536,19563,16439
GS32,1020,482,20075,19442,18985,20314,19547,19506,12159,22884,21895,21106,20646,20628,22604,22649,20250,19167,19239,16088
GS32,1020,483,19387,18726,18343,19635,18914,18856,11841,22040,21202,20479,19991,19975,21877,21957,19618,18571,18603,15562
GS32,1020,484,19277,18578,18151,19426,18729,18613,11690,21806,20947,20223,19736,19814,21571,21682,19346,18300,18346,15394
GS32,1020,485,18681,18011,17688,18865,18259,18199,11414,21177,20330,19621,19247,19240,20996,21079,18789,17798,17852,14932
GS32,1020,486,18412,17762,17423,18650,18014,17864,11191,20868,20026,19321,18861,18863,20650,20698,18494,17519,17565,14752
GS32,1020,487,18183,17507,17175,18348,17715,17625,11023,20448,19637,19005,18618,18599,20340,20364,18254,17247,17309,14580
GS32,1020,488,17970,17396,17039,18186,17545,17478,10968,20216,19418,18817,18370,18426,20072,20104,17963,17029,17117,14332
GS32,1020,489,17944,17270,16904,18005,17413,17310,10796,19970,19228,18588,18201,18248,19817,19926,17748,16816,16959,14258
GS32,1020,490,17942,17261,16928,18092,17501,17362,10822,19929,19191,18520,18147,18232,19816,19864,17748,16835,16914,14264
GS32,1020,491,17909,17240,16908,18043,17417,17409,10748,19800,19040,18334,18090,18208,19687,19721,17712,16712,16779,14171
GS32,1020,492,18134,17486,17075,18268,17627,17595,10797,19914,19158,18523,18184,18218,19822,19784,17700,16811,16934,14279
GS32,1020,493,18403,17734,17363,18541,17934,17878,10939,20098,19361,18774,18449,18452,19959,19957,17896,16975,17141,14539
GS32,1020,494,18704,18087,17679,18845,18294,18199,11108,20324,19589,18948,18684,18763,20196,20195,18110,17252,17453,14786
GS32,1020,495,19167,18538,18119,19357,18692,18610,11273,20672,19868,19302,18991,19164,20621,20599,18389,17544,17793,15132
GS32,1020,496,19611,18939,18560,19856,19100,19047,11446,20887,20134,19571,19298,19469,20850,20789,18689,17860,18101,15446
