,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
GS8,1020,497,16624,17426,11550,16722,17093,16212,17823,19867,19492,18527,16914,16209,17600,17702,17731,16230,14570,14153
GS8,1020,498,17338,18233,12062,17463,17865,16867,18267,20310,20049,19089,17472,16836,18066,18146,18243,16711,15096,14667
GS8,1020,499,18362,19371,12817,18580,18846,17836,19212,21310,21087,20085,18496,17839,18957,19098,19226,17540,15892,15565
GS8,1020,500,19338,20351,13531,19520,19859,18768,19878,21984,21841,20932,19199,18591,19628,19735,19880,18231,16615,16268
GS8,1020,501,20422,21471,14404,20623,20936,19866,20740,22844,22809,21793,20176,19639,20455,20525,20710,19091,17390,17159
GS8,1020,502,21799,22924,15260,22060,22349,21189,21811,24030,23970,22997,21393,20914,21504,21558,21833,20196,18492,18273
GS8,1020,503,23469,24694,16465,23632,24073,22849,23067,25414,25365,24495,22820,22418,22773,22820,23091,21483,19767,19631
GS8,1020,504,25056,26433,17705,25363,25672,24427,24308,26913,26928,26104,24372,23976,24085,24060,24578,22869,21150,21001
GS8,1020,505,26606,28086,18818,26957,27424,25965,25522,28080,28263,27444,25711,25456,25231,25245,25826,24080,22361,22412
GS8,1020,506,28631,30226,20292,28907,29304,27893,27158,29891,30202,29297,27615,27451,26863,26815,27528,25750,24020,24066
GS8,1020,507,30587,32245,21699,31025,31415,29861,28751,31739,31994,31223,29439,29369,28427,28380,29138,27403,25638,25748
GS8,1020,508,32614,34437,23111,33037,33522,31887,30347,33459,33884,33138,31339,31360,29982,29968,30919,29120,27308,27603
GS8,1020,509,34753,36717,24752,35369,35841,33888,32177,35567,35998,35245,33540,33594,31904,31828,32934,31123,29226,29621
GS8,1020,510,36668,38682,26084,37120,37656,35842,33678,37180,37781,37128,35307,35520,33340,33228,34604,32740,30849,31299
GS8,1020,511,38495,40655,27364,38960,39535,37575,35230,39005,39746,39164,37101,37546,34932,34919,36182,34447,32594,33102
GS8,1020,512,40489,42796,28760,40998,41489,39406,36725,40710,41607,41009,39007,39456,36449,36501,38009,36080,34202,34919
GS8,1020,513,41909,44275,29793,42521,43080,40849,38114,42356,43188,42627,40617,41185,37792,37746,39524,37511,35677,36499
GS8,1020,514,42793,45347,30571,43640,44063,41943,39048,43274,44312,43834,41798,42310,38666,38655,40480,38527,36714,37538
GS8,1020,515,43720,46228,31076,44439,44869,42573,39799,44054,45255,44754,42773,43383,39397,39396,41312,39367,37603,38556
GS8,1020,516,44243,46714,31389,45029,45464,43257,40178,44776,45824,45400,43399,44180,39912,40005,42006,40127,38208,39203
GS8,1020,517,44317,46975,31561,45122,45552,43299,40490,44992,45986,45748,43598,44374,39912,40114,42224,40295,38499,39445
GS8,1020,518,44293,46912,31566,44984,45561,43295,40552,45134,46371,45908,43892,44560,39997,40271,42402,40506,38670,39713
GS8,1020,519,43433,45936,30938,44196,44485,42397,39808,44228,45494,45128,43102,43823,39387,39483,41689,39845,37937,39021
GS8,1020,520,42887,45429,30534,43631,44094,41836,39401,43956,45184,44723,42736,43394,39043,39114,41285,39449,37692,38652
GS8,1020,521,41731,44200,29594,42459,42810,40711,38440,42680,44005,43566,41692,42385,38058,38100,40368,38453,36749,37757
GS8,1020,522,39908,42146,28272,40519,40859,38821,36727,41012,42149,41743,39867,40482,36405,36513,38635,36883,35226,36130
GS8,1020,523,38480,40719,27301,39056,39385,37472,35544,39587,40703,40371,38551,39237,35294,35398,37351,35644,34061,34995
GS8,1020,524,36595,38620,25919,37060,37415,35639,33911,37783,38961,38544,36780,37405,33614,33692,35636,33945,32470,33286
GS8,1020,525,35068,37146,24868,35644,35950,34114,32597,36324,37307,37084,35299,35822,32277,32330,34186,32540,31099,31927
GS8,1020,526,33503,35358,23749,33920,34193,32643,31155,34650,35729,35333,33599,34125,30813,30907,32687,31145,29686,30572
GS8,1020,527,31514,33264,22328,32017,32286,30750,29441,32747,33655,33389,31725,32259,29139,29257,30866,29318,28104,28765
GS8,1020,528,30097,31825,21314,30541,30764,29296,28041,31374,32235,31923,30372,30749,27883,28011,29538,28087,26807,27477
GS8,1020,529,28939,30616,20514,29353,29599,28263,27113,30248,31127,30722,29204,29575,26885,26926,28451,26992,25801,26438
GS8,1020,530,28188,29806,19982,28667,28835,27437,26450,29437,30226,29957,28477,28812,26295,26226,27684,26281,25108,25720
GS8,1020,531,27055,28496,19177,27359,27662,26325,25309,28201,28990,28689,27201,27555,25061,25177,26517,25048,24029,24587
GS8,1020,532,25885,27388,18360,26281,26573,25301,24392,27076,27762,27472,26108,26406,24118,24073,25328,24139,22977,23682
GS8,1020,533,24839,26261,17609,25301,25414,24294,23468,26113,26774,26468,25153,25398,23169,23208,24544,23214,22157,22669
GS8,1020,534,24035,25407,17036,24414,24582,23482,22677,25224,25835,25524,24242,24477,22418,22351,23629,22398,21354,21853
GS8,1020,535,23196,24524,16480,23557,23771,22658,21906,24369,24911,24622,23367,23566,21656,21628,22872,21570,20670,21060
GS8,1020,536,22396,23696,15871,22720,22923,21780,21092,23406,24033,23714,22445,22726,20827,20819,21921,20794,19845,20276
GS8,1020,537,21493,22784,15267,21854,22014,21000,20354,22593,23125,22800,21623,21811,20116,20055,21131,19921,19157,19483
GS8,1020,538,20992,22190,14889,21288,21500,20487,19846,22026,22550,22220,21088,21345,19559,19545,20658,19553,18600,19016
GS8,1020,539,20112,21281,14349,20449,20572,19664,19066,21157,21662,21386,20276,20519,18851,18807,19817,18727,17844,18274
GS8,1020,540,19583,20655,13877,19755,19911,19054,18423,20527,20974,20717,19529,19769,18281,18133,19202,18098,17310,17662
GS8,1020,541,18852,19904,13371,19083,19216,18341,17824,19748,20170,19942,18858,19001,17583,17510,18480,17427,16669,16987
GS8,1020,542,18285,19360,12978,18548,18627,17850,17300,19133,19572,19311,18302,18496,17015,17056,17873,16903,16175,16463
GS8,1020,543,18109,19121,12809,18293,18410,17564,17086,18920,19350,19003,18017,18237,16895,16768,17657,16670,15918,16253
GS8,1020,544,17437,18398,12384,17631,17805,17003,16468,18238,18695,18341,17356,17631,16247,16185,17041,16083,15339,15662
GS8,1020,545,17010,17984,12074,17153,17261,16543,15990,17675,18119,17916,16886,17123,15791,15744,16600,15650,14975,15204
GS8,1020,546,16439,17389,11699,16608,16709,16013,15411,17105,17526,17262,16400,16539,15274,15188,16051,15086,14440,14733
GS8,1020,547,15921,16834,11307,16073,16163,15482,14961,16535,16968,16724,15824,15961,14783,14735,15503,14666,13941,14267
GS8,1020,548,15403,16273,10969,15492,15622,15022,14414,15983,16363,16130,15326,15469,14275,14247,14974,14114,13498,13744
GS8,1020,549,14826,15657,10546,15003,15095,14486,13926,15349,15771,15550,14740,14903,13783,13740,14462,13586,13001,13291
GS8,1020,550,14327,15147,10181,14449,14538,13932,13380,14811,15223,14952,14204,14339,13193,13188,13881,13024,12525,12816
GS8,1020,551,13834,14669,9883,13990,14043,13462,12934,14339,14668,14475,13783,13919,12750,12741,13421,12626,12122,12352
GS8,1020,552,13466,14266,9642,13670,13684,13094,12575,13998,14339,14151,13387,13551,12461,12446,13130,12317,11849,12084
GS8,1020,553,13055,13824,9302,13185,13209,12685,12245,13542,13891,13638,12943,13136,12066,11936,12680,11908,11500,11707
GS8,1020,554,12859,13576,9158,12933,12989,12485,11960,13286,13615,13446,12747,12932,11853,11765,12488,11713,11235,11507
GS8,1020,555,12484,13190,8905,12616,12690,12150,11661,12899,13311,13094,12448,12587,11531,11460,12094,11437,11003,11211
GS8,1020,556,12190,12879,8660,12289,12355,11810,11375,12567,12930,12770,12192,12284,11290,11217,11849,11118,10730,10974
GS8,1020,557,11726,12390,8358,11804,11808,11384,10954,12136,12422,12313,11690,11833,10847,10760,11401,10707,10336,10598
GS8,1020,558,11389,12051,8105,11470,11521,11107,10662,11818,12118,11993,11329,11516,10533,10482,11095,10424,10058,10249
GS8,1020,559,11093,11717,7893,11198,11152,10783,10372,11459,11819,11655,11108,11227,10279,10183,10782,10155,9803,9976
GS8,1020,560,10615,11245,7552,10698,10706,10322,9980,11014,11328,11189,10671,10799,9881,9771,10369,9726,9438,9674
GS8,1020,561,10254,10894,7322,10345,10374,9979,9636,10656,10968,10830,10317,10421,9537,9468,10029,9430,9089,9301
GS8,1020,562,9966,10515,7140,10040,10004,9675,9309,10368,10668,10496,9936,10115,9215,9160,9717,9115,8818,9030
GS8,1020,563,9455,10000,6729,9559,9537,9232,8902,9891,10138,9986,9507,9626,8806,8761,9256,8667,8384,8569
GS8,1020,564,9190,9681,6545,9224,9240,8957,8632,9496,9793,9666,9191,9301,8541,8456,8966,8409,8142,8348
GS8,1020,565,8805,9314,6288,8854,8872,8526,8283,9107,9383,9266,8795,8931,8107,8076,8569,8076,7802,7978
GS8,1020,566,8383,8906,5993,8476,8448,8149,7909,8757,8965,8845,8409,8565,7826,7787,8216,7700,7448,7626
GS8,1020,567,8033,8481,5699,8115,8072,7811,7559,8399,8622,8520,8084,8146,7465,7434,7906,7394,7159,7319
GS8,1020,568,7627,8082,5463,7710,7683,7425,7198,7989,8210,8129,7677,7800,7146,7077,7495,6991,6798,6951
GS8,1020,569,7269,7718,5205,7345,7380,7052,6894,7646,7844,7755,7356,7428,6831,6748,7183,6689,6498,6641
GS8,1020,570,6976,7401,4978,7087,7074,6830,6631,7354,7560,7473,7050,7152,6570,6517,6904,6436,6299,6391
GS8,1020,571,6694,7073,4770,6747,6737,6541,6333,7030,7207,7148,6738,6800,6291,6223,6574,6158,5997,6095
GS8,1020,572,6432,6818,4613,6517,6498,6289,6124,6784,6968,6865,6478,6550,6085,5995,6363,5946,5796,5879
GS8,1020,573,6180,6533,4409,6228,6195,6000,5849,6463,6658,6567,6219,6276,5783,5756,6095,5653,5494,5623
GS8,1020,574,5846,6206,4204,5914,5912,5699,5586,6166,6312,6242,5873,6006,5506,5467,5809,5386,5244,5316
GS8,1020,575,5628,5955,4002,5645,5686,5483,5332,5886,6046,5976,5682,5704,5278,5266,5563,5156,5008,5113
GS8,1020,576,5449,5783,3895,5489,5492,5306,5184,5765,5907,5813,5514,5578,5118,5074,5377,5035,4888,4921
GS8,1020,577,5133,5451,3686,5180,5168,5008,4933,5454,5569,5525,5216,5263,4847,4814,5107,4721,4592,4716
GS8,1020,578,4914,5231,3523,4969,4987,4797,4737,5200,5322,5285,4984,5043,4656,4623,4912,4542,4426,4486
GS8,1020,579,4614,4876,3315,4652,4670,4509,4463,4890,5016,4942,4657,4721,4381,4322,4587,4249,4122,4206
GS8,1020,580,4433,4689,3179,4464,4488,4337,4246,4684,4786,4753,4476,4531,4162,4142,4370,4081,3967,4047
GS8,1020,581,4199,4462,3017,4252,4217,4090,4029,4478,4581,4524,4244,4276,3958,3940,4159,3877,3769,3816
GS8,1020,582,4064,4311,2926,4111,4117,4000,3923,4334,4420,4382,4130,4157,3844,3820,4041,3743,3618,3716
GS8,1020,583,3904,4147,2799,3917,3900,3775,3759,4120,4233,4157,3955,3949,3691,3668,3893,3597,3512,3538
GS8,1020,584,3773,3987,2723,3792,3814,3692,3630,3985,4099,4032,3825,3834,3569,3536,3733,3481,3369,3428
GS8,1020,585,3643,3844,2617,3673,3672,3541,3498,3850,3957,3860,3680,3702,3460,3414,3620,3327,3236,3289
GS8,1020,586,3533,3728,2539,3565,3528,3428,3397,3731,3818,3778,3554,3583,3345,3317,3490,3199,3150,3206
GS8,1020,587,3365,3587,2405,3417,3406,3278,3249,3589,3666,3634,3419,3445,3225,3183,3351,3126,3026,3076
GS8,1020,588,3271,3441,2338,3266,3282,3163,3138,3441,3513,3454,3292,3318,3089,3046,3231,2979,2865,2952
GS8,1020,589,3172,3338,2280,3184,3152,3084,3020,3339,3411,3368,3190,3185,2996,2983,3126,2907,2824,2875
GS8,1020,590,3071,3246,2204,3093,3061,2987,2950,3221,3320,3266,3058,3107,2934,2883,3038,2803,2709,2751
GS8,1020,591,2961,3143,2135,3022,2978,2903,2866,3138,3228,3167,3012,3024,2820,2786,2942,2721,2657,2701
GS8,1020,592,2880,3045,2079,2892,2894,2789,2792,3038,3147,3093,2902,2919,2740,2680,2830,2653,2572,2603
GS8,1020,593,2831,2979,2047,2837,2819,2744,2708,2967,3051,3006,2850,2882,2674,2641,2800,2584,2526,2542
GS8,1020,594,2704,2849,1948,2723,2732,2649,2607,2866,2937,2903,2709,2737,2571,2506,2681,2465,2434,2443
GS8,1020,595,2619,2769,1893,2640,2619,2556,2542,2778,2859,2794,2628,2642,2479,2460,2612,2413,2335,2383
GS8,1020,596,2535,2687,1826,2587,2576,2489,2468,2681,2777,2708,2542,2573,2422,2390,2524,2359,2275,2315
GS8,1020,597,2480,2620,1787,2480,2477,2405,2396,2642,2684,2640,2501,2502,2352,2332,2466,2269,2192,2266
GS8,1020,598,2335,2504,1704,2363,2367,2307,2289,2473,2545,2510,2383,2389,2253,2194,2330,2157,2099,2146
GS8,1020,599,2276,2412,1631,2284,2241,2218,2186,2402,2493,2447,2306,2297,2175,2114,2265,2084,2028,2052
GS8,1020,600,2241,2346,1594,2221,2205,2146,2148,2331,2388,2363,2224,2247,2106,2085,2200,2028,1984,1998
