Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
25,1.17213851E-02,3.38785872E-02,2.27986588E-04,6.59223588E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0026.tif
26,1.17201243E-02,3.38748470E-02,2.26725724E-04,6.55483687E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0027.tif
27,1.17446487E-02,3.39435898E-02,2.51250118E-04,7.24226236E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0028.tif
28,1.17400219E-02,3.39332558E-02,2.46623380E-04,7.13892339E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0029.tif
29,1.17504695E-02,3.39582302E-02,2.57070971E-04,7.38866453E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0030.tif
30,1.17375516E-02,3.39257047E-02,2.44153046E-04,7.06341059E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0031.tif
31,1.17524396E-02,3.39634717E-02,2.59041076E-04,7.44111836E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0032.tif
32,1.17447530E-02,3.39442901E-02,2.51354459E-04,7.24922633E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0033.tif
33,1.17377976E-02,3.39272320E-02,2.44399072E-04,7.07866042E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0034.tif
34,1.17433747E-02,3.39369625E-02,2.49976171E-04,7.17597490E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS05_023_0035.tif
