Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
25,1.17531088E-02,3.39667536E-02,-2.65238457E-05,-7.85506636E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0026.tif
26,1.17740216E-02,3.40263322E-02,-5.61095848E-06,-1.89721104E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0027.tif
27,1.17551456E-02,3.39722857E-02,-2.44870359E-05,-7.30156680E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0028.tif
28,1.17537746E-02,3.39723304E-02,-2.58580403E-05,-7.29727326E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0029.tif
29,1.17635308E-02,3.40002365E-02,-1.61017944E-05,-4.50665248E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0030.tif
30,1.17398204E-02,3.39234769E-02,-3.98122179E-05,-1.21826342E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0031.tif
31,1.17445890E-02,3.39421146E-02,-3.50436273E-05,-1.03190971E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0032.tif
32,1.17695558E-02,3.40201184E-02,-1.00767642E-05,-2.51840465E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0033.tif
33,1.17582660E-02,3.39778028E-02,-2.13665683E-05,-6.75041520E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0034.tif
34,1.17625647E-02,3.39935869E-02,-1.70679350E-05,-5.17154767E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0035.tif
35,1.17633774E-02,3.39998342E-02,-1.62552434E-05,-4.54675028E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0036.tif
36,1.17659025E-02,3.40013355E-02,-1.37300933E-05,-4.39666510E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0037.tif
37,1.17826582E-02,3.40539552E-02,3.02556525E-06,8.65487800E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0038.tif
38,1.17670439E-02,3.40024643E-02,-1.25886612E-05,-4.28372005E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0039.tif
39,1.17588335E-02,3.39808464E-02,-2.07990731E-05,-6.44588654E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0040.tif
40,1.17680897E-02,3.40145901E-02,-1.15429343E-05,-3.07129994E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0041.tif
41,1.17552709E-02,3.39756161E-02,-2.43617194E-05,-6.96887291E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0042.tif
42,1.17595527E-02,3.39832790E-02,-2.00798907E-05,-6.20203573E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0043.tif
43,1.17505157E-02,3.39624025E-02,-2.91169058E-05,-8.29001001E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0044.tif
44,1.17604731E-02,3.39883566E-02,-1.91595474E-05,-5.69470794E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS12_032_0045.tif
