Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
25,1.14062835E-02,3.29631940E-02,-1.40598292E-05,-4.49450490E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0026.tif
26,1.14022239E-02,3.29585709E-02,-1.81194206E-05,-4.95628337E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0027.tif
27,1.14087280E-02,3.29743437E-02,-1.16153373E-05,-3.37914425E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0028.tif
28,1.14074749E-02,3.29743959E-02,-1.28684445E-05,-3.37428974E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0029.tif
29,1.14112490E-02,3.29827107E-02,-9.09433395E-06,-2.54278420E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0030.tif
30,1.13955170E-02,3.29379328E-02,-2.48263298E-05,-7.02003381E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0031.tif
31,1.13944132E-02,3.29376385E-02,-2.59301565E-05,-7.04961640E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0032.tif
32,1.14066414E-02,3.29694040E-02,-1.37019411E-05,-3.87317232E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0033.tif
33,1.13770528E-02,3.28754224E-02,-4.32904848E-05,-1.32710091E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0034.tif
34,1.13971736E-02,3.29389609E-02,-2.31697240E-05,-6.91754612E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0035.tif
35,1.13889325E-02,3.29213068E-02,-3.14107984E-05,-8.68282805E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0036.tif
36,1.13909364E-02,3.29254083E-02,-2.94069190E-05,-8.27251424E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0037.tif
37,1.13921907E-02,3.29297110E-02,-2.81526388E-05,-7.84225849E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0038.tif
38,1.13810376E-02,3.29022780E-02,-3.93056893E-05,-1.05859406E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0039.tif
39,1.13844207E-02,3.29051241E-02,-3.59225738E-05,-1.03013284E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0040.tif
40,1.13957947E-02,3.29396538E-02,-2.45486117E-05,-6.84814368E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0041.tif
41,1.13858846E-02,3.29042003E-02,-3.44587306E-05,-1.03934704E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS10_029_0042.tif
