protein,conc,temp,test_id,repeat,gain,focal_length,well,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600
mNG,1,room,,1-Jan,1020,5.7,A1,49,48,51,50,52,52,53,52,57,56,56,58,58,58,61,60,61,62,62,63,67,66,67,67,69,73,71,74,77,76,80,83,90,90,98,107,115,124,136,150,175,195,229,265,310,372,446,529,637,756,898,1069,1282,1487,1732,1997,2283,2580,2914,3233,3538,3809,4139,4370,4553,4699,4816,4825,4834,4781,4703,4565,4377,4232,3979,3789,3579,3378,3204,3069,2966,2826,2716,2607,2478,2391,2301,2205,2114,2043,1982,1937,1855,1816,1732,1697,1665,1612,1549,1502,1468,1430,1385,1341,1340,1297,1261,1252,1191,1152,1102,1076,1036,1000,960,909,885,843,806,764,733,692,671,642,612,590,559,536,511,464,452,429,420,398,390,374,358,348,337,328,319,313,296,295,286,281,274,264,249,250,242
mNG,1,room,,1-Jan,1020,5.7,A2,49,50,53,53,55,52,54,56,56,56,60,57,59,60,60,62,62,65,66,65,65,66,70,70,70,74,72,74,74,79,83,88,86,95,102,107,117,128,143,154,184,205,240,277,322,390,457,548,664,798,941,1119,1345,1551,1814,2098,2374,2686,3044,3373,3699,3970,4304,4563,4744,4929,5007,5061,5071,4988,4922,4780,4586,4435,4177,3948,3733,3552,3356,3201,3119,2961,2831,2719,2595,2502,2413,2313,2214,2125,2071,2011,1937,1901,1838,1798,1729,1675,1632,1575,1545,1486,1459,1409,1404,1368,1334,1300,1255,1202,1156,1123,1096,1042,1018,958,915,885,852,789,752,729,697,673,639,602,587,561,526,498,476,447,434,426,404,382,388,361,352,340,331,323,312,305,295,292,279,268,266,260,255
mNG,1,room,,1-Jan,1020,5.7,A3,49,49,53,51,50,50,55,56,55,55,55,53,59,56,60,61,61,61,60,65,62,61,64,66,67,68,69,71,74,77,78,80,84,87,95,104,106,117,128,141,163,185,208,243,284,342,400,478,574,697,823,976,1170,1338,1583,1821,2065,2366,2658,2943,3223,3469,3755,3981,4128,4289,4374,4410,4434,4357,4280,4150,4014,3868,3624,3473,3250,3084,2915,2786,2687,2544,2457,2325,2204,2119,2067,1965,1868,1813,1743,1707,1638,1614,1550,1503,1456,1417,1383,1333,1309,1259,1225,1190,1175,1144,1130,1088,1052,1029,972,963,918,880,840,814,781,744,729,678,643,616,592,574,535,515,497,463,454,426,409,390,379,350,350,330,329,312,298,297,280,272,267,274,260,247,241,233,228,224,223
mNG,1,room,,1-Jan,1020,5.7,A4,49,52,50,53,54,52,55,53,52,56,56,57,58,57,58,60,61,61,65,64,66,66,66,66,69,71,72,77,77,79,83,84,88,92,99,109,116,130,139,159,188,204,237,282,328,399,472,565,668,831,969,1157,1386,1616,1878,2173,2483,2787,3153,3519,3836,4128,4465,4749,4926,5094,5218,5236,5265,5186,5091,4959,4777,4608,4334,4121,3903,3688,3493,3338,3235,3061,2963,2823,2688,2589,2503,2386,2287,2206,2143,2100,2025,1972,1927,1842,1799,1748,1691,1639,1589,1536,1511,1461,1452,1420,1378,1344,1290,1255,1208,1168,1115,1080,1054,994,955,917,881,841,785,762,719,697,663,644,609,582,560,520,506,466,451,429,418,395,392,375,362,353,342,335,325,310,313,304,288,281,282,271,265
mNG,1,room,,1-Jan,1020,5.7,A5,49,49,50,48,52,53,53,56,55,57,57,57,58,58,57,59,60,62,59,60,63,62,63,67,68,68,70,71,69,78,78,82,83,86,94,99,103,116,126,137,157,185,208,245,284,335,400,472,562,681,807,942,1130,1306,1533,1779,2007,2273,2577,2848,3113,3337,3630,3823,3997,4135,4236,4243,4266,4176,4128,4015,3872,3738,3517,3352,3135,2965,2804,2701,2606,2492,2397,2272,2201,2092,2025,1933,1876,1781,1737,1693,1626,1597,1542,1494,1451,1415,1360,1335,1293,1236,1208,1190,1174,1142,1118,1088,1049,1025,970,939,922,870,839,806,765,750,719,671,653,606,595,558,545,514,496,461,445,426,406,384,365,352,350,333,321,304,300,295,289,274,267,255,253,252,237,237,228,220,213
mNG,1,room,,1-Jan,1020,5.7,A6,46,49,50,53,50,52,52,51,54,53,55,55,53,58,56,60,61,58,63,59,59,61,63,66,65,66,69,70,73,74,75,82,84,84,90,95,102,110,124,138,154,169,198,234,265,317,372,441,523,635,755,871,1057,1233,1427,1630,1875,2113,2396,2641,2888,3083,3364,3550,3710,3850,3915,3938,3956,3899,3842,3716,3598,3461,3268,3093,2908,2767,2617,2508,2428,2313,2216,2137,2021,1952,1864,1793,1734,1662,1615,1579,1518,1478,1436,1405,1363,1320,1268,1244,1216,1168,1130,1106,1097,1079,1049,1014,980,957,914,880,861,811,796,754,719,697,669,630,603,575,550,520,497,488,463,447,429,403,386,360,342,330,326,308,307,294,286,268,267,257,250,244,240,234,228,229,221,213,206
mNG,1,room,,2-Jan,1020,5.7,A1,53,54,52,54,54,53,55,56,55,54,54,55,53,51,54,54,56,56,57,60,58,56,58,58,61,65,66,70,69,71,76,81,84,88,98,104,115,132,139,159,186,208,248,288,337,411,489,593,711,851,1002,1181,1423,1656,1904,2242,2500,2837,3159,3474,3776,4094,4371,4610,4790,4920,5019,5004,5032,4905,4849,4673,4460,4327,4065,3847,3622,3434,3282,3138,3024,2891,2766,2659,2533,2454,2354,2264,2166,2076,2041,1980,1910,1861,1815,1756,1708,1650,1601,1572,1521,1464,1431,1381,1376,1341,1303,1245,1222,1183,1138,1089,1044,1014,981,934,891,862,822,778,756,699,683,650,626,594,570,533,517,480,455,443,420,408,403,381,371,361,342,338,327,314,315,305,295,293,279,264,262,256,253
mNG,1,room,,2-Jan,1020,5.7,A2,59,56,54,56,57,56,62,56,58,57,58,55,56,60,58,62,61,61,61,64,62,59,63,69,68,65,69,72,76,74,80,82,88,92,93,104,118,121,137,147,176,195,228,268,300,366,432,517,632,748,881,1040,1246,1434,1654,1943,2175,2443,2744,3024,3327,3553,3787,3990,4134,4262,4324,4330,4348,4233,4175,4030,3863,3711,3481,3329,3137,2928,2839,2695,2610,2486,2366,2271,2171,2108,2019,1937,1870,1798,1750,1721,1636,1597,1547,1494,1459,1417,1380,1359,1312,1260,1239,1205,1191,1137,1123,1093,1058,1031,981,949,909,875,847,814,784,732,716,671,643,619,588,563,528,515,494,462,451,428,415,390,377,354,348,330,329,322,300,298,292,284,277,267,258,256,237,244,230,228,221
mNG,1,room,,2-Jan,1020,5.7,A3,58,59,57,58,58,59,57,58,58,58,58,58,58,60,58,61,59,57,59,61,62,62,65,64,66,67,70,75,75,78,81,85,90,94,101,111,120,131,144,171,193,214,249,294,349,419,502,599,715,845,994,1195,1416,1654,1910,2249,2509,2839,3165,3495,3824,4106,4402,4605,4792,4948,5010,5025,5058,4932,4839,4661,4475,4323,4055,3864,3647,3435,3313,3144,3019,2902,2767,2655,2533,2434,2366,2234,2158,2098,2020,1991,1901,1854,1802,1768,1701,1642,1608,1579,1515,1476,1437,1386,1373,1349,1316,1276,1223,1190,1129,1091,1067,999,971,934,895,859,820,778,752,712,685,645,622,600,581,535,522,480,462,437,434,408,401,381,372,357,347,340,321,313,312,307,291,290,286,268,266,261,248
