,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,D01,D02,D03,D04,D05,D06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS24,1020,517,82119,80367,80180,79575,79678,80732,72452,72002,74962,71696,73594,80733,76159,70720,69436,67909,72007,79104
GS24,1020,518,82331,80534,80324,79726,79870,80717,72885,72385,75419,72015,73964,81324,76665,71223,69798,68524,72692,80136
GS24,1020,519,80218,78591,78094,77711,77711,78721,71207,70425,73772,70434,72417,79643,74721,69670,68148,67057,71146,78322
GS24,1020,520,79060,77261,77052,76451,76586,77525,70325,69592,72852,69621,71649,78803,73898,68771,67520,66402,70300,77534
GS24,1020,521,76272,74773,74494,73815,74065,74901,68140,67573,70546,67484,69318,76419,71768,66705,65279,64309,68158,75512
GS24,1020,522,73220,71734,71514,70963,71316,72198,65809,65148,67970,65116,66718,73774,69154,64156,63107,61988,65882,72750
GS24,1020,523,70948,69218,69264,68667,68957,69591,63710,63180,65841,62982,64715,71387,67160,62324,61272,60143,63793,70491
GS24,1020,524,66808,65455,65340,64891,65113,65935,60359,59772,62322,59665,61279,67624,63578,59190,57916,56986,60521,66868
GS24,1020,525,64060,62634,62507,62158,62565,62926,57817,57348,59868,57231,58659,64859,61020,56728,55557,54611,57849,64080
GS24,1020,526,60670,59421,59248,58977,59065,59919,55138,54521,56797,54317,55704,61631,58039,53994,52849,51877,55003,60951
GS24,1020,527,57651,56333,56323,55923,56119,56744,52291,51818,54076,51603,52956,58547,55277,51294,50293,49298,52293,57933
GS24,1020,528,55608,54376,54286,53836,54108,54795,50533,50063,52221,49831,51083,56432,53462,49664,48638,47544,50482,55906
GS24,1020,529,53530,52256,52144,51855,51972,52734,48691,48295,50286,48007,49160,54279,51453,47895,46806,45847,48648,53685
GS24,1020,530,51788,50556,50519,50143,50319,50914,47117,46743,48561,46335,47671,52449,49718,46288,45351,44382,46818,51798
GS24,1020,531,49804,48697,48553,48195,48445,49128,45390,45087,46902,44647,45724,50436,48085,44723,43719,42801,45260,49981
GS24,1020,532,47917,47031,46687,46415,46603,47255,43796,43464,45258,43165,43957,48537,46277,43022,42072,41252,43541,48051
GS24,1020,533,46260,45230,45125,44861,44932,45512,42199,41928,43702,41545,42387,46752,44740,41530,40688,39681,41922,46352
GS24,1020,534,44397,43425,43209,42937,43132,43676,40531,40241,41762,39767,40675,44787,42864,39827,38947,38006,40134,44346
GS24,1020,535,42916,41998,41874,41620,41757,42264,39331,39012,40504,38511,39360,43300,41587,38694,37656,36872,38952,42978
GS24,1020,536,41815,40925,40892,40511,40671,41080,38469,37992,39579,37605,38221,42146,40831,37659,36788,35943,37851,41794
GS24,1020,537,40071,39125,39056,38714,38923,39375,36749,36356,37747,36010,36578,40220,38961,36060,35179,34317,36163,39838
GS24,1020,538,38770,37935,37806,37555,37672,38117,35680,35342,36666,34763,35369,38979,37751,34987,34124,33168,35113,38572
GS24,1020,539,37418,36545,36554,36194,36374,36865,34399,34020,35371,33511,34266,37548,36464,33732,32830,32066,33798,37237
GS24,1020,540,36485,35679,35600,35210,35372,35882,33479,33146,34372,32608,33332,36488,35535,32907,32004,31201,32855,36139
GS24,1020,541,35982,35203,34994,34779,34913,35344,33042,32745,33870,32116,32744,36023,35018,32410,31573,30800,32308,35580
GS24,1020,542,34432,33614,33621,33342,33427,33858,31779,31429,32515,30871,31456,34450,33580,31144,30316,29511,31014,34141
GS24,1020,543,33571,32847,32651,32368,32546,33031,30951,30505,31731,30009,30505,33553,32751,30391,29562,28711,30179,33199
GS24,1020,544,32554,31795,31634,31414,31582,32066,29901,29607,30644,29120,29553,32466,31645,29339,28568,27745,29225,32180
GS24,1020,545,31686,30930,30816,30632,30751,31214,29015,28727,29725,28214,28627,31514,30770,28417,27722,26924,28343,31154
GS24,1020,546,30827,30047,29915,29761,29907,30300,28177,27915,28892,27435,27907,30643,29805,27661,26946,26207,27552,30266
GS24,1020,547,29442,28887,28816,28617,28709,29096,27128,26764,27701,26274,26843,29423,28688,26582,25817,25152,26395,29012
GS24,1020,548,28540,27929,27850,27584,27672,28133,26150,25737,26799,25388,25835,28439,27529,25539,24866,24255,25545,28012
GS24,1020,549,27724,27096,27057,26784,26991,27363,25345,25108,26063,24648,25131,27659,26859,24902,24221,23499,24797,27347
GS24,1020,550,26710,26119,26106,25870,25950,26338,24413,24074,25087,23838,24190,26610,25841,23938,23314,22726,23884,26294
GS24,1020,551,25700,25192,25060,24858,24988,25273,23510,23222,24127,22950,23314,25660,24743,23025,22385,21865,22975,25352
GS24,1020,552,24880,24357,24319,24124,24201,24495,22719,22525,23345,22165,22597,24877,23949,22231,21729,21143,22322,24525
GS24,1020,553,24228,23671,23611,23344,23420,23782,22021,21790,22714,21551,21974,24211,23299,21624,21038,20554,21623,23911
GS24,1020,554,23849,23304,23170,22904,23095,23389,21651,21439,22221,21171,21611,23783,22846,21175,20708,20189,21226,23490
GS24,1020,555,22903,22469,22350,22117,22241,22457,20902,20639,21464,20413,20793,22920,22055,20451,19899,19495,20570,22672
GS24,1020,556,22284,21908,21787,21514,21644,21892,20285,20108,20864,19883,20280,22278,21430,19871,19422,18961,20000,22150
GS24,1020,557,21662,21278,21131,20931,21003,21310,19699,19505,20201,19298,19745,21693,20875,19316,18852,18456,19403,21458
GS24,1020,558,20846,20411,20337,20109,20206,20487,18964,18740,19469,18584,18965,20861,20107,18676,18197,17801,18776,20671
GS24,1020,559,20219,19838,19714,19465,19642,19870,18408,18284,18964,18010,18394,20294,19503,18057,17706,17253,18244,20150
GS24,1020,560,19340,18880,18840,18636,18741,18923,17612,17370,18050,17260,17653,19361,18636,17268,16901,16521,17440,19214
GS24,1020,561,18546,18192,18020,17830,18001,18219,16932,16743,17461,16565,16932,18618,17916,16651,16200,15844,16759,18540
GS24,1020,562,17844,17573,17471,17270,17356,17558,16380,16143,16792,16050,16326,18032,17319,16067,15673,15358,16225,17875
GS24,1020,563,17049,16751,16604,16459,16604,16807,15646,15445,16031,15243,15599,17199,16540,15310,14990,14652,15485,17084
GS24,1020,564,16527,16204,16034,15957,16024,16237,15190,14982,15580,14854,15111,16721,16154,14975,14523,14227,15015,16587
GS24,1020,565,15780,15507,15411,15241,15301,15578,14513,14344,14943,14180,14480,15941,15354,14286,13901,13570,14338,15828
GS24,1020,566,15070,14766,14682,14543,14590,14812,13857,13692,14244,13576,13790,15218,14646,13660,13265,12969,13735,15100
GS24,1020,567,14504,14158,14063,13966,14058,14224,13307,13141,13699,12979,13317,14597,14103,13048,12794,12483,13149,14489
GS24,1020,568,13908,13625,13507,13417,13538,13661,12796,12705,13097,12472,12785,14020,13569,12583,12287,11986,12649,13947
GS24,1020,569,13118,12836,12773,12680,12754,12934,12079,11995,12488,11824,12057,13266,12820,11885,11658,11316,11968,13138
GS24,1020,570,12743,12505,12430,12317,12350,12554,11729,11598,12101,11470,11744,12846,12448,11546,11335,10992,11636,12837
GS24,1020,571,12006,11827,11724,11614,11663,11855,11095,11001,11414,10831,11032,12178,11772,10958,10629,10416,10993,12110
GS24,1020,572,11560,11355,11324,11174,11268,11384,10715,10603,11008,10446,10652,11689,11387,10570,10300,10032,10569,11637
GS24,1020,573,11128,10936,10840,10765,10806,10967,10307,10263,10584,10114,10244,11216,10957,10136,9900,9656,10149,11218
GS24,1020,574,10570,10371,10283,10189,10247,10438,9806,9705,10078,9532,9763,10701,10414,9669,9434,9203,9685,10659
GS24,1020,575,10192,9958,9928,9874,9918,10066,9485,9377,9769,9202,9387,10304,10077,9366,9095,8882,9343,10291
GS24,1020,576,9769,9597,9547,9436,9466,9660,9117,9012,9348,8856,8994,9864,9673,8991,8777,8553,8946,9844
GS24,1020,577,9311,9104,9020,8966,9033,9144,8642,8540,8846,8431,8532,9362,9150,8519,8288,8048,8463,9348
GS24,1020,578,8857,8759,8682,8592,8623,8772,8313,8207,8506,8063,8193,9022,8817,8174,7971,7755,8150,8948
GS24,1020,579,8344,8175,8168,8076,8116,8224,7767,7741,7991,7535,7707,8427,8314,7704,7478,7266,7606,8402
GS24,1020,580,8023,7918,7840,7797,7812,7957,7541,7456,7732,7313,7453,8141,7961,7388,7192,6992,7378,8078
GS24,1020,581,7530,7409,7344,7259,7309,7398,7026,6980,7229,6816,6940,7559,7469,6971,6765,6566,6874,7584
GS24,1020,582,7317,7233,7167,7089,7086,7195,6857,6758,7025,6642,6772,7343,7317,6758,6601,6379,6695,7314
GS24,1020,583,7009,6882,6850,6770,6845,6910,6601,6515,6740,6373,6501,7058,6992,6447,6314,6084,6431,7074
GS24,1020,584,6772,6666,6624,6546,6599,6725,6357,6285,6510,6146,6221,6806,6744,6274,6105,5932,6202,6785
GS24,1020,585,6472,6423,6356,6317,6315,6442,6124,6039,6247,5919,6018,6568,6478,6025,5832,5676,5954,6547
GS24,1020,586,6296,6187,6163,6122,6146,6234,5953,5895,6104,5730,5822,6374,6298,5866,5665,5494,5734,6325
GS24,1020,587,6029,5903,5877,5809,5866,5946,5663,5607,5820,5455,5562,6056,6021,5558,5419,5246,5489,6040
GS24,1020,588,5836,5733,5728,5636,5657,5798,5515,5458,5595,5309,5394,5859,5838,5433,5227,5091,5335,5844
GS24,1020,589,5668,5560,5540,5501,5539,5622,5376,5300,5438,5164,5249,5688,5696,5290,5106,4921,5154,5678
GS24,1020,590,5483,5397,5386,5310,5337,5423,5186,5112,5290,5000,5043,5498,5507,5109,4901,4775,5032,5498
GS24,1020,591,5366,5296,5227,5189,5244,5286,5084,5002,5186,4899,4939,5429,5356,4980,4851,4691,4916,5351
GS24,1020,592,5168,5083,5075,5030,5033,5101,4890,4818,5002,4722,4794,5204,5193,4834,4650,4517,4724,5180
GS24,1020,593,5061,4941,4946,4887,4901,4986,4801,4737,4880,4596,4679,5066,5075,4685,4536,4409,4627,5052
GS24,1020,594,4853,4795,4740,4701,4746,4830,4608,4542,4701,4440,4493,4904,4878,4514,4378,4240,4452,4864
GS24,1020,595,4730,4623,4606,4571,4606,4639,4463,4424,4544,4275,4365,4739,4737,4392,4227,4154,4272,4750
GS24,1020,596,4611,4500,4442,4439,4471,4522,4308,4290,4413,4187,4229,4609,4605,4265,4127,3998,4200,4580
GS24,1020,597,4429,4379,4348,4341,4330,4409,4198,4159,4297,4042,4102,4462,4464,4137,4021,3834,4054,4405
GS24,1020,598,4295,4219,4189,4180,4185,4247,4059,3987,4150,3925,3987,4306,4325,4018,3847,3760,3938,4330
GS24,1020,599,4080,4050,4028,3981,3992,4073,3868,3830,3992,3710,3776,4120,4141,3809,3712,3591,3745,4090
GS24,1020,600,4028,3974,3940,3881,3896,3971,3782,3780,3891,3653,3717,4032,4032,3731,3632,3516,3643,4028
