Q,I(Q),Error
3.66999284E-02,3.99115838E-01,4.78446440E-03
3.69855310E-02,3.86644934E-01,4.81166454E-03
3.72711335E-02,3.84709132E-01,4.75683435E-03
3.75567361E-02,3.83973103E-01,4.70925086E-03
3.78423386E-02,3.89658664E-01,4.71281986E-03
3.81279412E-02,3.73465103E-01,4.68582659E-03
3.84135437E-02,3.81628593E-01,4.71080193E-03
3.86991463E-02,3.69764007E-01,4.65801179E-03
3.89847489E-02,3.66157790E-01,4.63685872E-03
3.92703514E-02,3.49442746E-01,4.62636005E-03
3.95559540E-02,3.68833919E-01,4.60282240E-03
3.98415565E-02,3.70992694E-01,4.60616846E-03
4.01271591E-02,3.64269598E-01,4.55341294E-03
4.04127616E-02,3.47291849E-01,4.59152576E-03
4.06983642E-02,3.46999961E-01,4.55633601E-03
4.09839667E-02,3.53325969E-01,4.50958559E-03
4.12695693E-02,3.38552050E-01,4.49535556E-03
4.15551719E-02,3.36559188E-01,4.50057411E-03
4.18407744E-02,3.39372668E-01,4.51531013E-03
4.21263770E-02,3.43456086E-01,4.47242158E-03
4.24119795E-02,3.39349778E-01,4.42574822E-03
4.26975821E-02,3.31073633E-01,4.42145796E-03
4.29831846E-02,3.30682922E-01,4.43348871E-03
4.32687872E-02,3.25416860E-01,4.42406693E-03
4.35543897E-02,3.25666592E-01,4.39583632E-03
4.38399923E-02,3.19327123E-01,4.37822564E-03
4.41255949E-02,3.20209237E-01,4.39626046E-03
4.44111974E-02,3.22506089E-01,4.34657016E-03
4.46968000E-02,3.10479404E-01,4.35962626E-03
4.49824025E-02,3.27246990E-01,4.31320822E-03
4.52680051E-02,3.12977105E-01,4.35557422E-03
4.55536076E-02,3.09110672E-01,4.33041797E-03
4.58392102E-02,3.09737987E-01,4.32158976E-03
4.61248127E-02,3.15000549E-01,4.28020245E-03
4.64104153E-02,3.05130559E-01,4.26164295E-03
4.66960179E-02,3.04756756E-01,4.32013517E-03
4.69816204E-02,3.00915939E-01,4.22777732E-03
4.72672230E-02,2.94610034E-01,4.24953642E-03
4.75528255E-02,3.00388286E-01,4.25660204E-03
4.78384281E-02,2.92218076E-01,4.22711705E-03
4.81240306E-02,2.97250381E-01,4.21994223E-03
4.84096332E-02,2.99319767E-01,4.22051773E-03
4.86952357E-02,2.88839493E-01,4.31860877E-03
4.89808383E-02,2.86948117E-01,4.37416340E-03
4.92664409E-02,2.85117778E-01,4.35369711E-03
4.95520434E-02,2.77413974E-01,4.42353201E-03
4.98376460E-02,2.86408212E-01,4.37688462E-03
5.01232485E-02,2.85160122E-01,4.46577323E-03
5.04088511E-02,2.73944034E-01,4.42993832E-03
5.06944536E-02,2.63043878E-01,4.45346813E-03
5.09800562E-02,2.74240382E-01,4.47600534E-03
5.12656587E-02,2.70098179E-01,4.48103486E-03
5.15512613E-02,2.74850374E-01,4.49318241E-03
5.18368639E-02,2.64606476E-01,4.49410613E-03
5.21224664E-02,2.63594028E-01,4.50084119E-03
5.24080690E-02,2.72923965E-01,4.53507409E-03
5.26936715E-02,2.62265363E-01,4.55036488E-03
5.29792741E-02,2.58314380E-01,4.53702254E-03
5.32648766E-02,2.49758948E-01,4.49801064E-03
5.35504792E-02,2.46962773E-01,4.54850510E-03
5.38360817E-02,2.45232302E-01,4.54883610E-03
5.41216843E-02,2.64900059E-01,4.53457913E-03
5.44072869E-02,2.60403416E-01,4.60849520E-03
5.46928894E-02,2.47148749E-01,4.52267320E-03
5.49784920E-02,2.49272082E-01,4.60125954E-03
5.52640945E-02,2.41208896E-01,4.50527468E-03
5.55496971E-02,2.44215687E-01,4.61311909E-03
5.58352996E-02,2.30334734E-01,4.55877876E-03
5.61209022E-02,2.46678952E-01,4.56955804E-03
5.64065047E-02,2.41256799E-01,4.62864934E-03
5.66921073E-02,2.35697072E-01,4.49838376E-03
5.69777099E-02,2.39055604E-01,4.58544267E-03
5.72633124E-02,2.32253552E-01,4.51595945E-03
5.75489150E-02,2.24040574E-01,4.53449727E-03
5.78345175E-02,2.24259809E-01,4.57845950E-03
5.81201201E-02,2.28626588E-01,4.51342480E-03
5.84057226E-02,2.23642305E-01,4.53494379E-03
5.86913252E-02,2.22922855E-01,4.48425819E-03
5.89769278E-02,2.29573181E-01,4.53979321E-03
5.92625303E-02,2.22458948E-01,4.49763202E-03
5.95481329E-02,2.08076920E-01,4.50655275E-03
5.98337354E-02,2.16307177E-01,4.53589849E-03
6.01193380E-02,2.15667166E-01,4.42627083E-03
6.04049405E-02,2.14637959E-01,4.52561592E-03
6.06905431E-02,2.01077641E-01,4.43010568E-03
6.09761456E-02,2.11539444E-01,4.49027716E-03
6.12617482E-02,2.09021735E-01,4.49942663E-03
6.15473508E-02,2.03204243E-01,4.42405764E-03
6.18329533E-02,2.11275358E-01,4.49579145E-03
6.21185559E-02,1.91679081E-01,4.38561640E-03
6.24041584E-02,2.05609966E-01,4.45685377E-03
6.26897610E-02,2.05303188E-01,4.42134073E-03
