,,Well,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S1,1020,515,29772,29970,30369,15199,32347,21200,26895,28060,32151,21999,20064,31302,23030,30286,26512,27063,25663,24366
PUMA S1,1020,516,30046,30206,30699,15298,32686,21375,27079,28264,32418,22216,20348,31703,23267,30563,26752,27369,26008,24717
PUMA S1,1020,517,29887,30093,30444,15218,32552,21298,26901,28118,32275,22098,20187,31710,23143,30375,26650,27299,25938,24646
PUMA S1,1020,518,29850,30035,30392,15288,32412,21261,26953,28148,32383,22090,20266,31713,23131,30402,26753,27405,25881,24778
PUMA S1,1020,519,29139,29369,29862,14901,31802,20729,26335,27552,31669,21641,19851,31062,22582,29714,26171,26915,25456,24321
PUMA S1,1020,520,28634,28877,29304,14717,31221,20399,25902,27162,31222,21342,19547,30641,22272,29351,25792,26513,25090,23986
PUMA S1,1020,521,27902,27980,28445,14204,30255,19812,25098,26306,30216,20668,18944,29737,21588,28475,25011,25643,24406,23322
PUMA S1,1020,522,26796,26923,27339,13666,29137,19070,24291,25362,29213,19927,18237,28616,20813,27397,24080,24747,23480,22420
PUMA S1,1020,523,25934,25994,26373,13179,28229,18432,23455,24522,28279,19254,17659,27697,20154,26591,23285,23964,22711,21769
PUMA S1,1020,524,24477,24540,24944,12429,26607,17367,22181,23250,26786,18176,16736,26284,19056,25127,22141,22670,21488,20514
PUMA S1,1020,525,23358,23527,23858,11941,25434,16655,21249,22217,25623,17506,16029,25125,18259,24064,21140,21688,20519,19608
PUMA S1,1020,526,22114,22308,22531,11277,24113,15786,20161,21095,24251,16557,15168,23796,17264,22825,19943,20459,19501,18557
PUMA S1,1020,527,21021,21087,21443,10740,22893,14965,19142,20068,23032,15694,14341,22543,16441,21721,19013,19535,18409,17636
PUMA S1,1020,528,20047,20178,20471,10226,21872,14237,18239,19183,22020,15005,13767,21566,15713,20781,18234,18638,17675,16821
PUMA S1,1020,529,19300,19323,19663,9844,20974,13710,17588,18420,21209,14459,13152,20707,15120,19995,17514,17905,16916,16168
PUMA S1,1020,530,18700,18813,19118,9589,20440,13344,17140,17875,20643,14069,12853,20121,14689,19513,16976,17411,16464,15725
PUMA S1,1020,531,17997,18055,18317,9181,19619,12806,16523,17285,19847,13502,12317,19343,14191,18684,16348,16713,15824,15059
PUMA S1,1020,532,17389,17419,17733,8881,18896,12384,15948,16666,19203,13021,11923,18662,13646,18096,15841,16198,15301,14550
PUMA S1,1020,533,16640,16665,16952,8492,18085,11816,15270,16054,18401,12459,11404,17834,13142,17369,15157,15520,14628,13900
PUMA S1,1020,534,15931,16069,16246,8141,17345,11375,14691,15373,17634,12020,10962,17146,12607,16711,14536,14866,14061,13334
PUMA S1,1020,535,15489,15517,15786,7905,16831,11041,14220,14906,17161,11637,10640,16616,12267,16201,14090,14439,13554,12881
PUMA S1,1020,536,15002,15130,15319,7686,16362,10686,13904,14548,16702,11333,10338,16119,11879,15745,13748,14045,13264,12513
PUMA S1,1020,537,14432,14457,14672,7350,15676,10249,13308,13996,16016,10881,9892,15468,11409,15116,13211,13435,12654,12024
PUMA S1,1020,538,13939,14026,14183,7142,15190,9950,12851,13512,15480,10479,9538,14978,11060,14637,12770,13043,12282,11598
PUMA S1,1020,539,13414,13458,13686,6860,14614,9556,12458,12989,14964,10107,9214,14404,10675,14106,12304,12525,11810,11203
PUMA S1,1020,540,13046,13138,13422,6714,14201,9330,12131,12630,14527,9873,8960,13971,10384,13734,11991,12211,11505,10837
PUMA S1,1020,541,12756,12856,12972,6496,13856,9085,11813,12347,14173,9603,8773,13671,10172,13458,11699,11925,11243,10557
PUMA S1,1020,542,12342,12415,12589,6324,13437,8807,11478,12010,13750,9351,8472,13185,9822,12965,11285,11494,10830,10225
PUMA S1,1020,543,12053,12098,12291,6178,13078,8593,11178,11665,13393,9079,8247,12838,9577,12645,10989,11190,10525,9990
PUMA S1,1020,544,11655,11719,11882,5967,12655,8284,10772,11360,12912,8758,7977,12473,9206,12185,10643,10854,10165,9618
PUMA S1,1020,545,11332,11369,11533,5802,12318,8065,10491,10978,12587,8524,7744,12052,8977,11864,10297,10532,9873,9344
PUMA S1,1020,546,10976,11016,11131,5614,11889,7785,10130,10603,12113,8254,7509,11641,8632,11459,9947,10164,9584,9024
PUMA S1,1020,547,10549,10629,10825,5440,11496,7517,9759,10248,11690,7946,7249,11249,8331,11066,9629,9853,9254,8721
PUMA S1,1020,548,10220,10266,10443,5242,11065,7315,9428,9924,11301,7674,7018,10895,8074,10676,9285,9489,8909,8432
PUMA S1,1020,549,9835,9925,10064,5073,10704,7028,9098,9508,10868,7383,6780,10525,7800,10263,8936,9120,8613,8162
PUMA S1,1020,550,9600,9643,9795,4930,10410,6860,8852,9273,10593,7207,6593,10189,7582,9990,8672,8902,8361,7938
PUMA S1,1020,551,9259,9270,9427,4774,9984,6595,8508,8907,10198,6915,6322,9811,7286,9617,8387,8536,8044,7603
PUMA S1,1020,552,8998,8992,9147,4639,9731,6361,8269,8624,9886,6762,6149,9515,7071,9343,8166,8324,7843,7430
PUMA S1,1020,553,8636,8729,8823,4481,9384,6169,7980,8355,9546,6483,5926,9222,6807,9017,7822,8030,7568,7177
PUMA S1,1020,554,8568,8608,8726,4451,9243,6115,7854,8178,9431,6420,5895,9123,6727,8897,7741,7896,7475,7067
PUMA S1,1020,555,8313,8341,8489,4307,9017,5938,7649,7989,9124,6250,5709,8889,6512,8655,7559,7720,7292,6894
PUMA S1,1020,556,8098,8146,8272,4196,8752,5794,7435,7782,8892,6079,5555,8636,6391,8402,7364,7527,7099,6752
PUMA S1,1020,557,7876,7908,8034,4063,8537,5609,7256,7565,8644,5925,5413,8401,6209,8188,7143,7310,6908,6561
PUMA S1,1020,558,7550,7614,7709,3947,8150,5391,6936,7293,8321,5707,5221,8110,5938,7883,6890,7037,6610,6295
PUMA S1,1020,559,7366,7366,7494,3809,7958,5239,6727,7069,8133,5524,5071,7829,5792,7667,6690,6815,6474,6134
PUMA S1,1020,560,7026,7025,7115,3633,7608,5027,6441,6725,7723,5288,4843,7494,5536,7302,6385,6523,6158,5880
PUMA S1,1020,561,6790,6826,6911,3523,7310,4854,6258,6523,7490,5088,4691,7251,5337,7071,6178,6284,5961,5661
PUMA S1,1020,562,6567,6602,6692,3391,7078,4708,6006,6304,7202,4956,4523,7032,5167,6806,5987,6109,5800,5483
PUMA S1,1020,563,6248,6260,6371,3222,6732,4468,5735,6000,6914,4714,4334,6687,4933,6538,5699,5808,5473,5217
PUMA S1,1020,564,6045,6064,6126,3135,6499,4319,5541,5818,6654,4534,4190,6474,4762,6304,5497,5634,5324,5063
PUMA S1,1020,565,5742,5786,5858,3013,6246,4124,5320,5543,6384,4363,3998,6187,4535,6005,5252,5393,5089,4867
PUMA S1,1020,566,5538,5573,5671,2900,6007,3963,5099,5368,6131,4186,3862,5944,4355,5809,5060,5167,4906,4655
PUMA S1,1020,567,5322,5353,5431,2764,5769,3795,4921,5170,5890,4035,3686,5720,4230,5541,4876,4985,4710,4472
PUMA S1,1020,568,5121,5112,5238,2673,5501,3660,4720,4929,5661,3854,3553,5467,4065,5345,4671,4795,4513,4265
PUMA S1,1020,569,4835,4844,4905,2503,5185,3460,4464,4666,5371,3648,3343,5196,3826,5078,4394,4533,4275,4063
PUMA S1,1020,570,4652,4635,4721,2417,5038,3315,4289,4516,5141,3522,3229,4973,3682,4894,4283,4339,4121,3886
PUMA S1,1020,571,4411,4429,4508,2317,4771,3175,4126,4302,4908,3364,3072,4773,3508,4640,4073,4153,3915,3724
PUMA S1,1020,572,4283,4269,4321,2243,4607,3047,3974,4132,4720,3254,2956,4572,3400,4496,3899,4012,3767,3594
PUMA S1,1020,573,4053,4071,4143,2132,4366,2930,3751,3958,4522,3087,2837,4369,3234,4272,3742,3801,3573,3408
PUMA S1,1020,574,3866,3894,3947,2033,4207,2779,3632,3780,4341,2959,2687,4179,3101,4101,3562,3655,3440,3268
PUMA S1,1020,575,3748,3781,3816,1975,4045,2694,3474,3669,4169,2858,2609,4051,3012,3959,3463,3504,3321,3165
PUMA S1,1020,576,3616,3637,3685,1892,3883,2588,3371,3522,4019,2748,2546,3859,2902,3822,3319,3393,3188,3046
PUMA S1,1020,577,3445,3431,3474,1803,3699,2451,3211,3353,3820,2623,2399,3695,2752,3648,3149,3233,3026,2887
PUMA S1,1020,578,3298,3309,3353,1737,3558,2363,3072,3212,3676,2518,2312,3507,2660,3497,3029,3107,2918,2738
PUMA S1,1020,579,3091,3087,3134,1628,3346,2209,2870,3023,3443,2362,2139,3331,2479,3268,2835,2906,2741,2557
PUMA S1,1020,580,2975,2983,3005,1549,3200,2128,2767,2896,3322,2275,2070,3161,2394,3165,2722,2763,2628,2492
PUMA S1,1020,581,2778,2767,2837,1459,2985,1989,2603,2757,3107,2119,1951,2977,2258,2932,2586,2613,2441,2320
PUMA S1,1020,582,2688,2711,2725,1411,2896,1955,2532,2639,3027,2065,1894,2889,2172,2867,2514,2524,2381,2234
PUMA S1,1020,583,2586,2597,2618,1354,2788,1862,2428,2541,2895,1978,1805,2774,2084,2737,2399,2422,2280,2158
PUMA S1,1020,584,2504,2513,2546,1302,2691,1786,2373,2448,2813,1925,1745,2685,2022,2682,2340,2353,2206,2093
PUMA S1,1020,585,2405,2418,2441,1267,2609,1728,2231,2359,2700,1860,1680,2566,1930,2552,2235,2246,2119,2013
PUMA S1,1020,586,2322,2347,2375,1235,2525,1678,2199,2288,2611,1795,1635,2501,1870,2494,2176,2194,2081,1938
PUMA S1,1020,587,2220,2224,2269,1182,2402,1607,2088,2190,2512,1703,1554,2406,1811,2382,2062,2096,2000,1876
PUMA S1,1020,588,2156,2161,2192,1136,2325,1555,2028,2143,2416,1662,1519,2308,1766,2308,1994,2056,1923,1806
PUMA S1,1020,589,2085,2100,2141,1117,2242,1511,1984,2077,2370,1624,1467,2254,1690,2227,1949,1995,1856,1770
PUMA S1,1020,590,2021,2031,2068,1072,2194,1469,1898,2014,2271,1546,1415,2173,1638,2178,1880,1923,1802,1687
PUMA S1,1020,591,1963,1968,2011,1033,2128,1429,1861,1963,2223,1514,1387,2109,1605,2111,1831,1863,1754,1661
PUMA S1,1020,592,1928,1912,1942,998,2054,1381,1833,1894,2152,1470,1348,2038,1553,2042,1775,1787,1689,1594
PUMA S1,1020,593,1893,1864,1914,1002,2010,1353,1775,1841,2108,1440,1330,1996,1525,2001,1754,1766,1670,1566
PUMA S1,1020,594,1789,1784,1851,954,1927,1312,1703,1778,2029,1386,1289,1944,1473,1930,1678,1683,1612,1506
PUMA S1,1020,595,1757,1751,1775,936,1882,1247,1657,1733,1970,1356,1231,1878,1431,1866,1619,1651,1549,1451
PUMA S1,1020,596,1694,1717,1725,909,1817,1234,1603,1678,1910,1321,1216,1835,1382,1797,1576,1592,1522,1417
PUMA S1,1020,597,1647,1660,1684,881,1759,1211,1559,1629,1853,1295,1161,1787,1341,1759,1547,1541,1459,1374
PUMA S1,1020,598,1611,1575,1624,855,1711,1155,1525,1568,1789,1235,1133,1717,1300,1705,1482,1508,1403,1325
PUMA S1,1020,599,1531,1528,1550,820,1633,1108,1432,1488,1721,1185,1076,1644,1255,1633,1422,1439,1358,1275
PUMA S1,1020,600,1478,1493,1527,796,1609,1082,1413,1470,1663,1141,1057,1562,1209,1571,1396,1405,1322,1240
