Q,I(Q),Error
2.99882683E-03,2.70110294E-02,3.03840937E-03
3.28442939E-03,2.36585513E-02,1.62603579E-03
3.57003195E-03,1.99057683E-02,1.35319005E-03
3.85563450E-03,2.60425769E-02,1.13413202E-03
4.14123706E-03,2.44095474E-02,8.98784895E-04
4.42683961E-03,2.45027468E-02,7.60725944E-04
4.71244217E-03,2.48398632E-02,6.95491988E-04
4.99804472E-03,2.45645531E-02,6.56163218E-04
5.28364728E-03,2.44868509E-02,6.29063597E-04
5.56924984E-03,2.33577155E-02,6.21598879E-04
5.85485239E-03,2.40283832E-02,6.17822075E-04
6.14045495E-03,2.40879729E-02,6.01502559E-04
6.42605750E-03,2.36205496E-02,5.81030856E-04
6.71166006E-03,2.40205377E-02,5.64050162E-04
6.99726261E-03,2.35049278E-02,5.50284679E-04
7.28286517E-03,2.37430446E-02,5.44346734E-04
7.56846773E-03,2.36662328E-02,5.40363728E-04
7.85407028E-03,2.37090327E-02,5.19450017E-04
8.13967284E-03,2.29139403E-02,5.07798082E-04
8.42527539E-03,2.30221562E-02,5.05621425E-04
8.71087795E-03,2.24626735E-02,4.93468548E-04
8.99648050E-03,2.37214826E-02,4.93166803E-04
9.28208306E-03,2.32893005E-02,4.77400996E-04
9.56768562E-03,2.28684731E-02,4.67113226E-04
9.85328817E-03,2.33692750E-02,4.80698669E-04
1.01388907E-02,2.34846622E-02,4.56800284E-04
1.04244933E-02,2.31732279E-02,4.47614077E-04
1.07100958E-02,2.35501975E-02,4.51595048E-04
1.09956984E-02,2.30979398E-02,4.43200525E-04
1.12813009E-02,2.30886973E-02,4.44709632E-04
1.15669035E-02,2.31282525E-02,4.25538876E-04
1.18525061E-02,2.30370089E-02,4.27967892E-04
1.21381086E-02,2.29842141E-02,4.22894527E-04
1.24237112E-02,2.35769674E-02,3.91869065E-04
1.27093137E-02,2.23429874E-02,3.81291611E-04
1.29949163E-02,2.34292336E-02,3.67621515E-04
1.32805188E-02,2.30797045E-02,3.64727125E-04
1.35661214E-02,2.25132965E-02,3.52519895E-04
1.38517240E-02,2.28848867E-02,3.46863701E-04
1.41373265E-02,2.22544298E-02,3.39075697E-04
1.44229291E-02,2.20138207E-02,3.34927253E-04
1.47085316E-02,2.23479010E-02,3.29652232E-04
1.49941342E-02,2.28533894E-02,3.23314658E-04
1.52797367E-02,2.21819952E-02,3.19428648E-04
1.55653393E-02,2.15219148E-02,3.10818525E-04
1.58509418E-02,2.23378092E-02,3.11280001E-04
1.61365444E-02,2.21585035E-02,3.05418238E-04
1.64221470E-02,2.18826570E-02,3.00203762E-04
1.67077495E-02,2.21783631E-02,2.97965315E-04
1.69933521E-02,2.15807743E-02,2.91690074E-04
1.72789546E-02,2.11588480E-02,2.88923265E-04
1.75645572E-02,2.14426666E-02,2.86350252E-04
1.78501597E-02,2.14575604E-02,2.82132824E-04
1.81357623E-02,2.15879381E-02,2.81610485E-04
1.84213648E-02,2.14092545E-02,2.75045614E-04
1.87069674E-02,2.13262662E-02,2.73780070E-04
1.89925700E-02,2.10957266E-02,2.73285348E-04
1.92781725E-02,2.13295370E-02,2.66280510E-04
1.95637751E-02,2.09943093E-02,2.66891700E-04
1.98493776E-02,2.09288336E-02,2.60668353E-04
2.01349802E-02,2.03664936E-02,2.60411551E-04
2.04205827E-02,2.04403847E-02,2.58714177E-04
2.07061853E-02,2.04713121E-02,2.52839543E-04
2.09917878E-02,2.09065638E-02,2.53624378E-04
2.12773904E-02,2.05508731E-02,2.49332984E-04
2.15629930E-02,2.01672763E-02,2.48442357E-04
2.18485955E-02,2.02140473E-02,2.46526720E-04
2.21341981E-02,2.02573091E-02,2.42669553E-04
2.24198006E-02,1.99260972E-02,2.41276856E-04
2.27054032E-02,2.04546489E-02,2.40702506E-04
2.29910057E-02,1.99780874E-02,2.38063951E-04
2.32766083E-02,1.99620612E-02,2.34789552E-04
2.35622108E-02,2.01194026E-02,2.35586897E-04
2.38478134E-02,1.96026824E-02,2.31424054E-04
2.41334160E-02,1.98189989E-02,2.30316747E-04
2.44190185E-02,1.96444951E-02,2.28562515E-04
2.47046211E-02,1.92494392E-02,2.25714677E-04
2.49902236E-02,1.90384723E-02,2.24523588E-04
2.52758262E-02,1.91015452E-02,2.22361642E-04
2.55614287E-02,1.92614831E-02,2.21262244E-04
2.58470313E-02,1.95640251E-02,2.21401484E-04
2.61326338E-02,1.88450553E-02,2.17208448E-04
2.64182364E-02,1.90583952E-02,2.18082831E-04
2.67038390E-02,1.87055431E-02,2.12963090E-04
2.69894415E-02,1.91568881E-02,2.15757335E-04
2.72750441E-02,1.86222531E-02,2.11776152E-04
2.75606466E-02,1.84120201E-02,2.10352545E-04
2.78462492E-02,1.80775411E-02,2.13819925E-04
2.81318517E-02,1.82913691E-02,2.15589624E-04
2.84174543E-02,1.80115439E-02,2.13785935E-04
2.87030568E-02,1.81623138E-02,2.15730503E-04
2.89886594E-02,1.76616795E-02,2.12123933E-04
2.92742620E-02,1.80200487E-02,2.13402549E-04
2.95598645E-02,1.78675577E-02,2.11286056E-04
2.98454671E-02,1.74457207E-02,2.10201158E-04
3.01310696E-02,1.75905786E-02,2.09970418E-04
3.04166722E-02,1.70921646E-02,2.08485513E-04
3.07022747E-02,1.72217414E-02,2.09229874E-04
3.09878773E-02,1.70679390E-02,2.07412440E-04
3.12734798E-02,1.70547627E-02,2.08008248E-04
3.15590824E-02,1.73399746E-02,2.08047492E-04
3.18446850E-02,1.69165134E-02,2.07028669E-04
3.21302875E-02,1.69932246E-02,2.06162106E-04
3.24158901E-02,1.68540440E-02,2.06301311E-04
3.27014926E-02,1.65436566E-02,2.04678916E-04
3.29870952E-02,1.67334266E-02,2.05882709E-04
