Q,I(Q),Error
2.99882683E-03,3.55585888E-02,2.43713431E-03
3.28442939E-03,3.38683538E-02,1.32090056E-03
3.57003195E-03,3.51732075E-02,1.12670934E-03
3.85563450E-03,3.39991041E-02,9.17675667E-04
4.14123706E-03,3.40308473E-02,7.36556286E-04
4.42683961E-03,3.60514857E-02,6.26919603E-04
4.71244217E-03,3.56708243E-02,5.74087754E-04
4.99804472E-03,3.52443792E-02,5.45072324E-04
5.28364728E-03,3.51376571E-02,5.20713826E-04
5.56924984E-03,3.46452259E-02,5.17469734E-04
5.85485239E-03,3.52876596E-02,5.13863456E-04
6.14045495E-03,3.44271213E-02,4.97683314E-04
6.42605750E-03,3.52235436E-02,4.86003622E-04
6.71166006E-03,3.50828394E-02,4.68885303E-04
6.99726261E-03,3.42845507E-02,4.58757648E-04
7.28286517E-03,3.48002575E-02,4.54080685E-04
7.56846773E-03,3.52617465E-02,4.49524257E-04
7.85407028E-03,3.44204865E-02,4.32681232E-04
8.13967284E-03,3.41498703E-02,4.25792415E-04
8.42527539E-03,3.51295508E-02,4.26131480E-04
8.71087795E-03,3.42500880E-02,4.13197468E-04
8.99648050E-03,3.42527926E-02,4.11893636E-04
9.28208306E-03,3.40876766E-02,3.98954066E-04
9.56768562E-03,3.34814526E-02,3.90393562E-04
9.85328817E-03,3.37380320E-02,4.00179038E-04
1.01388907E-02,3.42535228E-02,3.81532345E-04
1.04244933E-02,3.38396989E-02,3.73729231E-04
1.07100958E-02,3.33683155E-02,3.75328262E-04
1.09956984E-02,3.40497829E-02,3.70196630E-04
1.12813009E-02,3.37551795E-02,3.72641146E-04
1.15669035E-02,3.37051488E-02,3.56233670E-04
1.18525061E-02,3.33126299E-02,3.56222376E-04
1.21381086E-02,3.38480584E-02,3.53954086E-04
1.24237112E-02,3.34390961E-02,3.25740914E-04
1.27093137E-02,3.31533253E-02,3.18942421E-04
1.29949163E-02,3.37658525E-02,3.06053911E-04
1.32805188E-02,3.30651887E-02,3.03380251E-04
1.35661214E-02,3.27143781E-02,2.94185381E-04
1.38517240E-02,3.30345556E-02,2.88918533E-04
1.41373265E-02,3.23420092E-02,2.83068639E-04
1.44229291E-02,3.26621272E-02,2.79613304E-04
1.47085316E-02,3.22571136E-02,2.75124561E-04
1.49941342E-02,3.25246863E-02,2.69304964E-04
1.52797367E-02,3.25530432E-02,2.66717489E-04
1.55653393E-02,3.25077660E-02,2.60682299E-04
1.58509418E-02,3.16069387E-02,2.58866951E-04
1.61365444E-02,3.16560566E-02,2.53869268E-04
1.64221470E-02,3.16865407E-02,2.50525486E-04
1.67077495E-02,3.15022916E-02,2.47590203E-04
1.69933521E-02,3.13761234E-02,2.42951587E-04
1.72789546E-02,3.15851793E-02,2.41539130E-04
1.75645572E-02,3.14801447E-02,2.38896760E-04
1.78501597E-02,3.15090045E-02,2.34795172E-04
1.81357623E-02,3.10937613E-02,2.34243593E-04
1.84213648E-02,3.09940055E-02,2.29196049E-04
1.87069674E-02,3.09509858E-02,2.28062977E-04
1.89925700E-02,3.06586623E-02,2.27677236E-04
1.92781725E-02,3.07484940E-02,2.21149874E-04
1.95637751E-02,3.01949978E-02,2.21455269E-04
1.98493776E-02,3.01276594E-02,2.16867898E-04
2.01349802E-02,2.96938159E-02,2.16447256E-04
2.04205827E-02,3.00867856E-02,2.15810683E-04
2.07061853E-02,2.96778306E-02,2.10234553E-04
2.09917878E-02,2.96581499E-02,2.10838529E-04
2.12773904E-02,2.96893418E-02,2.07638114E-04
2.15629930E-02,2.91740373E-02,2.06372387E-04
2.18485955E-02,2.93970257E-02,2.04627873E-04
2.21341981E-02,2.92605236E-02,2.01679394E-04
2.24198006E-02,2.86643766E-02,2.00856682E-04
2.27054032E-02,2.87167057E-02,1.99239655E-04
2.29910057E-02,2.84498073E-02,1.97503278E-04
2.32766083E-02,2.86956839E-02,1.94600189E-04
2.35622108E-02,2.86315531E-02,1.95026067E-04
2.38478134E-02,2.82934345E-02,1.92081878E-04
2.41334160E-02,2.82877162E-02,1.90958339E-04
2.44190185E-02,2.77247094E-02,1.89073249E-04
2.47046211E-02,2.75530182E-02,1.87097328E-04
2.49902236E-02,2.74770670E-02,1.86497814E-04
2.52758262E-02,2.75143273E-02,1.84478443E-04
