Q,I(Q),Error
3.66999284E-02,1.75108127E-02,1.97973517E-04
3.69855310E-02,1.74288563E-02,1.99090833E-04
3.72711335E-02,1.74930468E-02,1.97017072E-04
3.75567361E-02,1.71780810E-02,1.94727020E-04
3.78423386E-02,1.74372420E-02,1.95328326E-04
3.81279412E-02,1.72252245E-02,1.94219146E-04
3.84135437E-02,1.70448832E-02,1.94550195E-04
3.86991463E-02,1.63353607E-02,1.91603901E-04
3.89847489E-02,1.66819654E-02,1.91424341E-04
3.92703514E-02,1.68658458E-02,1.91663045E-04
3.95559540E-02,1.64851509E-02,1.89861083E-04
3.98415565E-02,1.64378881E-02,1.89680050E-04
4.01271591E-02,1.62918121E-02,1.87806431E-04
4.04127616E-02,1.59426033E-02,1.88999659E-04
4.06983642E-02,1.60943642E-02,1.87755078E-04
4.09839667E-02,1.56494342E-02,1.84911346E-04
4.12695693E-02,1.59998089E-02,1.85256254E-04
4.15551719E-02,1.59372166E-02,1.85192534E-04
4.18407744E-02,1.56060830E-02,1.85423112E-04
4.21263770E-02,1.51941404E-02,1.83137977E-04
4.24119795E-02,1.54849403E-02,1.82026962E-04
4.26975821E-02,1.49363428E-02,1.80996556E-04
4.29831846E-02,1.47118978E-02,1.81362192E-04
4.32687872E-02,1.46534368E-02,1.81096848E-04
4.35543897E-02,1.50002837E-02,1.80043162E-04
4.38399923E-02,1.49114728E-02,1.79619002E-04
4.41255949E-02,1.46022923E-02,1.79711828E-04
4.44111974E-02,1.44728273E-02,1.77713263E-04
4.46968000E-02,1.42915212E-02,1.77893055E-04
4.49824025E-02,1.44945532E-02,1.76219797E-04
4.52680051E-02,1.44107342E-02,1.78168712E-04
4.55536076E-02,1.38201900E-02,1.76238149E-04
4.58392102E-02,1.41818263E-02,1.76601598E-04
4.61248127E-02,1.36082619E-02,1.73848851E-04
4.64104153E-02,1.37234814E-02,1.73740319E-04
4.66960179E-02,1.35174394E-02,1.75599568E-04
4.69816204E-02,1.37923323E-02,1.72048226E-04
4.72672230E-02,1.32820755E-02,1.72746104E-04
4.75528255E-02,1.32650770E-02,1.72837255E-04
4.78384281E-02,1.31299905E-02,1.71601346E-04
4.81240306E-02,1.30704381E-02,1.71035137E-04
4.84096332E-02,1.30265579E-02,1.71052574E-04
4.86952357E-02,1.30293183E-02,1.75295515E-04
4.89808383E-02,1.28123872E-02,1.77342114E-04
4.92664409E-02,1.28834248E-02,1.76482036E-04
4.95520434E-02,1.25582255E-02,1.78910936E-04
4.98376460E-02,1.27405487E-02,1.77324929E-04
5.01232485E-02,1.21904798E-02,1.79990995E-04
5.04088511E-02,1.23593584E-02,1.79067071E-04
5.06944536E-02,1.19749941E-02,1.79749583E-04
5.09800562E-02,1.20598376E-02,1.80569007E-04
5.12656587E-02,1.20060071E-02,1.80634356E-04
