,date,well,prot,osm,A_after,A_before,D_after,D_before,area,directA_after,directA_before,A_corr_before,A_corr_after,D/A_before,D/A_after,d_directA
164,5/27/2021,A3,WT,100,24004.242,25985.902,3827.973,4120.5,314.34,9369.769,10175.812,21868.63272,20195.1602,0.188420559,0.189549029,-806.043
165,5/27/2021,A3,WT,100,16874.873,18427.916,3244.408,3532.465,119.99,6909.169,7527.014,15125.57689,13842.59465,0.233542497,0.234378603,-617.845
167,5/27/2021,A3,WT,100,34324.469,37378.406,5479.244,5930.469,270.4,12327.125,13442.463,31681.18946,29078.31593,0.187192119,0.188430582,-1115.338
168,5/27/2021,A3,WT,100,12500.633,14428.14,2580.165,2929.279,133.51,4961.304,5810.532,11771.62105,10190.49779,0.248842448,0.253193225,-849.228
170,5/27/2021,A3,WT,100,14770.112,16406.205,2890.019,3156.701,180.83,5919.766,6623.794,13474.63261,12113.64639,0.234269912,0.23857548,-704.028
172,5/27/2021,A3,WT,100,33206.969,36641.062,5413.004,5886.084,442.78,11775.488,13042.87,31043.29218,28100.73416,0.189608884,0.192628562,-1267.382
176,5/27/2021,A3,WT,100,29888.75,31338.545,4867.544,5043.069,344.76,11153.343,11887.745,26407.04688,25189.81651,0.190974365,0.193234595,-734.402
177,5/27/2021,A3,WT,100,18988.623,20308.33,3453.624,3663.177,143.65,7620.67,8138,16820.62619,15710.27498,0.217778872,0.21983218,-517.33
178,5/27/2021,A3,WT,100,21158.996,24049.398,3411.629,3820.459,537.42,8044.462,9133.827,20289.1276,17822.38485,0.188300802,0.191423821,-1089.365
179,5/27/2021,A3,WT,100,18036.305,20920.582,3380.912,3813.737,250.12,7261.284,8420.534,17299.39993,14864.77768,0.220454872,0.227444505,-1159.25
180,5/27/2021,A3,WT,100,13557,14288.806,2637.083,2844.222,121.68,5436.681,5792.639,11680.76693,11126.37662,0.243496169,0.23701184,-355.958
181,5/27/2021,A3,WT,100,15251.893,18731.203,2863.619,3398.095,141.96,5868.524,7309.607,15541.38732,12619.15537,0.218648112,0.22692636,-1441.083
182,5/27/2021,A3,WT,100,32284.809,34419.887,5284.848,5550.969,598.26,11945.769,12912.672,29024.46575,27214.14345,0.191251376,0.194194905,-966.903
