,date,well,prot,osm,A_after,A_before,D_after,D_before,area,directA_after,directA_before,A_corr_before,A_corr_after,D/A_before,D/A_after,d_directA
2961,5/27/2021,F1,WT,650,25849.377,27456.586,5092.25,5123.78,452.92,8363.444,8985.489,23033.73969,21561.43014,0.222446727,0.236174037,-622.045
2963,5/27/2021,F1,WT,650,27442.504,29779.982,4642.863,4961.376,197.73,8999.932,10108.385,25229.85957,23271.79953,0.196646992,0.199505973,-1108.453
2966,5/27/2021,F1,WT,650,13558.384,16362.184,3133.667,3461.933,101.4,4878.267,5810.05,13423.45001,10970.66976,0.25790188,0.285640446,-931.783
2969,5/27/2021,F1,WT,650,29495.383,29529.617,5066.976,5255.829,207.87,9818.423,10099.284,24825.16367,24944.38535,0.21171377,0.203130922,-280.861
2971,5/27/2021,F1,WT,650,21662.248,17788.887,4152.67,3535.475,373.49,7596.869,6240.108,14729.46473,18017.92779,0.240027392,0.230474339,1356.761
2972,5/27/2021,F1,WT,650,21498.77,18716.381,3721.93,3405.71,169,7694.13,6745.2,15629.7667,18064.2624,0.217898966,0.206038305,948.93
2973,5/27/2021,F1,WT,650,26597.111,24191.453,4295.104,4130.414,392.08,8915.439,8274.879,20430.10657,22626.77247,0.202172905,0.18982398,640.56
2974,5/27/2021,F1,WT,650,30262.088,29079.023,5699.884,5388.547,1123.85,11895.473,11042.197,24125.07566,24981.00961,0.223358761,0.22816868,853.276
2975,5/27/2021,F1,WT,650,21830.562,20855.955,4376.444,4001.022,228.15,7710.57,7388.022,17331.68916,18046.03838,0.23085009,0.242515499,322.548
2976,5/27/2021,F1,WT,650,18085.729,16749.459,3779.928,3535.055,305.89,6628.171,6141.227,13709.04672,14823.01467,0.257862933,0.255003998,486.944
2977,5/27/2021,F1,WT,650,20256.361,20593.084,3169.146,3690.5,219.7,7245.508,7334.569,17243.55089,17200.0671,0.214022044,0.184251956,-89.061
2978,5/27/2021,F1,WT,650,18174.795,17717.432,3707.882,3440.755,172.38,6394.392,6323.627,14692.34272,14994.68306,0.234186955,0.247279785,70.765
2979,5/27/2021,F1,WT,650,31914.604,28532.596,5513.794,5022.676,229.84,11192.75,10158.963,23940.37475,26865.67068,0.209799389,0.205235673,1033.787
2981,5/27/2021,F1,WT,650,22324.256,23917.785,4272.518,4390.315,434.33,7825.121,8447.035,19985.9814,18573.04847,0.219669723,0.230038596,-621.914
2982,5/27/2021,F1,WT,650,36274.059,35272.82,5849.615,5667.394,527.28,12130.311,11632.689,30058.89027,30869.00396,0.188543022,0.189498016,497.622
2983,5/27/2021,F1,WT,650,15351.676,13137.162,3474.716,3108.149,125.06,5467.946,4651.243,10606.10686,12471.16678,0.293052771,0.278619961,816.703
2984,5/27/2021,F1,WT,650,12594.135,14693.036,2512.054,2957.234,187.59,4736.342,5453.604,12089.51722,10362.8414,0.244611422,0.24240977,-717.262
2985,5/27/2021,F1,WT,650,21499.223,19422.766,3841.235,3540.469,136.89,7561.864,6781.383,16257.85466,18026.61429,0.217769753,0.21308688,780.481
2986,5/27/2021,F1,WT,650,30297.877,25118.303,4261.387,4466.198,179.14,10468.68,8988.792,21043.34758,26050.29269,0.212238,0.163583076,1479.888
2987,5/27/2021,F1,WT,650,18299.902,20699.223,3677.951,3866.75,479.96,7270.204,8162.38,17098.9933,14969.24921,0.226139044,0.245700432,-892.176
2988,5/27/2021,F1,WT,650,35291.086,34149.73,5694.353,5480.091,503.62,12457.026,12146.899,28937.37096,29906.24397,0.189377639,0.190406826,310.127
2989,5/27/2021,F2,WT,650,27920.568,23768.516,5105.295,4969.442,160.55,10264.211,8883.905,19446.76979,23264.56156,0.255540743,0.219445141,1380.306
2991,5/27/2021,F2,WT,650,17724.541,17936.582,3598.203,3561.635,125.06,7434.554,7583.635,14608.0248,14404.92815,0.243813592,0.249789722,-149.081
2992,5/27/2021,F2,WT,650,14441.646,12886.097,3042.742,2876.516,104.78,5375.452,4788.629,10451.70401,11807.65686,0.275219811,0.257692279,586.823
2994,5/27/2021,F2,WT,650,19619.512,23379.135,4140.951,4311.524,138.58,7442.61,8903.549,19402.35297,16010.71207,0.222216553,0.258636279,-1460.939
2997,5/27/2021,F2,WT,650,29955.936,31601.93,5102.432,5305.387,261.95,11540.445,12132.213,26484.95442,25058.96249,0.200317015,0.203617049,-591.768
2998,5/27/2021,F2,WT,650,16193.146,15990.906,3106.373,3025.4,126.75,9297.333,9299.52,12620.5352,12780.27504,0.23972042,0.243059949,-2.187
2999,5/27/2021,F2,WT,650,32077.527,31823.07,5329.375,5239.806,121.68,11564.25,11598.014,26842.35016,27055.75075,0.195206678,0.196977532,-33.764
3000,5/27/2021,F2,WT,650,26879.447,28009.486,5287.32,5563.708,174.07,9955.389,10526.398,23060.70514,22185.64349,0.241263568,0.238321688,-571.009
3001,5/27/2021,F2,WT,650,24220.676,24747.268,4498.986,4475.774,119.99,9312.915,9625.746,20546.21604,20066.75957,0.217839333,0.224200922,-312.831
3002,5/27/2021,F2,WT,650,31973.641,30945.107,5076.533,5065.067,126.75,11319.453,10984.227,26173.61836,27132.38244,0.193518028,0.187102368,335.226
3003,5/27/2021,F2,WT,650,25831.221,25507.518,4724.792,4729.315,251.81,9314.49,9236.846,21245.98031,21557.32814,0.222598107,0.219173358,77.644
3004,5/27/2021,F2,WT,650,21648.316,20672.1,3966.554,3800.188,170.69,8769.316,8558.822,17031.82418,17879.87234,0.223122782,0.221844649,210.494
3005,5/27/2021,F2,WT,650,23774.768,26823.621,4745.102,4769.435,182.52,8566.352,9736.407,22445.90312,19632.25706,0.21248577,0.24169926,-1170.055
3006,5/27/2021,F2,WT,650,30393.168,29756.473,5163.464,5228.056,211.25,12026.104,12082.28,24689.97012,25371.57232,0.21174817,0.203513757,-56.176
3009,5/27/2021,F2,WT,650,23998.428,22842.268,4410.28,4290.28,138.58,9276.598,8803.805,18895.69665,19898.42598,0.227050639,0.221639641,472.793
3010,5/27/2021,F2,WT,650,22758.436,21312.5,3999.667,3949.372,131.82,9441.564,8923.68,17523.83364,18844.71533,0.225371462,0.212243429,517.884
3012,5/27/2021,F2,WT,650,26356.832,23914.729,4352.383,4169.234,180.83,10036.037,9379.748,19922.88286,22143.22198,0.20926861,0.196555994,656.289
3013,5/27/2021,F2,WT,650,23473.346,23968.861,4823.517,4454.954,147.03,8883.528,9013.621,19895.14739,19229.01167,0.223921638,0.25084581,-130.093
3014,5/27/2021,F2,WT,650,28070.127,27864.252,5125.737,5067.621,160.55,10380.61,10401.368,23202.15295,23381.17049,0.218411671,0.219224996,-20.758
3015,5/27/2021,F2,WT,650,11981.8,11761.963,2906.012,2805.913,135.2,4961.312,4842.025,9354.84436,9498.96436,0.299942243,0.305929351,119.287
3016,5/27/2021,F2,WT,650,26587.213,26220,4551.521,4437.075,158.86,10611.639,10570.819,21859.89464,22158.69546,0.202977877,0.205405639,40.82
3017,5/27/2021,F2,WT,650,33179.164,35778.934,5300.271,5615.229,125.06,12055.878,13030.216,30327.12159,28079.40355,0.185155356,0.188760099,-974.338
3018,5/27/2021,F2,WT,650,40499.766,38073.434,5889.378,5817.178,152.1,14804.267,13973.011,32335.45757,34565.58493,0.179900903,0.170382709,831.256
3019,5/27/2021,F2,WT,650,23021.23,21870.803,3965.949,3927.786,197.73,9545.538,9058.154,18068.02716,19105.62481,0.217388759,0.207580178,487.384
3020,5/27/2021,F2,WT,650,38047.859,35815.074,5478.624,5605.86,157.17,14650.807,13918.613,30199.43173,32360.53495,0.185627996,0.16929955,732.194
3021,5/27/2021,F2,WT,650,26385.176,24143.604,4537.809,4425.824,114.92,9915.427,9114.353,20066.19021,22096.2061,0.22056125,0.205365979,801.074
3022,5/27/2021,F2,WT,650,35157.391,32529.176,5309.808,5284.256,211.25,13018.64,12235.304,27403.81256,29869.65116,0.192829227,0.177765986,783.336
3024,5/27/2021,F2,WT,650,33856.223,30883.777,5685.641,5550.026,197.73,12045.223,11166.223,25820.68085,28554.2409,0.21494499,0.199117218,879
3025,5/27/2021,F2,WT,650,28581.678,26590.016,4990.056,4827.217,334.62,11326.091,10644.131,22009.2061,23784.99103,0.219327175,0.209798524,681.96
3030,5/27/2021,F2,WT,650,29960.914,28761.26,4760.389,4824.482,234.91,10991.259,10715.856,24168.2719,25349.56862,0.199620478,0.187789744,275.403
3032,5/27/2021,F2,WT,650,23542.67,22407.619,4043.602,3977.635,199.42,8881.11,8533.433,18678.12018,19712.15004,0.212956923,0.205132469,347.677
3034,5/27/2021,F2,WT,650,35005.871,32049.977,5040.325,4801.317,207.87,12565.301,11603.78,27300.56079,29947.09156,0.175868805,0.168307663,961.521
3035,5/27/2021,F2,WT,650,15800.047,16002.825,3715,3765.617,251.81,5801.074,5873.302,12891.12061,12728.89294,0.292109361,0.291855703,-72.228
3036,5/27/2021,F2,WT,650,32094.344,30588.098,5251.183,5211.107,157.17,11662.817,11272.15,25684.50279,27095.28178,0.202889152,0.193804333,390.667
3037,5/27/2021,F2,WT,650,11066.609,10033.312,2857.172,2514.422,108.16,4799.984,4313.672,7881.07066,8640.31088,0.319045737,0.330679305,486.312
3038,5/27/2021,F2,WT,650,31438.648,28754.506,4646.987,4470.675,130.13,11439.221,10544.948,24381.50813,26802.2929,0.18336335,0.173380204,894.273
3039,5/27/2021,F2,WT,650,23517.736,21772.793,4244.276,4055.885,147.03,10506.482,9958.265,17731.1036,19272.03814,0.228744081,0.220229743,548.217
3042,5/27/2021,F2,WT,650,14157.58,14455.23,3195.42,3148.12,169,5714.98,5756.25,11693.0389,11378.1612,0.269230268,0.280837997,-41.27
3044,5/27/2021,F2,WT,650,16382.825,16827.373,3728.616,3588.035,145.34,7127.744,7261.396,13546.04921,13052.38716,0.264876861,0.285665446,-133.652
3045,5/27/2021,F2,WT,650,24662.094,24838.494,4878.722,4915.103,327.86,9507.918,9530.077,20422.77478,20269.86692,0.240667738,0.240688408,-22.159
3046,5/27/2021,F2,WT,650,40147.238,37516.203,6665.67,6257.899,184.21,14965.927,14281.587,31486.015,33770.90677,0.1987517,0.197379065,684.34
3047,5/27/2021,F2,WT,650,36615.668,35646.969,6095.236,6026.257,393.77,13957.871,13680.85,29853.69129,30733.19743,0.201859694,0.198327428,277.021
3048,5/27/2021,F2,WT,650,28247.018,26590.488,4607.215,4554.907,290.68,12525.238,11913.5,21912.82229,23425.39883,0.207864918,0.196676054,611.738
3050,5/27/2021,F2,WT,650,28525.123,28688.143,5054.784,5089.347,414.05,10898.522,10954.522,23909.42991,23775.3683,0.212859404,0.212605918,-56
3051,5/27/2021,F2,WT,650,23268.375,22581.963,3970.475,3815.113,135.2,9240.525,9140.35,18823.28661,19408.3235,0.202680492,0.204575887,100.175
3052,5/27/2021,F2,WT,650,31558.547,30707.527,4910.251,4811.472,268.71,11581.861,11306.51,26009.20994,26755.56038,0.184991086,0.183522637,275.351
3053,5/27/2021,F2,WT,650,15501.827,15724.05,3644.593,3492.729,136.89,6455.222,6534.469,12631.35452,12343.70053,0.276512625,0.29525935,-79.247
3054,5/27/2021,F2,WT,650,28172.428,26356.529,4985.071,4756.814,118.3,10072.328,9460,22038.01758,23616.59805,0.215845821,0.211083366,612.328
3055,5/27/2021,F2,WT,650,37855.738,37115.695,6312.898,6173.312,314.34,13696.721,13561.678,31267.12082,31907.52507,0.197437814,0.197849817,135.043
3056,5/27/2021,F2,WT,650,22949.355,21284.609,4337.203,4110.099,341.38,9379.555,8814.258,17431.54751,18868.52196,0.23578509,0.229864481,565.297
3057,5/27/2021,F2,WT,650,14511.429,13853.214,3354.655,3251.19,141.96,5706.821,5412.012,11101.80102,11649.16586,0.292852483,0.287973838,294.809
3058,5/27/2021,F2,WT,650,12000.698,13730.434,3082.925,3004.792,179.14,5110.047,5878.17,11021.04194,9395.83882,0.272641372,0.328115995,-768.123
3059,5/27/2021,F2,WT,650,34489.082,32720.576,5744.971,5574.634,290.68,13035.872,12438.738,27402.65976,28967.43169,0.203434048,0.198325176,597.134
3060,5/27/2021,F2,WT,650,20577.838,18207.875,3536.65,3249.85,135.2,7977.862,7129.025,15130.93975,17187.61972,0.214781769,0.205767294,848.837
3061,5/27/2021,F2,WT,650,21340.197,23813.525,4205.355,4197.842,128.44,8019.303,8814.789,19913.85883,17587.69128,0.210800028,0.239107847,-795.486
3062,5/27/2021,F2,WT,650,16100.552,16012.75,3413.719,3353.271,162.24,5996.104,5935.125,13107.84262,13152.02117,0.255821732,0.259558509,60.979
3064,5/27/2021,F2,WT,650,26170.303,24279.717,4843.111,4826.99,167.31,10111.061,9410.889,19933.34339,21682.35258,0.242156567,0.22336649,700.172
3065,5/27/2021,F2,WT,650,35382.012,36492.723,5749,5864.687,140.27,12650.675,13143.145,30887.24134,29931.41375,0.189874095,0.192072451,-492.47
3066,5/27/2021,F2,WT,650,38805.996,39183.945,5948.919,6064.038,714.87,14634.271,14659.749,33184.65255,32872.55744,0.182736221,0.180969157,-25.478
3067,5/27/2021,F2,WT,650,32562.717,31254.783,4745.196,4653.011,155.48,14540.044,13998.076,26129.05273,27285.15476,0.178078059,0.173911273,541.968
3068,5/27/2021,F2,WT,650,25243.924,23420.037,4355.349,4129.349,179.14,9136.292,8506.066,19615.32949,21199.69355,0.210516423,0.20544396,630.226
3069,5/27/2021,F2,WT,650,29257.309,29797.246,5122.231,5038.031,109.85,9862.262,10122.462,25203.82179,24668.69679,0.19989155,0.207640924,-260.2
3070,5/27/2021,F2,WT,650,32231.434,32432.318,5213.894,5228.645,366.73,11774.815,11872.912,27405.28287,27230.85533,0.190789675,0.191470078,-98.097
3071,5/27/2021,F2,WT,650,28287.301,26976.312,4590.062,4378.725,135.2,11105.15,10783.888,22606.64903,23744.58964,0.193691909,0.193309805,321.262
3073,5/27/2021,F2,WT,650,23878.729,22967.199,4140.4,4155.857,118.3,9477.558,9152.985,19025.52764,19883.58098,0.218435834,0.208232109,324.573
3076,5/27/2021,F2,WT,650,34379.645,33341.297,5363.016,5548.137,209.56,13024.347,12731.911,27981.7213,29062.62059,0.198277187,0.184533118,292.436
3077,5/27/2021,F2,WT,650,22035.646,21292.951,4148.657,4122.833,172.38,8497.755,8299.117,17531.01728,18222.28434,0.235173632,0.227669425,198.638
3078,5/27/2021,F2,WT,650,21177.957,19641.797,3957.144,3724.373,199.42,8908.246,8287.898,16093.17869,17388.10394,0.231425567,0.22757766,620.348
3082,5/27/2021,F2,WT,650,27478.992,27687.844,4577.468,4518.213,238.29,10965.88,11117.561,23180.85452,22969.41676,0.194911408,0.199285339,-151.681
3086,5/27/2021,F2,WT,650,36926.355,36804.973,6206.628,5950.957,118.3,13414.643,13492.3,31087.42879,31088.05999,0.191426478,0.199646681,-77.657
3087,5/27/2021,F2,WT,650,10363.352,9967.253,2435.176,2274.494,153.79,4426.648,4201.637,7963.46015,8231.6456,0.285616297,0.295831006,225.011
3089,5/27/2021,F2,WT,650,37052.148,36773.336,5107.964,5052.814,327.86,12956.206,12588.448,31703.53946,31883.24794,0.159376968,0.160208396,367.758
3090,5/27/2021,F2,WT,650,11677.167,11101.25,2690.2,2447.017,101.4,5255.867,5114.967,8832.48726,9252.74627,0.277047329,0.290746112,140.9
3092,5/27/2021,F2,WT,650,29967.854,28507.422,5659.084,5568.084,160.55,11066.811,10491.432,23562.9654,24865.84539,0.23630659,0.227584621,575.379
3094,5/27/2021,F2,WT,650,14821.099,14095.584,2997.069,2874.396,170.69,6272.812,5968.762,11438.08934,12040.81815,0.251300363,0.248909083,304.05
3095,5/27/2021,F2,WT,650,41208.953,38619.109,6767.055,6560.713,277.16,14672.061,13844.055,32511.56066,34834.72226,0.201796311,0.194261776,828.006
3097,5/27/2021,F2,WT,650,27398.812,27315.451,4699.54,4772.816,422.5,10389.656,10380.076,22813.64408,22934.02116,0.209208839,0.204915656,9.58
3098,5/27/2021,F2,WT,650,17320.373,17825.645,3350.481,3337.802,393.77,6381.185,6586.7,14805.13694,14332.19292,0.225448911,0.233773088,-205.515
3099,5/27/2021,F2,WT,650,25637,25258.438,4154.5,4230.575,135.2,10485.1,10271.312,21064.68397,21442.946,0.200837335,0.193746699,213.788
3100,5/27/2021,F2,WT,650,24119.047,23033.66,4162.85,4060.985,437.71,9761.931,9383.255,19098.5195,20057.96961,0.212633498,0.207540947,378.676
3102,5/27/2021,F2,WT,650,29727.104,28526.422,4949.361,4820.635,444.47,11836.707,11462.091,23793.68816,24854.96834,0.20260142,0.199129644,374.616
3104,5/27/2021,F2,WT,650,22974.855,21241.438,4692.54,4446.181,363.35,8320.842,7716.046,17418.91333,18906.84882,0.255250194,0.248192602,604.796
3105,5/27/2021,F2,WT,650,15921.908,14285.92,3310.437,3012.506,147.03,6403.483,5795.276,11588.18938,12950.71462,0.259963477,0.255618095,608.207
3107,5/27/2021,F2,WT,650,32426.447,31997.178,5174.302,5143.062,162.24,12639.886,12530.094,26890.63728,27282.4886,0.191258465,0.189656526,109.792
3108,5/27/2021,F2,WT,650,17217.383,14877.674,3649.021,3242.458,243.36,7539.333,6548.701,11914.91807,13850.9286,0.272134309,0.263449557,990.632
3110,5/27/2021,F2,WT,650,28158.141,26025.893,5030.958,4732.843,204.49,9786.604,9148.43,21779.28451,23632.2785,0.217309389,0.212885017,638.174
3111,5/27/2021,F2,WT,650,23082.805,21972.748,3753.311,3650.126,321.1,9247.042,8871.474,18352.60116,19336.61219,0.198888755,0.194103857,375.568
3112,5/27/2021,F2,WT,650,39114.359,38019.734,6555.508,6251.933,528.97,13661.636,12969.243,32242.05334,33044.22892,0.193906168,0.198385867,692.393
3113,5/27/2021,F2,WT,650,27400.225,25680.365,5064.147,4849.75,263.64,10210.09,9630.5,21280.2025,22776.30999,0.227899617,0.222342733,579.59
3114,5/27/2021,F2,WT,650,32866.969,32081.758,5672.538,5601.439,223.08,11910.583,11628.144,26903.64797,27597.51309,0.208203698,0.20554526,282.439
3115,5/27/2021,F2,WT,650,20535.459,19657.26,3757.698,3568.594,162.24,7569.938,7332.625,16372.70643,17105.59084,0.217959933,0.219676598,237.313
3116,5/27/2021,F2,WT,650,37284.684,36428.551,5746.828,5659.987,676,13842.737,13381.723,30886.23052,31608.74513,0.18325276,0.18181133,461.014
3119,5/27/2021,F2,WT,650,14102.102,14662.367,2934.789,2956.969,216.32,5857.047,6178,11921.35343,11433.8249,0.248039706,0.256676049,-320.953
3120,5/27/2021,F2,WT,650,18489.574,17454.787,3333.507,3168.04,126.75,7053.16,6726.12,14497.763,15382.71489,0.218519229,0.216704725,327.04
3122,5/27/2021,F2,WT,650,31794.283,29419.566,4802.173,4642.26,214.63,11585.606,10798.488,24907.45548,27047.86617,0.186380339,0.177543506,787.118
3124,5/27/2021,F2,WT,650,19083.137,17591.137,3744.825,3540.5,135.2,7271.987,6748.9,14432.381,15716.70222,0.245316417,0.238270405,523.087
3125,5/27/2021,F2,WT,650,25883.033,26837.906,4332.796,4463.017,199.42,9796.229,10166.882,22540.79941,21725.36761,0.197997281,0.199434876,-370.653
3126,5/27/2021,F2,WT,650,23827.783,23118.77,4539.743,4431.284,125.06,8881.973,8803.433,19097.53721,19734.14434,0.232034317,0.230045089,78.54
3127,5/27/2021,F2,WT,650,28819.443,28393.938,4774.633,4823.354,133.51,9725.304,9648.633,24004.32011,24441.07975,0.200936914,0.195352785,76.671
3128,5/27/2021,F2,WT,650,16263.175,17287.699,3034.46,3206.984,106.47,6144.317,6493.603,14354.21291,13487.49097,0.223417614,0.224983283,-349.286
3129,5/27/2021,F2,WT,650,16803.328,15706.299,3353.409,3149.81,231.53,6438.693,5989.54,12898.8871,13802.66956,0.244192385,0.242953654,449.153
3130,5/27/2021,F2,WT,650,20219.984,20649.803,3834.227,3717.955,223.08,7926.28,8176.955,17125.6654,16681.85049,0.217098426,0.229844225,-250.675
3131,5/27/2021,F2,WT,650,34327.801,35122.473,5980.785,6035.268,692.9,12553.329,12690.583,29512.57019,28772.85244,0.204498218,0.207862082,-137.254
3132,5/27/2021,F2,WT,650,20506.938,21553.295,3850.684,3912.526,160.55,7755.989,8118.748,17937.0941,16992.43757,0.218124852,0.226611631,-362.759
3133,5/27/2021,F2,WT,650,25164.182,23359.891,4197.795,3974.687,140.27,9455.892,8886.952,19564.78601,21142.73117,0.203155148,0.198545541,568.94
3134,5/27/2021,F2,WT,650,23184.693,20819.15,4377.756,4114.236,214.63,9127.299,8304.229,17060.80141,19130.29551,0.241151391,0.228838911,823.07
3140,5/27/2021,F2,WT,650,22939.881,22601.891,4194.1,4083.291,185.9,8426.354,8349.519,18851.33816,19116.00074,0.216604835,0.219402586,76.835
3141,5/27/2021,F2,WT,650,22545.471,21343.109,3829.762,3702.156,326.17,8436.503,8049.093,17851.63865,18912.76157,0.207384659,0.202496182,387.41
3142,5/27/2021,F2,WT,650,23371.184,21460.426,4011.299,3752.149,147.03,8733.518,8012.012,17949.50475,19585.82711,0.209039138,0.204806209,721.506
3143,5/27/2021,F2,WT,650,22008.814,20512.365,4203.503,3963.705,309.27,7992.956,7447.853,16996.50928,18262.29577,0.233207004,0.230173854,545.103
3145,5/27/2021,F2,WT,650,25652.379,23128.561,4002.53,3720.106,111.54,10904.363,10044.016,19248.54178,21459.20913,0.1932669,0.186518057,860.347
3147,5/27/2021,F2,WT,650,25040.035,23608.107,4456.288,4207.937,187.59,9035.315,8465.378,19769.47857,20961.49251,0.212850176,0.212594022,569.937
3150,5/27/2021,F2,WT,650,33141.812,33132.688,5081.289,5131.584,280.54,11884.337,11962.681,28140.03909,28190.7048,0.182358809,0.180246966,-78.344
3152,5/27/2021,F2,WT,650,34414.031,32992.695,4927.048,5015.242,104.78,12274.871,11913.646,28071.024,29470.47007,0.178662595,0.167185932,361.225
3153,5/27/2021,F2,WT,650,17675.314,17590.232,3306.826,3308.465,145.34,7173.814,7132.454,14481.57929,14559.67156,0.228460234,0.227122294,41.36
3154,5/27/2021,F2,WT,650,16572.486,15311.708,3629.972,3338.486,121.68,6283.458,5872.778,12426.4826,13454.74382,0.268658969,0.269791239,410.68
3155,5/27/2021,F2,WT,650,25496.699,26364.781,4476.073,4396.345,185.9,9285.019,9681.582,22195.21757,21360.2267,0.198076229,0.209551755,-396.563
3156,5/27/2021,F2,WT,650,38130.988,37875.152,6386.196,6378.854,963.3,15239.546,14937.516,31656.23134,31850.79038,0.201503898,0.200503533,302.03
3158,5/27/2021,F2,WT,650,22529.145,21133.051,3858.701,3796.932,197.73,8489.367,7980.051,17604.46735,18871.05374,0.215680027,0.204477241,509.316
3161,5/27/2021,F2,WT,650,13653.2,13623.647,2779.648,2777.438,177.45,5740.628,5696.467,11069.27613,11089.26724,0.250914149,0.250661107,44.161
3162,5/27/2021,F2,WT,650,36883.164,35882.273,5281.802,5396.945,153.79,13172.318,12948.703,30561.63858,31581.06852,0.176592135,0.167245829,223.615
3163,5/27/2021,F2,WT,650,22571.098,22838.311,3544.531,3589.796,190.97,8318.93,8523.212,19316.30884,19111.89987,0.185842752,0.185461991,-204.282
3164,5/27/2021,F2,WT,650,37521.754,36803.73,4967.686,5056.124,150.41,13393.292,13268.169,31603.03217,32344.15494,0.159988572,0.153588369,125.123
3165,5/27/2021,F2,WT,650,25120.115,24039.789,4305.449,4121.123,248.43,9039.231,8728.272,20197.22213,21120.77314,0.20404405,0.203849024,310.959
3167,5/27/2021,F2,WT,650,40928.82,38618.895,6343.985,6284.537,113.23,13059.701,12471.656,32918.47575,35085.16476,0.190912151,0.180816737,588.045
3168,5/27/2021,F2,WT,650,27923.373,28848.078,4525.982,4757.13,194.35,9998.026,10416.234,24347.71464,23624.9776,0.195383019,0.191576139,-418.208
3170,5/27/2021,F2,WT,650,28356.258,26200.541,4366.895,4126.742,209.56,10824.057,10077.943,22098.55857,23985.23282,0.186742587,0.182065983,746.114
3171,5/27/2021,F2,WT,650,31229.98,30650.342,4752.067,4671.745,251.81,11571.168,11449.449,25998.92184,26512.86257,0.179689951,0.179236285,121.719
3172,5/27/2021,F2,WT,650,28223.918,26114.338,4601.865,4400.608,125.06,10059.933,9324.095,22010.43771,23873.54228,0.19993278,0.192760041,735.838
3173,5/27/2021,F2,WT,650,14760.35,14342.184,3085.55,3004.267,101.4,6051.45,5850.583,11638.31172,11975.233,0.25813598,0.257660957,200.867
3174,5/27/2021,F2,WT,650,10162.962,10074.399,4769,4707.336,351.52,2836.692,2855.591,7036.94863,7096.42052,0.668945625,0.672028946,-18.899
3177,5/27/2021,F2,WT,650,20701.359,18973.551,3959.795,3703.333,131.82,7536.564,6990.782,15682.53593,17170.72049,0.23614376,0.230613212,545.782
3178,5/27/2021,F2,WT,650,39631.758,37263.41,6019.098,5791.146,277.16,14200.854,13459.311,31636.83353,33743.4738,0.183050747,0.178378137,741.543
3179,5/27/2021,F2,WT,650,14814.749,14588.352,3208.117,3119.073,302.51,5906.324,5825.005,11828.49236,11992.24543,0.263691509,0.267515956,81.319
3180,5/27/2021,F2,WT,650,23404.895,21625.588,4170.652,3910.454,238.29,8757.532,8167.78,18001.16918,19530.51836,0.217233334,0.213545382,589.752
3182,5/27/2021,F2,WT,650,29701.5,26169.5,4505.147,4163.559,114.92,11513.309,10343.177,21997.6101,25126.24338,0.189273243,0.17930046,1170.132
3183,5/27/2021,F2,WT,650,22107.967,19582.355,4682.559,4162.323,157.17,8041.366,7189.452,16010.32793,18098.35119,0.259977373,0.258728486,851.914
3184,5/27/2021,F2,WT,650,18787.652,17417.596,3377.624,3227.211,184.21,7513.229,6992.55,14378.58967,15569.99777,0.224445587,0.216931566,520.679
3185,5/27/2021,F2,WT,650,34369.789,32941.441,4947.804,4665.766,310.96,12770.994,12187.435,28152.97237,29320.96402,0.165729073,0.168746293,583.559
3186,5/27/2021,F2,WT,650,19109.354,20198.613,3659.734,3718.734,520.52,7429.12,7926.841,16721.58419,15758.16218,0.222391249,0.232243707,-497.721
3187,5/27/2021,F2,WT,650,31601.701,31408.803,6007.622,5989.968,214.63,11347.583,11230.866,26100.25542,26261.62057,0.229498444,0.228760521,116.717
3188,5/27/2021,F2,WT,650,19280.254,17472.746,3524.658,3284.76,133.51,7333.013,6699.177,14458.97957,16018.91279,0.227177857,0.220031037,633.836
3190,5/27/2021,F2,WT,650,17720.934,17817.143,3279.857,3271.945,153.79,6567.626,6675.231,14814.71826,14734.76085,0.220857727,0.222593161,-107.605
3191,5/27/2021,F2,WT,650,30523.408,28760.918,4681.173,4546.959,165.62,11795.062,11095.898,24242.80911,25801.32453,0.187559081,0.1814315,699.164
3192,5/27/2021,F2,WT,650,20773.438,20755.127,3772.644,3699.885,147.03,7811.46,7768.288,17318.21323,17289.75928,0.213641266,0.218201071,43.172
3193,5/27/2021,F2,WT,650,36444.871,35776.988,5280.663,5167.891,155.48,13583.413,13408.032,30490.47969,31065.27114,0.169491955,0.169986059,175.381
3195,5/27/2021,F2,WT,650,16925.393,17410.172,3326.902,3361.369,206.18,6215.68,6429.205,14407.09748,13981.15574,0.233313407,0.237956151,-213.525
3197,5/27/2021,F2,WT,650,27760.389,26256.729,4300.306,4150.318,143.65,11603.671,10971.706,21972.43632,23276.52933,0.188887474,0.184748591,631.965
3198,5/27/2021,F2,WT,650,14103.209,13157.776,3203.313,3050.09,113.23,5498.597,5109.836,10570.35946,11360.71968,0.288551209,0.281963915,388.761
3199,5/27/2021,F2,WT,650,16456.566,16214.412,3527.608,3491.113,163.93,6081.454,6077.876,13209.32567,13431.4575,0.264291538,0.262637767,3.578
3200,5/27/2021,F2,WT,650,37614.277,37934.457,6525.194,6341.982,843.31,15196.775,14609.453,31797.41047,31268.53693,0.199449638,0.208682421,587.322
3201,5/27/2021,F2,WT,650,15421.561,14457.318,3182.725,2989.637,153.79,5455.736,5102.714,11903.29473,12698.12691,0.251160462,0.250645235,353.022
