Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
25,1.13817599E-02,3.29003781E-02,8.17245268E-07,6.37344829E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0026.tif
26,1.13735445E-02,3.28765698E-02,-7.39821237E-06,-1.74312008E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0027.tif
27,1.13911687E-02,3.29256020E-02,1.02260322E-05,3.15992438E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0028.tif
28,1.13932255E-02,3.29348147E-02,1.22828015E-05,4.08115593E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0029.tif
29,1.13941159E-02,3.29275355E-02,1.31731714E-05,3.35353034E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0030.tif
30,1.13958714E-02,3.29397805E-02,1.49287698E-05,4.57790957E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0031.tif
31,1.13849487E-02,3.29006463E-02,4.00596071E-06,6.64472191E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0032.tif
32,1.13869091E-02,3.29116248E-02,5.96639041E-06,1.76199483E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0033.tif
33,1.13858553E-02,3.29159498E-02,4.91263224E-06,2.19454541E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0034.tif
34,1.13835484E-02,3.28964330E-02,2.60568068E-06,2.43153818E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0035.tif
35,1.13834026E-02,3.28997187E-02,2.45987504E-06,5.71738565E-06,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0036.tif
36,1.13805695E-02,3.28939669E-02,-3.73143013E-07,-3.48113467E-08,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0037.tif
37,1.13891151E-02,3.29161584E-02,8.17236650E-06,2.21526207E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0038.tif
38,1.13688949E-02,3.28634046E-02,-1.20477478E-05,-3.05989342E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0039.tif
39,1.14060448E-02,3.29687782E-02,2.51021185E-05,7.47773593E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0040.tif
40,1.14125024E-02,3.29875015E-02,3.15596900E-05,9.34970085E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0041.tif
41,1.13922396E-02,3.29242572E-02,1.12969650E-05,3.02579447E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS06_024_0042.tif
