,wavelength,50uM,20uM,10uM,2uM_10mm,1uM_10mm
0,260.0,0.04650794556628621,-0.11989237635352651,-0.6012416008194322,0.29357011267193445,0.5373694615159497
1,259.9,0.05863867427568041,-0.07871676909569798,-0.567788337723149,0.27392671934445423,0.4681615744805387
2,259.8,0.057894738074334234,-0.0709057799239098,-0.5422653936201346,0.2811717442200761,0.4232458296751538
3,259.7,0.08452710857477316,-0.015298083113842616,-0.4344321480831139,0.305477524143986,0.34039683933274817
4,259.6,0.08173956394498098,-0.05366262071992973,-0.4210501609599063,0.36342408545507754,0.3984661398887913
5,259.5,0.08288922153936201,-0.056526536435469704,-0.4427340942347088,0.4167798580626281,0.4902103160667252
6,259.4,0.09223786069651739,-0.06109686859818562,-0.34961932982148086,0.40283872549019606,0.4486903570383376
7,259.3,0.10147876207199298,-0.015020215100965783,-0.30017928007023714,0.39204449078138714,0.4142210857477318
8,259.2,0.09987019607843135,0.01096300117061744,-0.2577012730465321,0.43933489903424044,0.5226100673105063
9,259.1,0.09496335381913958,-0.028022051507170045,-0.30880512145156586,0.4281656277436348,0.5744503511852502
10,259.0,0.1058605531167691,-0.06960508486976882,-0.29703920105355575,0.45093716710564824,0.5673792069066435
11,258.9,0.10229088674275681,-0.09182429762949956,-0.4288679689786362,0.42572448053848405,0.5744469417617795
12,258.8,0.11852315188762072,-0.07562101258413816,-0.33640781387181734,0.397361486684226,0.5289004536142816
13,258.7,0.1290657711442786,-0.10116100380450689,-0.3014782704126426,0.4138682104184958,0.5590329382499267
14,258.6,0.13539604770266317,-0.16805389230318996,-0.34553484050336564,0.3952323017266608,0.5399299385425811
15,258.5,0.11455042347088089,-0.1790356453028973,-0.4173202516827627,0.3097086186713492,0.5355010974539071
16,258.4,0.11518784928299679,-0.13977101990049748,-0.3425175007316359,0.3418850526777875,0.4674251390108282
17,258.3,0.12403891717881184,-0.16040314603453323,-0.35184568334796607,0.39059037167105654,0.5154639157155401
18,258.2,0.13461603980099499,-0.16624348844015227,-0.2644655692127597,0.36078348697688034,0.47572708516242324
19,258.1,0.1301904717588528,-0.15556858355282413,-0.11777512437810952,0.29952126134035706,0.4558501463271877
20,258.0,0.13097095697980685,-0.21017902399765875,-0.035754623939127976,0.2660151521802751,0.3946134913666958
21,257.9,0.13400677582674858,-0.19922625109745395,0.052160769681006566,0.2473195785776997,0.46849910740415557
22,257.8,0.13913877641205738,-0.17816453760608716,0.08641865671641795,0.2247014632718759,0.41254364940005867
23,257.7,0.13496018700614573,-0.1805971612525607,0.05266195493122628,0.2247849941469125,0.4521952443664033
