,wavelength,50uM,20uM,10uM,2uM_10mm,1uM_10mm
0,260.0,0.034850859467706385,-0.002812273266655383,0.1452586540091541,-0.6434635277165621,-0.04345989150703515
1,259.9,0.03919803356501102,0.06043030174605864,0.2804018138667571,-0.6635167740294965,-0.019200084760128855
2,259.8,0.046168679437192765,0.13136120528903208,0.22433409052381767,-0.6747401932530938,-0.06450454314290563
3,259.7,0.05641451771486691,0.2250608577725038,0.32211588404814373,-0.6850670028818444,-0.0799443973554839
4,259.6,0.06839748770978131,0.19759577046957116,0.21807757246991022,-0.6820927869130362,-0.11434734700796759
5,259.5,0.0768287777589422,0.21289935582302089,0.24645309374470253,-0.6605623071707067,-0.14237133412442796
6,259.4,0.07435144939820308,0.2512402780132226,0.3208914392269876,-0.6982238599762671,-0.20500761145956944
7,259.3,0.06826714358365825,0.24931078996440081,0.287878826919817,-0.6794701051025598,-0.32969164265129697
8,259.2,0.05963599254110864,0.2537345906085777,0.2581485166977453,-0.6205170367858961,-0.30623364977114775
9,259.1,0.059708669265977274,0.24076140023732837,0.20780803526021357,-0.5846980759450756,-0.16937626716392612
10,259.0,0.054624458382776755,0.26771498559077817,0.2242906424817766,-0.5548709950839126,-0.23110408543820982
11,258.9,0.04755269706729957,0.29773363281912196,0.13616616375656904,-0.4735224360061028,-0.16194665197491093
12,258.8,0.06126568909984745,0.3224377945414477,0.2112641295134769,-0.4347964061705375,-0.15548869299881343
13,258.7,0.0520602339379556,0.38457441939311754,0.23312244448211572,-0.44394616884217675,-0.17317204610951017
14,258.6,0.024829371079844034,0.35198443804034585,0.1797366502797084,-0.4081252330903543,-0.13590152568231914
15,258.5,-0.0031701271401932446,0.2916114087133413,0.11943471774877094,-0.38176609594846583,-0.21526529920325477
16,258.4,-0.013949981352771642,0.2524370740803527,0.07575758603153078,-0.37708358196304453,-0.2860619087981014
17,258.3,-0.025371286658755727,0.16029562637735215,0.010727716562129161,-0.36813131039159186,-0.24454532971690118
18,258.2,-0.007003824377013085,0.1666805136463807,0.023821376504492214,-0.35132481776572305,-0.22147046957111394
19,258.1,-0.0010767214782166493,0.179393015765384,0.04423405661976612,-0.29528276826580785,-0.10391586709611811
20,258.0,0.0042634378708255516,0.2359900152568232,-0.04597197830140706,-0.31323470927275815,-0.1833941854551619
21,257.9,0.03436898118325137,0.2299072893710798,-0.003570639091371482,-0.3799037548737074,-0.1110966434988982
22,257.8,0.03773501949482964,0.24325571283268355,0.014290456009493177,-0.4077401254449907,-0.185246651974911
23,257.7,0.0056032174944906045,0.20286878284454996,-0.05554634683844717,-0.4486089337175792,-0.24678092897101211
24,257.6,-0.011368377691134081,0.16400055941685035,-0.07206450245804379,-0.38086553653161564,-0.1400804373622649
25,257.5,-0.01587433463298862,0.13887179182912357,-0.16414275300898465,-0.3383200288184438,-0.19516860484827922
26,257.4,-0.013180556026445165,0.11928659942363116,-0.09277736904560088,-0.26879131208679446,-0.15994804204102392
27,257.3,-0.045316307848787936,0.0440760637396169,-0.17460583149686373,-0.20792455500932366,-0.17682168164095613
28,257.2,-0.03757781657908122,0.04664147313103917,-0.2032341413798949,-0.18735388201390063,-0.2219246991015425
29,257.1,-0.007236863875233092,0.029647363959993216,-0.1924274283776913,-0.21461555348364125,-0.0668072893710798
30,257.0,0.015995199186302777,0.08397321579928803,-0.15115178843871832,-0.24726873198847268,-0.05461023902356334
31,256.9,0.003514551618918446,0.07307170706899477,-0.1262047126631633,-0.20312354636379049,-0.0979160874724529
32,256.8,-0.0009368977792846406,0.022790472961518895,-0.22977694524495693,-0.2122654093914223,-0.1538969147313105
33,256.7,-0.008221159518562468,-0.03470906085777252,-0.3490023224275302,-0.23398745550093233,-0.1533715884048143
34,256.6,-0.004462508899813539,-0.07511771486692663,-0.34204668587896253,-0.16079527886082393,-0.09424670283098839
35,256.5,-0.021660823868452278,-0.1541141549415155,-0.40967158840481444,-0.1350878623495508,-0.08922252924224433
36,256.4,-0.013369357518223423,-0.19607113917613153,-0.37942385150025426,-0.12461885912866594,-0.1451125105950162
37,256.3,-0.01932647906424817,-0.16589449906763865,-0.2591162230886592,-0.16864949991523995,-0.05659699949143938
38,256.2,-0.0227146363790473,-0.18974944905916252,-0.3072685031361247,-0.12518170876419735,-0.015913832853025958
39,256.1,-0.04733071707068995,-0.2791418206475674,-0.3296876928292932,-0.09317037633497197,-0.015724241396846975
40,256.0,-0.05421209696558741,-0.2777396338362434,-0.37978328530259375,-0.09477992880149175,0.043657382607221705
41,255.9,-0.06986998135277166,-0.3104125614510934,-0.43690956094253264,-0.1181253517545347,0.11210384810984922
42,255.8,-0.04572787930157654,-0.24764791490083068,-0.32147206306153586,-0.12766022207153757,-0.04920688252246153
43,255.7,-0.06027744363451434,-0.26892165621291747,-0.40912651296829977,-0.12517380912018986,-0.01702768265807746
44,255.6,-0.06689892524156638,-0.31289107475843364,-0.44917375826411265,-0.15256977453805728,-0.04309255806068838
45,255.5,-0.07390195965417866,-0.3384325987455502,-0.4831580267842007,-0.21879051534158328,-0.0180941345990846
46,255.4,-0.06543591117138498,-0.32731187489404984,-0.34895492456348526,-0.23427579250720465,-0.11475812849635542
47,255.3,-0.04714191557891169,-0.27686474826241736,-0.37492105441600276,-0.20843408204780475,-0.042346041701983535
48,255.2,-0.04790581115443296,-0.29782052890320393,-0.3790565180539075,-0.19291325648414986,0.012019308357348556
49,255.1,-0.07165688082725888,-0.3156816240040686,-0.39107977623325985,-0.20617280895066958,-0.12457738599762677
50,255.0,-0.0758666011188337,-0.2855918799796575,-0.46168284454992375,-0.17834433802339378,-0.19110423800644183
51,254.9,-0.08490616375656891,-0.3074324207492795,-0.3969966095948466,-0.12621063739616883,-0.16133837938633677
