Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
25,1.13661412E-02,3.28538306E-02,-3.07179297E-05,-8.63098103E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0026.tif
26,1.13617844E-02,3.28442305E-02,-3.50747378E-05,-9.59081444E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0027.tif
27,1.13785251E-02,3.28866914E-02,-1.83340139E-05,-5.34501451E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0028.tif
28,1.13736681E-02,3.28674540E-02,-2.31909799E-05,-7.26830767E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0029.tif
29,1.13752849E-02,3.28847803E-02,-2.15742220E-05,-5.53630671E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0030.tif
30,1.13728459E-02,3.28725502E-02,-2.40132069E-05,-6.75866613E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0031.tif
31,1.13901510E-02,3.29246894E-02,-6.70814400E-06,-1.54466543E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0032.tif
32,1.13712440E-02,3.28685008E-02,-2.56151357E-05,-7.16386567E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0033.tif
33,1.13667848E-02,3.28547098E-02,-3.00743092E-05,-8.54277678E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0034.tif
34,1.13576488E-02,3.28300521E-02,-3.92103517E-05,-1.10087552E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0035.tif
35,1.13441454E-02,3.27871107E-02,-5.27137200E-05,-1.53030938E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0036.tif
36,1.13664935E-02,3.28566507E-02,-3.03656061E-05,-8.34886087E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0037.tif
37,1.13748011E-02,3.28752361E-02,-2.20580251E-05,-6.48992136E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0038.tif
38,1.13789737E-02,3.28877233E-02,-1.78854298E-05,-5.24151656E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0039.tif
39,1.13543313E-02,3.28214094E-02,-4.25278395E-05,-1.18729971E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0040.tif
40,1.13689856E-02,3.28592360E-02,-2.78735343E-05,-8.08995683E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0041.tif
41,1.13698652E-02,3.28641348E-02,-2.69938717E-05,-7.60008988E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0042.tif
42,1.13673791E-02,3.28606777E-02,-2.94800588E-05,-7.94599109E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0043.tif
43,1.13757749E-02,3.28785516E-02,-2.10842054E-05,-6.15864410E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0044.tif
44,1.13655053E-02,3.28517593E-02,-3.13537929E-05,-8.83780958E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0045.tif
45,1.13667116E-02,3.28453258E-02,-3.01475618E-05,-9.48121087E-05,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0046.tif
46,1.13596966E-02,3.28355655E-02,-3.71624811E-05,-1.04574356E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS08_027_0047.tif
