dateImaged,cellline,location,mag,Area,Round,passage,construct,well,trial,ch1,ch2_uncorrected,ch2,ch3,D/A_before,Efret_before,Ef_GS_calculated,Norm_Ef_IDR/Ef_GS,FPorder
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E1,Trial01,3290.217,3750.835,1370.98815,3347.536,2.399887263795825,0.2941273996489942,0.3110143949028502,0.9457034930517254,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E1,Trial01,3381.979,3705.485,1276.4361900000004,3350.526,2.649548035769809,0.2740065318222527,0.3110143949028502,0.881009163282756,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E1,Trial01,4154.268,4735.309,1749.8537700000002,4124.701,2.3740658055101367,0.2963783333350864,0.3110143949028502,0.9529408869569025,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E1,Trial01,4527.248,5015.01,1782.86525,4382.649,2.53931024792816,0.2825409274548282,0.3110143949028502,0.908449679774738,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E1,Trial01,2917.691,3269.856,1081.22885,3380.268,2.698495327793001,0.2703802253000895,0.3110143949028502,0.8693495533688934,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E1,Trial01,3484.546,4116.887,1582.7752300000002,3617.381,2.201541908133096,0.3123494955538866,0.3110143949028502,1.0042927294457011,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E10,Trial01,5858.258,6514.876,2350.58282,5575.876,2.492257643574541,0.2863477160225894,0.3110143949028502,0.9206895909497508,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E10,Trial01,3576.701,3874.67,1321.90841,3458.474,2.7057101482545223,0.2698538093895508,0.3110143949028502,0.8676569760503963,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E10,Trial01,6525.227,7130.66,2232.6302399999995,7577.155,2.9226635396643204,0.2549288232060745,0.3110143949028502,0.8196688879487561,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E11,Trial01,3429.722,3758.371,1182.84552,3988.278,2.899551921201004,0.2564397192824181,0.3110143949028502,0.8245268498344609,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E11,Trial01,7526.093,8151.216,2718.9861600000004,7596.845,2.7679776788565924,0.2653943534780848,0.3110143949028502,0.8533185531846027,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E11,Trial01,7899.505,8938.124,3084.92181,8770.866,2.5606824051077006,0.2808450421092113,0.3110143949028502,0.9029969246180302,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E11,Trial01,6280.052,6916.67,2175.19287,7437.103,2.8871242116566886,0.2572595948956828,0.3110143949028502,0.8271629838099342,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E12,Trial01,2448.0,2830.639,1068.12992,2447.732,2.291856031895445,0.303779992293345,0.3110143949028502,0.9767393319149585,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E12,Trial01,4585.124,5165.423,1731.2317599999994,5284.608,2.6484749794562465,0.2740871201339678,0.3110143949028502,0.8812682776936509,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E12,Trial01,5259.948,5721.752,1865.1414,5625.464,2.8201336370529333,0.2617709470424329,0.3110143949028502,0.8416682678761567,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E12,Trial01,5621.33,6381.855,2208.2336599999994,6285.876,2.545622821454502,0.2820378958385018,0.3110143949028502,0.9068322896327689,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E2,Trial01,4281.845,5135.67,1970.48129,4714.794,2.17299449719718,0.315159701941915,0.3110143949028502,1.0133283446264911,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E5,Trial01,6656.505,7414.825,2696.14146,6267.031,2.4689005004952524,0.2882757807141573,0.3110143949028502,0.9268888689354857,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E5,Trial01,7252.083,8671.0,3293.2869900000005,8074.258,2.2020804813005377,0.31229696000453,0.3110143949028502,1.0041238126681578,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E6,Trial01,5014.814,5725.052,1992.89745,5654.227,2.516343226792729,0.2843863455593622,0.3110143949028502,0.9143832254072817,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E7,Trial01,8436.093,9395.773,3293.2056699999985,8586.516,2.56166600126132,0.2807674834321529,0.3110143949028502,0.9027475513467942,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,p53,E8,Trial01,8015.67,9639.268,3845.95738,8131.608,2.084180662449255,0.3242352214237233,0.3110143949028502,1.0425087286554784,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F1,Trial01,4412.381,9679.072,5889.564240000001,7636.557,0.7491863268987792,0.5716943841957366,0.35270815175530545,1.6208709136735657,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F10,Trial01,2668.691,4363.99,2172.3545699999995,4090.68,1.2284785535724034,0.4487366496738017,0.35270815175530545,1.2722605004749563,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F10,Trial01,2582.062,5055.835,2856.99502,4370.248,0.9037684636916168,0.5252739600806758,0.35270815175530545,1.4892594839857558,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F2,Trial01,3390.175,5857.855,3049.269119999999,5325.227,1.1117992104284982,0.4735298673575568,0.35270815175530545,1.3425543611650703,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F2,Trial01,1694.783,2456.928,1153.75798,2131.237,1.4689241846023895,0.4050347135957299,0.35270815175530545,1.1483565423141298,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F3,Trial01,4240.546,8970.814,5307.90879,7449.557,0.7989108644800207,0.5558919120148025,0.35270815175530545,1.5760676617433487,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F4,Trial01,3736.165,7295.278,4028.94184,6769.309,0.9273315794501517,0.5188520805980308,0.35270815175530545,1.4710521376267742,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F4,Trial01,1724.588,2612.959,1274.9531899999995,2231.443,1.352667700686329,0.4250494023054238,0.35270815175530545,1.2051022926181354,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,E1A,F4,Trial01,2158.371,3647.485,1875.72757,3304.32,1.150684691380849,0.4649682047803805,0.35270815175530545,1.3182802905642976,O
