Frame,Integrated_Intensity,Mean_Intensity,Subtracted_Integrated_Intensity,Subtracted_Mean_Intensity,Rg_(A),Rger_(A),I0,I0er,MW_Vc_(kDa),MWer_Vc_(kDa),MW_Vp_(kDa),File_Name
25,1.14034231E-02,3.29564512E-02,-6.15607706E-05,-1.81831783E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0026.tif
26,1.14147532E-02,3.29958797E-02,-5.02307401E-05,-1.42402234E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0027.tif
27,1.14002498E-02,3.29485573E-02,-6.47340678E-05,-1.89729559E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0028.tif
28,1.14150253E-02,3.30008045E-02,-4.99585566E-05,-1.37478331E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0029.tif
29,1.14055078E-02,3.29660587E-02,-5.94760218E-05,-1.72227054E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0030.tif
30,1.14065651E-02,3.29714753E-02,-5.84187973E-05,-1.66811078E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0031.tif
31,1.14126094E-02,3.29847932E-02,-5.23744372E-05,-1.53491768E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0032.tif
32,1.14073937E-02,3.29827778E-02,-5.75901326E-05,-1.55504691E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0033.tif
33,1.14033889E-02,3.29559073E-02,-6.15949645E-05,-1.82378077E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0034.tif
34,1.14049593E-02,3.29701118E-02,-6.00245420E-05,-1.68174214E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0035.tif
35,1.14201913E-02,3.30091752E-02,-4.47926231E-05,-1.29109088E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0036.tif
36,1.14120887E-02,3.29862610E-02,-5.28951252E-05,-1.52024906E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0037.tif
37,1.14179713E-02,3.30017842E-02,-4.70126261E-05,-1.36495859E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0038.tif
38,1.14161703E-02,3.30021605E-02,-4.88135731E-05,-1.36123796E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0039.tif
39,1.13982483E-02,3.29479761E-02,-6.67355475E-05,-1.90306833E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0040.tif
40,1.14139879E-02,3.29876579E-02,-5.09959416E-05,-1.50626816E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0041.tif
41,1.14107586E-02,3.29855159E-02,-5.42252703E-05,-1.52765439E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0042.tif
42,1.14099220E-02,3.29772234E-02,-5.50618348E-05,-1.61058968E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0043.tif
43,1.14069238E-02,3.29745263E-02,-5.80600836E-05,-1.63755249E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0044.tif
44,1.14115438E-02,3.29827853E-02,-5.34400556E-05,-1.55498143E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0045.tif
45,1.13912538E-02,3.29278298E-02,-7.37300409E-05,-2.10452694E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0046.tif
46,1.14054548E-02,3.29696722E-02,-5.95290396E-05,-1.68612125E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0047.tif
47,1.14058635E-02,3.29727232E-02,-5.91203851E-05,-1.65559541E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0048.tif
48,1.13963275E-02,3.29383872E-02,-6.86563215E-05,-1.99896487E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0049.tif
49,1.14023457E-02,3.29552218E-02,-6.26381725E-05,-1.83064796E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0050.tif
50,1.14129372E-02,3.29871699E-02,-5.20466840E-05,-1.51116328E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0051.tif
51,1.14075263E-02,3.29729170E-02,-5.74575588E-05,-1.65368430E-04,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,-1.00000000E+00,SS1_018_0052.tif
