,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,D07,D08,D09,D10,D11,D12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS16,1020,517,73288,72404,73986,73198,75724,74238,66260,64993,64797,67277,68742,70081,65519,64730,65725,66337,69329,69689
GS16,1020,518,73574,72979,74391,73716,76069,74590,66715,65325,65309,67768,69336,70780,65886,65089,66176,66711,69857,70118
GS16,1020,519,71967,71389,72753,71957,74381,72870,65224,64015,63795,66423,67884,69302,64315,63704,64707,65290,68411,68940
GS16,1020,520,71167,70563,71770,71204,73592,72116,64559,63089,63241,65647,67376,68841,63763,63109,64160,64750,67777,68178
GS16,1020,521,68903,68318,69892,69040,71291,69867,62559,61354,61384,63591,65291,66812,61839,61071,62259,62820,65788,66350
GS16,1020,522,66371,65679,67288,66322,68627,67310,60475,59117,59188,61513,62977,64215,59675,59068,60060,60639,63612,64090
GS16,1020,523,64325,63671,64886,64340,66337,65187,58442,57181,57313,59632,61017,62379,57806,57269,58377,58860,61559,62134
GS16,1020,524,60817,60328,61512,60770,62791,61420,55377,54181,54382,56515,57808,58962,54755,54181,55220,55745,58441,58807
GS16,1020,525,58189,57709,58928,58206,60250,58932,53009,51961,52145,53976,55262,56491,52459,51979,53010,53419,55945,56327
GS16,1020,526,55174,54801,55736,55241,57068,56097,50460,49392,49482,51366,52593,53718,49920,49436,50261,50664,53271,53499
GS16,1020,527,52319,51880,53001,52417,54198,53173,47816,46931,46969,48630,49905,50782,47336,46900,47905,48178,50391,50695
GS16,1020,528,50433,50006,51106,50456,52252,51242,46224,45309,45344,47025,48216,49082,45858,45397,46112,46496,48767,48994
GS16,1020,529,48139,47840,48836,48259,49950,48927,44353,43518,43383,44907,45969,46782,44142,43731,44395,44708,46869,46931
GS16,1020,530,46917,46383,47288,46859,48420,47478,43008,42107,42136,43694,44583,45468,42717,42219,42757,43248,45141,45405
GS16,1020,531,45226,44726,45622,45172,46653,45808,41424,40631,40533,42105,43061,43808,41078,40693,41300,41652,43588,43628
GS16,1020,532,43420,43036,43994,43426,44997,44016,39985,39103,39060,40507,41367,42107,39654,39220,39825,40098,41904,42070
GS16,1020,533,41919,41568,42435,41857,43389,42534,38603,37689,37677,39063,39914,40589,38237,37878,38455,38504,40432,40398
GS16,1020,534,40084,39725,40580,40174,41535,40814,37071,36227,36145,37439,38246,38873,36822,36362,36863,36983,38782,38713
GS16,1020,535,38744,38427,39302,38816,40161,39390,35845,35026,34870,36107,36972,37518,35580,35105,35607,35696,37399,37413
GS16,1020,536,37717,37457,38184,37807,39147,38400,34926,34175,34042,35226,35819,36491,34572,34330,34780,34811,36370,36387
GS16,1020,537,36097,35818,36557,36068,37403,36652,33365,32596,32626,33709,34243,34842,33181,32704,33211,33318,34742,34768
GS16,1020,538,34891,34660,35372,34932,36214,35509,32445,31611,31603,32608,33253,33681,32007,31737,32189,32226,33739,33635
GS16,1020,539,33742,33411,34093,33792,34966,34313,31310,30610,30490,31506,32077,32457,31013,30649,31099,31095,32455,32489
GS16,1020,540,32746,32358,33158,32704,33969,33371,30371,29731,29676,30551,31126,31593,30206,29800,30176,30264,31506,31444
GS16,1020,541,32151,31945,32697,32324,33374,32813,30003,29266,29173,30063,30645,31069,29657,29350,29654,29831,30968,30972
GS16,1020,542,30919,30779,31402,30941,32150,31407,28714,28064,27994,28775,29401,29774,28508,28055,28467,28542,29626,29609
GS16,1020,543,30213,29892,30620,30205,31252,30722,28040,27321,27283,28107,28553,29001,27724,27428,27742,27760,28894,28837
GS16,1020,544,29221,28989,29577,29255,30221,29655,27043,26499,26302,27220,27728,28048,26820,26413,26729,26794,28010,27903
GS16,1020,545,28352,28155,28732,28338,29310,28760,26263,25616,25583,26422,26862,27209,25964,25698,25982,26133,27166,27052
GS16,1020,546,27585,27322,27941,27596,28515,27969,25645,24933,24833,25641,26098,26507,25371,24937,25320,25313,26424,26356
GS16,1020,547,26459,26258,26798,26398,27293,26940,24508,23916,23832,24649,25008,25427,24225,23928,24286,24278,25365,25261
GS16,1020,548,25549,25337,25801,25533,26404,25891,23646,23110,22935,23709,24162,24513,23391,23111,23423,23475,24450,24405
GS16,1020,549,24883,24718,25194,24836,25768,25279,22984,22469,22334,23041,23549,23849,22785,22417,22766,22773,23767,23655
GS16,1020,550,23994,23715,24216,23906,24798,24354,22098,21606,21528,22218,22548,22995,21845,21657,21856,21905,22986,22905
GS16,1020,551,23038,22876,23290,23022,23799,23339,21241,20783,20694,21366,21784,22098,21072,20816,21072,21090,22081,22046
GS16,1020,552,22418,22173,22609,22346,23153,22706,20597,20124,20072,20760,21117,21471,20360,20135,20440,20530,21433,21435
GS16,1020,553,21658,21441,21936,21651,22394,21977,19923,19498,19463,20065,20504,20844,19806,19438,19816,19831,20781,20723
GS16,1020,554,21384,21085,21602,21349,22070,21664,19634,19191,19140,19763,20218,20546,19513,19254,19557,19550,20438,20472
GS16,1020,555,20622,20416,20862,20616,21344,20966,18991,18531,18506,19147,19517,19850,18782,18561,18875,18869,19743,19763
GS16,1020,556,20090,19897,20361,20110,20754,20408,18449,18044,17998,18684,19041,19356,18329,18024,18400,18434,19249,19249
GS16,1020,557,19515,19340,19776,19528,20291,19798,17930,17573,17515,18117,18548,18855,17756,17563,17851,17894,18782,18758
GS16,1020,558,18889,18630,18999,18784,19507,19136,17296,16870,16911,17414,17839,18113,17182,16955,17184,17274,18088,18065
GS16,1020,559,18224,18090,18446,18255,18889,18574,16834,16408,16372,16911,17308,17630,16659,16472,16668,16758,17577,17579
GS16,1020,560,17450,17250,17662,17472,18045,17705,16073,15646,15675,16246,16549,16826,15938,15777,15970,16042,16789,16826
GS16,1020,561,16769,16633,16998,16752,17332,17068,15414,15098,15040,15584,15929,16199,15323,15192,15310,15428,16192,16154
GS16,1020,562,16205,16010,16431,16193,16738,16503,14904,14581,14542,15051,15421,15655,14796,14628,14838,14906,15643,15665
GS16,1020,563,15454,15270,15627,15464,16015,15690,14246,13842,13901,14344,14715,14967,14172,13974,14152,14270,14869,14887
GS16,1020,564,15013,14886,15216,15000,15598,15261,13845,13565,13463,13999,14285,14543,13679,13563,13803,13836,14464,14526
GS16,1020,565,14320,14205,14518,14340,14914,14594,13162,12907,12896,13360,13680,13842,13130,12952,13154,13219,13824,13858
GS16,1020,566,13727,13558,13857,13711,14160,13943,12682,12315,12347,12745,13026,13233,12564,12414,12624,12634,13233,13309
GS16,1020,567,13163,13005,13257,13164,13572,13354,12118,11848,11846,12206,12516,12734,12023,11916,12096,12150,12691,12788
GS16,1020,568,12682,12458,12760,12628,13108,12841,11670,11453,11347,11766,12017,12266,11564,11508,11626,11672,12214,12239
GS16,1020,569,11929,11774,12046,11914,12345,12122,11057,10773,10778,11151,11363,11607,10954,10782,10996,11057,11544,11564
GS16,1020,570,11523,11419,11707,11557,11968,11746,10757,10455,10430,10818,10990,11203,10620,10516,10707,10713,11215,11194
GS16,1020,571,10929,10837,11068,10948,11297,11120,10108,9908,9891,10213,10432,10610,9994,9915,10111,10145,10611,10599
GS16,1020,572,10495,10415,10631,10520,10847,10726,9765,9561,9514,9824,10033,10225,9678,9561,9714,9765,10187,10169
GS16,1020,573,10121,10015,10237,10128,10440,10293,9359,9176,9182,9492,9644,9837,9314,9203,9381,9397,9786,9825
GS16,1020,574,9601,9531,9642,9595,9940,9747,8936,8776,8711,8986,9212,9334,8906,8782,8936,8950,9342,9336
GS16,1020,575,9280,9215,9336,9280,9604,9440,8598,8415,8375,8715,8855,8973,8548,8461,8590,8618,8979,8964
GS16,1020,576,8887,8813,8968,8864,9180,9037,8278,8092,8042,8287,8492,8579,8235,8157,8220,8264,8577,8638
GS16,1020,577,8419,8330,8535,8406,8737,8537,7890,7663,7638,7899,8026,8179,7781,7737,7826,7825,8185,8154
GS16,1020,578,8087,8021,8174,8027,8347,8224,7527,7355,7320,7594,7728,7813,7497,7387,7517,7542,7815,7803
GS16,1020,579,7560,7536,7653,7572,7858,7721,7066,6897,6881,7119,7216,7342,7022,6927,7033,7062,7328,7337
GS16,1020,580,7309,7216,7369,7307,7535,7454,6814,6653,6621,6809,6959,7029,6754,6712,6806,6793,7050,7057
GS16,1020,581,6845,6768,6892,6838,7064,6963,6420,6222,6189,6372,6499,6618,6343,6293,6372,6348,6644,6635
GS16,1020,582,6669,6588,6717,6662,6898,6802,6213,6063,6010,6220,6362,6433,6171,6121,6164,6178,6449,6448
GS16,1020,583,6374,6306,6413,6377,6566,6496,5947,5808,5794,5954,6030,6117,5930,5877,5931,5944,6163,6155
GS16,1020,584,6123,6082,6207,6162,6335,6241,5768,5609,5565,5750,5871,5946,5704,5639,5720,5668,5926,5893
GS16,1020,585,5878,5834,5963,5898,6093,6047,5534,5431,5347,5532,5663,5698,5518,5421,5508,5521,5699,5698
GS16,1020,586,5710,5652,5788,5737,5922,5823,5393,5253,5208,5371,5475,5521,5337,5312,5317,5291,5516,5475
GS16,1020,587,5461,5410,5523,5427,5654,5576,5107,5012,4971,5123,5222,5301,5091,5020,5109,5070,5282,5272
GS16,1020,588,5294,5242,5342,5278,5489,5382,4962,4857,4801,4970,5050,5111,4932,4880,4945,4904,5121,5058
GS16,1020,589,5141,5106,5196,5114,5332,5227,4848,4718,4710,4826,4887,4960,4783,4742,4788,4763,4960,4942
GS16,1020,590,4964,4929,5030,4956,5167,5099,4666,4547,4528,4681,4740,4771,4659,4605,4649,4640,4813,4778
GS16,1020,591,4871,4786,4909,4856,5063,4961,4548,4467,4440,4565,4633,4688,4526,4457,4526,4513,4676,4712
GS16,1020,592,4715,4672,4773,4705,4842,4775,4405,4297,4309,4427,4465,4531,4410,4336,4390,4393,4550,4510
GS16,1020,593,4582,4528,4651,4582,4721,4648,4297,4223,4165,4289,4362,4367,4256,4238,4277,4287,4432,4402
GS16,1020,594,4389,4357,4458,4383,4537,4498,4120,4041,4039,4147,4203,4244,4124,4064,4081,4119,4262,4207
GS16,1020,595,4261,4220,4326,4275,4440,4354,3998,3941,3903,4013,4052,4136,3995,3946,3995,3957,4145,4107
GS16,1020,596,4152,4129,4154,4176,4306,4223,3899,3835,3812,3890,3964,3998,3901,3837,3884,3877,4011,4002
GS16,1020,597,4042,4005,4069,4014,4179,4075,3768,3713,3645,3781,3858,3871,3750,3708,3761,3733,3904,3867
GS16,1020,598,3909,3862,3938,3873,4020,3957,3671,3572,3563,3630,3706,3727,3628,3584,3619,3602,3784,3736
GS16,1020,599,3706,3680,3747,3698,3828,3815,3480,3401,3382,3497,3527,3574,3465,3433,3450,3433,3569,3552
GS16,1020,600,3647,3601,3670,3607,3738,3698,3382,3329,3304,3377,3474,3470,3394,3361,3403,3382,3508,3512
