,,Well,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
mTQ2ctrl (TQfree),1020,507,24726,24928,23250,24036,25529,22043,22453,25035,24633,23596,22820,24616,20561,23894,21383,21954,20193,20393
mTQ2ctrl (TQfree),1020,508,24273,24548,22854,23689,25106,21693,22123,24700,24254,23268,22477,24242,20300,23524,21035,21542,19920,20164
mTQ2ctrl (TQfree),1020,509,23695,23957,22329,23219,24471,21187,21578,24030,23652,22712,21892,23690,19735,22949,20530,21127,19417,19612
mTQ2ctrl (TQfree),1020,510,23021,23412,21763,22621,23767,20587,21060,23487,23206,22120,21359,23171,19314,22359,20054,20523,19017,19192
mTQ2ctrl (TQfree),1020,511,22380,22649,21049,21941,22989,19930,20407,22727,22440,21466,20675,22446,18673,21682,19414,19963,18375,18573
mTQ2ctrl (TQfree),1020,512,21752,22106,20483,21449,22449,19311,19853,22113,21816,20924,20094,21941,18141,21073,18883,19421,17884,18100
mTQ2ctrl (TQfree),1020,513,21126,21553,19875,20866,21742,18811,19270,21458,21192,20330,19564,21331,17618,20599,18335,18852,17389,17580
mTQ2ctrl (TQfree),1020,514,20299,20743,19091,20105,20902,18040,18495,20666,20354,19568,18791,20553,16947,19761,17658,18173,16659,16991
mTQ2ctrl (TQfree),1020,515,19650,20121,18509,19547,20297,17490,17934,20036,19812,18933,18221,19975,16433,19118,17141,17569,16190,16381
mTQ2ctrl (TQfree),1020,516,19005,19444,17872,18847,19577,16905,17386,19344,19069,18247,17645,19306,15895,18423,16503,16978,15647,15824
mTQ2ctrl (TQfree),1020,517,18077,18653,17078,17963,18642,16163,16585,18508,18288,17434,16760,18453,15196,17620,15758,16145,14940,15100
mTQ2ctrl (TQfree),1020,518,17620,18139,16581,17516,18168,15700,16125,17958,17782,16998,16338,17960,14755,17138,15337,15774,14528,14694
mTQ2ctrl (TQfree),1020,519,16759,17207,15803,16793,17232,14911,15351,17155,16949,16144,15546,17116,14056,16256,14575,14978,13883,13992
mTQ2ctrl (TQfree),1020,520,16298,16731,15360,16323,16785,14512,14880,16590,16399,15653,15144,16604,13667,15837,14140,14472,13412,13554
mTQ2ctrl (TQfree),1020,521,15537,16030,14621,15557,16000,13836,14226,15841,15663,14986,14441,15890,13081,15129,13546,13866,12776,12936
mTQ2ctrl (TQfree),1020,522,14879,15387,14020,14878,15362,13243,13591,15129,15002,14312,13804,15191,12489,14419,12903,13274,12289,12421
mTQ2ctrl (TQfree),1020,523,14398,14841,13542,14408,14841,12838,13154,14652,14510,13846,13351,14670,12065,14029,12521,12886,11849,12019
mTQ2ctrl (TQfree),1020,524,13669,14029,12907,13676,14136,12159,12493,13953,13776,13139,12671,13955,11470,13240,11888,12174,11287,11381
mTQ2ctrl (TQfree),1020,525,13233,13596,12431,13166,13565,11748,12078,13442,13247,12662,12239,13440,11088,12823,11481,11731,10886,10984
mTQ2ctrl (TQfree),1020,526,12707,13038,11957,12665,13046,11324,11560,12872,12721,12145,11684,12881,10610,12293,11005,11265,10432,10576
mTQ2ctrl (TQfree),1020,527,12231,12566,11538,12191,12584,10895,11148,12395,12284,11678,11267,12398,10204,11841,10594,10909,10027,10153
mTQ2ctrl (TQfree),1020,528,11991,12303,11269,11944,12384,10678,10938,12124,12011,11472,11028,12130,10028,11610,10373,10629,9823,9960
mTQ2ctrl (TQfree),1020,529,11714,12059,11067,11667,12099,10448,10696,11903,11762,11209,10848,11876,9775,11349,10163,10439,9608,9714
mTQ2ctrl (TQfree),1020,530,11487,11820,10857,11491,11840,10255,10500,11678,11549,10987,10590,11607,9662,11133,9961,10217,9397,9564
mTQ2ctrl (TQfree),1020,531,11304,11578,10696,11227,11627,10087,10279,11430,11282,10779,10417,11430,9424,10881,9755,10023,9255,9380
mTQ2ctrl (TQfree),1020,532,11075,11275,10423,10963,11429,9899,10096,11205,11075,10573,10187,11140,9198,10687,9600,9815,9094,9142
mTQ2ctrl (TQfree),1020,533,10862,11132,10313,10817,11254,9729,9909,11034,10907,10362,10007,10989,9082,10497,9431,9651,8892,9019
mTQ2ctrl (TQfree),1020,534,10636,10853,10048,10520,10976,9500,9693,10740,10630,10147,9792,10701,8884,10233,9196,9429,8660,8797
mTQ2ctrl (TQfree),1020,535,10464,10675,9910,10334,10758,9356,9526,10589,10475,9966,9623,10511,8722,10085,9030,9290,8571,8655
mTQ2ctrl (TQfree),1020,536,10369,10524,9770,10210,10720,9269,9418,10477,10289,9836,9515,10411,8639,9978,8921,9188,8443,8561
mTQ2ctrl (TQfree),1020,537,10059,10246,9563,9928,10387,9000,9142,10156,10044,9581,9300,10098,8361,9690,8690,8906,8232,8282
mTQ2ctrl (TQfree),1020,538,9881,10063,9328,9744,10221,8836,8981,10010,9873,9497,9118,9939,8251,9523,8542,8755,8070,8161
mTQ2ctrl (TQfree),1020,539,9663,9798,9153,9555,9973,8629,8775,9738,9615,9162,8888,9706,8034,9271,8309,8569,7883,7956
mTQ2ctrl (TQfree),1020,540,9468,9629,8946,9328,9829,8467,8630,9609,9429,8999,8730,9506,7865,9106,8155,8379,7752,7832
mTQ2ctrl (TQfree),1020,541,9395,9566,8932,9335,9675,8419,8537,9501,9397,8994,8627,9437,7872,9059,8114,8310,7691,7773
mTQ2ctrl (TQfree),1020,542,9080,9250,8628,8968,9400,8168,8230,9191,9088,8633,8337,9115,7555,8725,7856,8029,7425,7485
mTQ2ctrl (TQfree),1020,543,8900,9045,8404,8775,9171,7976,8078,9008,8844,8480,8160,8912,7413,8570,7702,7883,7267,7337
mTQ2ctrl (TQfree),1020,544,8586,8758,8135,8489,8873,7703,7809,8697,8593,8213,7901,8642,7165,8296,7416,7621,6999,7128
mTQ2ctrl (TQfree),1020,545,8321,8487,7905,8241,8628,7501,7594,8449,8327,7993,7715,8383,6972,8043,7216,7396,6827,6884
mTQ2ctrl (TQfree),1020,546,8109,8235,7664,7983,8321,7247,7388,8238,8076,7708,7431,8130,6747,7813,7001,7188,6626,6664
mTQ2ctrl (TQfree),1020,547,7736,7896,7327,7641,7973,6928,7028,7853,7735,7378,7128,7772,6445,7471,6673,6819,6327,6419
mTQ2ctrl (TQfree),1020,548,7409,7520,6997,7321,7627,6637,6738,7494,7393,7081,6831,7446,6184,7159,6407,6559,6047,6135
mTQ2ctrl (TQfree),1020,549,7149,7293,6778,7065,7420,6375,6517,7240,7111,6793,6582,7175,5953,6901,6181,6345,5841,5902
mTQ2ctrl (TQfree),1020,550,6809,6937,6468,6760,7031,6092,6190,6919,6777,6490,6296,6889,5721,6586,5856,6052,5557,5660
mTQ2ctrl (TQfree),1020,551,6474,6618,6140,6416,6687,5783,5884,6582,6475,6211,5978,6537,5419,6272,5625,5785,5321,5377
mTQ2ctrl (TQfree),1020,552,6211,6347,5886,6172,6400,5562,5692,6321,6226,5953,5741,6310,5197,6025,5417,5551,5101,5171
mTQ2ctrl (TQfree),1020,553,5976,6097,5646,5952,6150,5340,5471,6086,6035,5737,5520,6059,5018,5811,5182,5327,4922,4983
mTQ2ctrl (TQfree),1020,554,5816,5938,5510,5734,6005,5203,5351,5929,5848,5574,5380,5885,4866,5626,5074,5173,4801,4847
mTQ2ctrl (TQfree),1020,555,5574,5680,5287,5516,5778,4971,5081,5660,5593,5330,5129,5658,4672,5391,4840,4974,4561,4623
mTQ2ctrl (TQfree),1020,556,5389,5486,5070,5324,5547,4797,4903,5470,5397,5172,4978,5418,4486,5212,4677,4794,4405,4483
mTQ2ctrl (TQfree),1020,557,5195,5314,4927,5137,5355,4629,4748,5284,5236,4948,4823,5259,4369,5012,4513,4627,4272,4314
mTQ2ctrl (TQfree),1020,558,4960,5073,4703,4924,5117,4446,4545,5068,4996,4756,4578,5011,4139,4815,4302,4399,4078,4132
mTQ2ctrl (TQfree),1020,559,4805,4935,4542,4755,4947,4314,4393,4884,4840,4607,4443,4850,4010,4625,4179,4279,3944,3990
mTQ2ctrl (TQfree),1020,560,4572,4681,4334,4525,4684,4077,4191,4652,4577,4387,4241,4641,3839,4413,3976,4067,3760,3786
mTQ2ctrl (TQfree),1020,561,4370,4460,4152,4340,4493,3927,3992,4465,4394,4203,4040,4426,3663,4252,3784,3889,3602,3625
mTQ2ctrl (TQfree),1020,562,4224,4300,4012,4211,4399,3776,3846,4287,4227,4050,3931,4286,3554,4078,3667,3765,3461,3523
mTQ2ctrl (TQfree),1020,563,4028,4100,3822,4008,4193,3627,3690,4102,4032,3867,3738,4083,3371,3905,3511,3589,3301,3358
mTQ2ctrl (TQfree),1020,564,3944,4002,3741,3908,4023,3530,3584,3973,3929,3769,3622,3967,3297,3788,3415,3483,3217,3259
mTQ2ctrl (TQfree),1020,565,3752,3833,3572,3750,3887,3362,3451,3822,3770,3597,3495,3810,3173,3645,3262,3342,3096,3135
mTQ2ctrl (TQfree),1020,566,3606,3715,3427,3609,3719,3238,3318,3666,3646,3467,3346,3692,3018,3499,3147,3207,2979,3027
mTQ2ctrl (TQfree),1020,567,3500,3571,3308,3462,3610,3146,3181,3537,3509,3338,3204,3527,2911,3400,3042,3101,2878,2904
mTQ2ctrl (TQfree),1020,568,3393,3467,3216,3357,3493,3038,3071,3444,3384,3254,3116,3410,2835,3278,2929,3020,2789,2836
mTQ2ctrl (TQfree),1020,569,3245,3292,3049,3204,3321,2886,2938,3261,3224,3066,2986,3251,2697,3089,2779,2878,2655,2692
mTQ2ctrl (TQfree),1020,570,3176,3234,3003,3117,3262,2838,2893,3205,3183,3024,2929,3190,2623,3042,2721,2825,2600,2630
mTQ2ctrl (TQfree),1020,571,3004,3072,2868,2976,3097,2698,2744,3065,3012,2884,2785,3024,2527,2913,2602,2664,2485,2515
mTQ2ctrl (TQfree),1020,572,2922,3002,2779,2901,3007,2627,2675,2963,2927,2803,2704,2923,2452,2819,2526,2619,2390,2429
mTQ2ctrl (TQfree),1020,573,2841,2896,2676,2810,2925,2551,2587,2878,2838,2711,2629,2874,2369,2744,2465,2530,2329,2369
mTQ2ctrl (TQfree),1020,574,2752,2775,2608,2734,2855,2483,2497,2769,2755,2617,2526,2762,2288,2630,2379,2452,2265,2265
mTQ2ctrl (TQfree),1020,575,2683,2711,2525,2638,2759,2417,2452,2726,2672,2575,2460,2717,2245,2582,2317,2374,2193,2229
mTQ2ctrl (TQfree),1020,576,2604,2641,2456,2549,2686,2323,2367,2646,2595,2489,2391,2618,2158,2497,2239,2313,2130,2154
mTQ2ctrl (TQfree),1020,577,2486,2540,2361,2473,2593,2252,2278,2536,2507,2390,2292,2523,2083,2424,2153,2223,2049,2083
mTQ2ctrl (TQfree),1020,578,2438,2463,2311,2400,2496,2184,2212,2450,2413,2308,2224,2440,2036,2331,2093,2161,1981,1995
mTQ2ctrl (TQfree),1020,579,2314,2356,2205,2273,2378,2073,2113,2338,2297,2206,2141,2317,1929,2211,2002,2031,1896,1935
mTQ2ctrl (TQfree),1020,580,2242,2294,2152,2191,2352,2031,2046,2282,2234,2134,2067,2267,1895,2162,1956,1990,1841,1866
mTQ2ctrl (TQfree),1020,581,2128,2201,2045,2108,2217,1904,1968,2163,2127,2048,1969,2145,1782,2057,1847,1916,1747,1786
mTQ2ctrl (TQfree),1020,582,2092,2135,1996,2054,2152,1897,1915,2106,2088,2014,1936,2103,1756,2030,1819,1874,1712,1747
mTQ2ctrl (TQfree),1020,583,2022,2067,1931,2007,2106,1836,1862,2053,2030,1931,1860,2019,1707,1962,1758,1800,1655,1689
mTQ2ctrl (TQfree),1020,584,2000,2022,1889,1951,2068,1775,1816,2015,1981,1898,1811,1992,1653,1890,1723,1772,1641,1639
mTQ2ctrl (TQfree),1020,585,1923,1950,1838,1882,2006,1743,1759,1931,1917,1833,1764,1901,1600,1856,1660,1698,1586,1592
mTQ2ctrl (TQfree),1020,586,1884,1908,1790,1855,1953,1691,1724,1892,1863,1804,1724,1890,1592,1799,1628,1672,1547,1558
mTQ2ctrl (TQfree),1020,587,1827,1827,1730,1771,1876,1619,1650,1827,1814,1721,1664,1831,1533,1758,1561,1609,1489,1514
mTQ2ctrl (TQfree),1020,588,1779,1786,1678,1735,1842,1576,1609,1799,1743,1666,1619,1760,1472,1694,1519,1555,1442,1452
mTQ2ctrl (TQfree),1020,589,1727,1748,1649,1699,1770,1563,1581,1747,1734,1637,1596,1727,1452,1671,1502,1546,1400,1447
mTQ2ctrl (TQfree),1020,590,1678,1705,1601,1648,1744,1514,1537,1702,1675,1621,1556,1692,1393,1630,1450,1500,1391,1390
mTQ2ctrl (TQfree),1020,591,1649,1659,1571,1618,1713,1480,1509,1674,1637,1589,1506,1659,1399,1574,1424,1469,1361,1373
mTQ2ctrl (TQfree),1020,592,1615,1627,1527,1568,1659,1448,1461,1618,1596,1522,1465,1615,1339,1517,1386,1403,1300,1336
mTQ2ctrl (TQfree),1020,593,1566,1586,1496,1536,1611,1421,1421,1576,1555,1489,1444,1560,1325,1513,1362,1396,1294,1308
mTQ2ctrl (TQfree),1020,594,1505,1521,1443,1485,1551,1370,1401,1519,1499,1441,1393,1512,1273,1450,1335,1337,1247,1272
mTQ2ctrl (TQfree),1020,595,1469,1485,1419,1440,1512,1322,1351,1490,1458,1397,1363,1469,1225,1431,1288,1299,1200,1240
mTQ2ctrl (TQfree),1020,596,1437,1448,1382,1410,1471,1301,1306,1462,1428,1377,1319,1437,1194,1366,1246,1283,1178,1187
mTQ2ctrl (TQfree),1020,597,1387,1392,1336,1381,1424,1242,1262,1400,1381,1325,1295,1398,1165,1350,1198,1233,1139,1163
mTQ2ctrl (TQfree),1020,598,1345,1367,1300,1326,1391,1215,1230,1380,1330,1276,1230,1334,1139,1297,1176,1202,1116,1116
mTQ2ctrl (TQfree),1020,599,1285,1307,1211,1257,1322,1142,1180,1296,1283,1225,1166,1291,1067,1230,1121,1138,1055,1069
mTQ2ctrl (TQfree),1020,600,1265,1278,1186,1228,1295,1126,1162,1272,1247,1205,1171,1259,1053,1211,1084,1122,1030,1055
