q**2_data,ln(I(q))_data,error_data,q**2_fit,ln(I(q))_fit,normalized_residual,
8.992962385064225e-06,-3.3125688085152007,0.08504944054867439,1.2745128096746354e-05,-3.2960125316540947,0.013315179708741015,
1.0787476421086113e-05,-3.458947259853841,0.053216086968869133,1.4865917412044946e-05,-3.2968702150239726,-0.5516534058095347,
1.2745128096746354e-05,-3.2954921200166116,0.03908408664897178,1.7149844366981893e-05,-3.2977938740376875,0.11665063825286018,
1.4865917412044946e-05,-3.314752207895012,0.03241526777995309,1.959690896155719e-05,-3.298783508695239,1.0268040624818737,
1.7149844366981893e-05,-3.2948154587331278,0.025532781896174066,2.2207111195770842e-05,-3.299839118996627,1.0502033835244584,
1.959690896155719e-05,-3.276770934591796,0.0214379499534087,2.4980451069622847e-05,-3.3009607049418523,0.3645782033855971,
2.2207111195770842e-05,-3.2791220627798054,0.019726708694553785,2.7916928583113205e-05,-3.302148266530914,0.433638063840696,
2.4980451069622847e-05,-3.2939784075509153,0.019151713750567217,3.101654373624192e-05,-3.303401803763813,-0.6097782719795589,
2.7916928583113205e-05,-3.2941723915962355,0.01839293087889217,3.4279296529008984e-05,-3.3047213166405482,-0.0590843861708214,
3.101654373624192e-05,-3.314770761201455,0.018644412174173394,3.770518696141441e-05,-3.30610680516112,-0.8729845691516613,
3.4279296529008984e-05,-3.3058101306035974,0.01842811669230591,4.129421503345817e-05,-3.307558269325529,0.9075853806578565,
3.770518696141441e-05,-3.322013925338186,0.018221536484343593,4.504638074514029e-05,-3.309075709133775,1.5492877615692806,
4.129421503345817e-05,-3.29180659008939,0.017355589426442386,4.896168409646078e-05,-3.3106591245858574,-0.47714390306545307,
4.504638074514029e-05,-3.283209187996584,0.01669574999481735,5.30401250874196e-05,-3.3123085156817766,0.23478581936127432,
4.896168409646078e-05,-3.318684069207265,0.01681870934502276,5.72817037180168e-05,-3.314023882421533,0.6649473196055474,
5.30401250874196e-05,-3.3084312579595494,0.01651402002376112,6.168641998825232e-05,-3.3158052248051257,1.1644427877555106,
5.72817037180168e-05,-3.3031755906533578,0.016314513117536057,6.625427389812625e-05,-3.317652542832555,1.0464740943505009,
