,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,N/A,N/A,N/A,N/A,N/A,N/A,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS24,1020,458,13675,13341,12966,12665,13181,13186,13387,13651,14400,14143,14013,13763,12217,12054,11543,11733,10408,9740,0,0,0,0,0,0,13997,14935,14083,13984,11126,13964,13486,11843,10591,9906,8873,7363,13720,13623,12307,13077,12060,12073,11397,11307,10619,10561,10625,10759,5892,5537,5613,6100,5777,5683,5930,5348,4998,5323,5044,5086,5554,5025,5050,5090,5004,5165,5639,5399,4403,5380,5262,5144,5665,4817,4301,5222,5112,2966,6747,6835,6898,7009,6791,6902,7475,8312,9354,9354,8998,8921,7488,9134,9283,9133,9293,7815
GS24,1020,459,16015,15599,15167,14786,15472,15449,15676,16023,16923,16583,16379,16136,14313,14100,13540,13716,12222,11393,0,0,0,0,0,0,16342,17419,16499,16298,13034,16341,15645,13833,12321,11557,10357,8556,15929,15854,14361,15216,14018,14122,13244,13213,12369,12288,12334,12577,6964,6560,6653,7200,6863,6733,7014,6371,5928,6263,5993,6016,6552,5930,5934,5997,5929,6088,6643,6415,5173,6343,6162,6066,6652,5702,5069,6153,6007,3491,7905,7963,8040,8128,8005,8063,8712,9708,10904,10910,10483,10457,8725,10683,10846,10620,10915,9111
GS24,1020,460,18576,18151,17649,17186,17915,17897,18166,18525,19613,19311,19035,18709,16643,16354,15681,15962,14193,13214,0,0,0,0,0,0,18895,20217,19138,18994,15135,19049,18191,16004,14366,13384,12002,9939,18501,18385,16664,17689,16305,16374,15356,15282,14314,14213,14267,14501,8087,7606,7717,8398,7960,7819,8175,7403,6861,7277,6966,6987,7647,6895,6936,6973,6894,7089,7751,7452,6035,7379,7191,7072,7766,6579,5885,7132,7006,4051,9117,9251,9327,9488,9260,9301,10035,11158,12525,12577,12060,12071,10056,12320,12583,12338,12611,10553
GS24,1020,461,21298,20711,20125,19720,20546,20521,20779,21245,22543,22071,21827,21525,19003,18763,17962,18286,16268,15158,0,0,0,0,0,0,21635,23168,21920,21726,17355,21720,20826,18302,16359,15255,13727,11374,21173,21084,19074,20250,18593,18688,17549,17491,16365,16268,16379,16597,9246,8702,8852,9623,9062,8912,9323,8479,7862,8356,7974,7973,8666,7878,7901,7991,7878,8120,8798,8472,6893,8398,8192,8037,8790,7527,6696,8142,7993,4624,10443,10598,10667,10840,10573,10653,11482,12740,14294,14338,13740,13741,11472,14124,14397,14145,14414,12098
GS24,1020,462,24667,24043,23413,22804,23813,23771,24080,24585,26045,25523,25343,24935,21915,21645,20768,21095,18761,17571,0,0,0,0,0,0,25033,26803,25382,25186,20070,25282,24118,21215,18935,17782,15900,13101,24448,24308,22015,23323,21568,21594,20246,20180,18851,18668,18849,19146,10605,9980,10153,11011,10419,10213,10705,9698,9036,9590,9110,9192,9927,8976,9037,9146,9003,9279,10097,9707,7862,9655,9382,9201,10138,8611,7653,9366,9157,5297,12065,12249,12308,12521,12229,12370,13223,14607,16456,16507,15830,15765,13250,16311,16605,16343,16672,13936
GS24,1020,463,27733,27090,26326,25721,26772,26823,27225,27675,29362,28824,28526,28161,24710,24463,23407,23794,21253,19738,0,0,0,0,0,0,28181,30199,28626,28380,22649,28404,27132,23849,21398,19945,17880,14769,27528,27423,24809,26277,24221,24339,22755,22666,21249,21036,21097,21428,12101,11456,11620,12661,11940,11683,12239,11127,10318,10966,10436,10478,11341,10296,10323,10418,10304,10617,11512,11095,8986,11022,10720,10509,11514,9782,8725,10670,10434,6021,13623,13769,13920,14120,13699,13908,14762,16377,18439,18489,17728,17662,14840,18313,18665,18353,18713,15685
GS24,1020,464,30770,30021,29159,28476,29739,29687,30045,30842,32619,32071,31774,31318,27523,27221,26065,26448,23527,21956,0,0,0,0,0,0,31276,33560,31723,31548,25051,31553,30114,26488,23691,22229,19889,16417,30457,30407,27520,29126,26937,27013,25248,25153,23590,23335,23419,23788,13431,12648,12850,13983,13180,12909,13536,12327,11444,12170,11559,11677,12580,11412,11441,11559,11406,11776,12752,12288,9943,12238,11835,11602,12747,10871,9702,11792,11524,6668,15176,15352,15488,15690,15263,15437,16353,18164,20508,20488,19631,19549,16530,20386,20758,20401,20818,17446
GS24,1020,465,34415,33572,32674,31914,33246,33238,33596,34391,36448,35858,35479,35086,30690,30339,29152,29600,26324,24564,0,0,0,0,0,0,34913,37532,35473,35231,28075,35288,33626,29559,26494,24815,22196,18377,34065,33940,30634,32543,30073,30243,28184,28071,26229,26008,26054,26440,14818,14009,14231,15445,14643,14264,15010,13605,12631,13416,12801,12827,13849,12574,12657,12804,12595,12998,14073,13523,11025,13516,13107,12850,14032,11951,10687,12973,12703,7341,16941,17187,17213,17588,17087,17241,18023,20005,22525,22587,21670,21571,18290,22534,23000,22644,23202,19321
GS24,1020,466,37309,36500,35438,34577,36089,36000,36471,37271,39514,39060,38655,38137,33374,32950,31636,32127,28603,26674,0,0,0,0,0,0,37938,40826,38567,38288,30459,38356,36486,32068,28772,26978,24137,19944,36958,36747,33376,35349,32650,32782,30467,30399,28460,28243,28301,28717,16350,15417,15699,17042,16130,15738,16537,15019,13993,14808,14161,14270,15307,13912,13909,14084,13907,14383,15515,14963,12109,14837,14456,14112,15428,13230,11802,14336,14040,8108,18322,18618,18767,19046,18496,18775,19603,21775,24583,24586,23601,23453,19935,24609,25145,24775,25233,21134
GS24,1020,467,40035,39041,38000,37063,38652,38592,39076,39929,42451,41812,41447,40946,35682,35319,33906,34471,30759,28623,0,0,0,0,0,0,40682,43712,41443,41008,32788,41181,39195,34423,30858,28975,25908,21418,39723,39413,35829,37835,35023,35279,32671,32620,30546,30216,30406,30769,17569,16525,16832,18254,17268,16837,17703,16140,14949,15847,15188,15174,16356,14872,14975,15071,14878,15393,16677,16017,12955,15905,15476,15119,16547,14106,12568,15362,14978,8737,19609,19946,20091,20473,19894,20157,20994,23224,26143,26287,25161,25042,21293,26362,26962,26472,26994,22678
GS24,1020,468,42744,41820,40649,39556,41210,41254,41675,42750,45435,44716,44352,43808,38144,37762,36303,36904,32821,30601,0,0,0,0,0,0,43371,46670,44161,43916,34971,44105,41785,36770,33052,30874,27663,22865,42245,42102,38126,40446,37393,37680,34895,34763,32568,32215,32331,32798,18659,17703,17959,19498,18462,17974,18925,17237,16000,17021,16225,16318,17461,15866,15890,16078,15898,16391,17745,17113,13840,16994,16457,16123,17658,15063,13428,16324,16010,9267,20992,21361,21549,21902,21272,21558,22223,24782,27847,27951,26762,26681,22739,28127,28772,28293,28868,24222
GS24,1020,469,45512,44451,43224,42149,43896,43800,44440,45391,48337,47545,47215,46722,40556,40196,38575,39242,34944,32577,0,0,0,0,0,0,46111,49593,46961,46665,37128,46899,44344,39115,35139,32895,29468,24439,44815,44768,40486,43038,39863,40006,36989,36934,34470,34366,34404,34787,19850,18778,19040,20711,19581,19061,20112,18308,16994,18070,17194,17326,18551,16825,16871,17086,16919,17351,18834,18090,14715,18011,17570,17119,18767,15994,14270,17416,17014,9872,22363,22731,22867,23330,22635,22903,23648,26251,29631,29571,28429,28343,24201,29988,30724,30191,30905,25826
