,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,N/A,N/A,N/A,N/A,N/A,N/A,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS24,1020,523,73862,72553,70279,68968,72011,72182,67150,65436,66835,63742,61654,59522,65545,66032,64871,69153,64670,64211,0,0,0,0,0,0,64602,64046,57086,53990,41221,50820,72703,66664,64085,65539,64505,61973,71216,69478,62022,65333,59772,60359,75709,80906,76171,73785,71147,69565,29525,26191,25283,26535,24487,23415,31108,27263,24782,25868,24291,24267,29166,26042,25704,25760,25100,25700,28800,26490,20835,25137,24081,23327,28942,23765,20608,24694,23872,13504,36976,36896,36872,37242,36222,36843,35020,36487,38633,36771,33891,32727,32559,36595,35082,32759,31675,25467
GS24,1020,524,69861,68818,66568,65297,68135,68198,63690,62110,63359,60490,58360,56495,62192,62626,61357,65510,61164,60781,0,0,0,0,0,0,61277,60694,54109,51360,39142,48163,68920,63029,60729,61998,61026,58660,67376,65763,58779,61907,56603,57108,71818,76943,72139,70030,67534,66050,27972,24731,24005,25089,23166,22190,29440,25757,23390,24470,22942,22982,27606,24654,24327,24337,23855,24329,27169,25121,19713,23785,22803,22070,27399,22591,19583,23333,22581,12858,34985,34887,34790,35123,34270,34838,33087,34578,36441,34828,31988,30936,30788,34701,33196,31050,29976,24119
GS24,1020,525,67110,65986,63897,62718,65291,65495,60988,59607,60890,57954,55943,54198,59480,60044,58857,62752,58744,58160,0,0,0,0,0,0,58873,58455,52025,49287,37559,46302,66128,60452,58401,59549,58589,56167,64906,63207,56284,59454,54291,54627,68738,73428,69287,67041,64755,63336,26763,23745,22939,24041,22216,21237,28033,24667,22380,23350,21972,21998,26459,23557,23231,23257,22736,23249,26080,23975,18862,22735,21833,21147,26294,21554,18735,22408,21620,12272,33638,33465,33381,33737,32917,33306,31634,33009,34977,33457,30649,29674,29445,33122,31863,29675,28745,23153
GS24,1020,526,63721,62811,60716,59498,62200,62463,58142,56802,58020,55257,53464,51626,56719,57260,56070,59870,55859,55386,0,0,0,0,0,0,56054,55660,49578,46963,35696,44285,63020,57487,55213,56558,55629,53347,61657,60269,53645,56640,51662,52119,65411,70005,65717,63885,61626,60311,25402,22510,21881,22856,21089,20179,26687,23366,21245,22175,20915,20923,25127,22322,22126,22073,21543,22075,24767,22798,17931,21572,20663,20053,24905,20512,17766,21198,20532,11614,31894,31815,31805,32115,31325,31649,30243,31516,33337,31954,29349,28316,28194,31681,30470,28431,27466,22128
GS24,1020,527,60656,59611,57748,56544,58967,59275,55153,54022,55103,52663,50845,49311,53910,54400,53229,56814,53113,52550,0,0,0,0,0,0,53358,52976,47180,44706,34070,42237,59782,54579,52701,53686,52766,50574,58693,57184,51207,53733,49076,49619,62250,66623,62748,60803,58746,57294,24209,21391,20788,21774,20034,19251,25381,22227,20186,21063,19888,19913,23899,21309,21065,21025,20518,21023,23623,21765,17080,20667,19759,19134,23718,19510,16909,20274,19521,11108,30362,30243,30222,30557,29673,30193,28684,30039,31703,30299,27835,26989,26768,30111,29015,27038,26211,21087
GS24,1020,528,58761,57582,55785,54729,57160,57371,53436,52222,53382,50937,49320,47765,52025,52524,51481,54841,51147,50754,0,0,0,0,0,0,51713,51333,45726,43343,32988,40850,57960,52852,50827,51891,50826,48762,56679,55361,49363,51981,47496,47910,60192,64369,60560,58795,56733,55436,23178,20509,19839,20888,19187,18427,24267,21313,19324,20323,19021,19051,22878,20335,20133,20126,19659,20083,22515,20792,16355,19668,18883,18309,22717,18709,16213,19421,18749,10617,29245,29302,29231,29514,28717,29142,27694,28967,30661,29276,26952,26121,25790,29161,28035,26164,25280,20379
GS24,1020,529,56563,55336,53675,52652,55071,55175,51553,50410,51530,49044,47551,46054,50112,50547,49561,52788,49320,48777,0,0,0,0,0,0,49751,49476,44131,41799,31867,39518,55727,50836,48813,49693,48800,46709,54684,53194,47466,50040,45858,46126,57748,61980,58199,56415,54437,53333,22295,19764,19171,20112,18494,17802,23401,20503,18649,19476,18309,18327,22035,19669,19411,19408,18919,19407,21823,20057,15756,18981,18258,17683,21822,18014,15611,18729,17975,10257,28302,28243,28181,28451,27784,28136,26851,28045,29758,28380,26121,25265,24973,28228,27107,25405,24552,19792
GS24,1020,530,54674,53667,52027,50950,53259,53503,49844,48623,49690,47630,45988,44398,48536,48847,47897,51036,47545,47105,0,0,0,0,0,0,48167,47897,42778,40614,30855,38295,53998,49169,47169,48219,47275,45130,52763,51550,46087,48509,44439,44722,55884,59745,56284,54656,52560,51609,21719,19272,18699,19680,18130,17346,22820,19997,18172,19062,17914,17928,21487,19175,18855,18879,18474,18906,21248,19612,15359,18533,17791,17213,21372,17554,15209,18273,17592,9990,27348,27266,27180,27504,26760,27187,26115,27329,28916,27675,25416,24605,24270,27498,26460,24690,23957,19350
GS24,1020,531,52778,51798,50185,49310,51390,51562,48188,47093,48147,46115,44486,43076,46876,47167,46178,49226,45847,45308,0,0,0,0,0,0,46548,46458,41346,39260,29951,37039,52076,47444,45521,46330,45292,43426,51083,49825,44375,46855,42838,43108,53953,57650,54190,52702,50841,49733,20928,18564,18059,18940,17430,16724,22017,19256,17446,18294,17216,17251,20694,18414,18196,18201,17768,18152,20429,18891,14767,17865,17129,16605,20485,16896,14659,17585,16963,9620,26328,26376,26407,26624,25851,26284,25086,26359,27863,26696,24483,23754,23434,26520,25436,23866,23115,18669
GS24,1020,532,50954,50019,48371,47422,49609,49701,46527,45570,46397,44367,43029,41607,45137,45581,44597,47524,44234,43761,0,0,0,0,0,0,45053,44906,39963,38106,28902,35977,50299,45736,43957,44668,43690,41778,49190,48053,42926,45225,41379,41739,51929,55440,52195,50659,48895,47910,20253,17965,17462,18247,16850,16204,21274,18639,16888,17769,16656,16702,20009,17786,17608,17583,17177,17534,19779,18292,14301,17268,16555,16083,19855,16351,14123,16991,16411,9362,25441,25408,25405,25699,24887,25345,24081,25172,26715,25501,23500,22820,22407,25474,24498,22900,22201,17888
GS24,1020,533,49134,48282,46792,45851,47900,47947,44966,44079,45104,43010,41620,40320,43776,44007,43125,45831,42682,42225,0,0,0,0,0,0,43520,43374,38788,36887,28013,34811,48605,44243,42468,43061,42133,40290,47692,46494,41453,43847,39961,40323,50075,53664,50431,48985,47237,46250,19494,17287,16859,17672,16311,15585,20466,17913,16281,17090,16023,16049,19303,17140,16953,16988,16593,16914,19043,17585,13763,16603,15937,15487,19122,15688,13693,16348,15808,8986,24606,24555,24475,24753,23993,24442,23369,24475,26003,24815,22880,22167,21809,24678,23789,22330,21655,17494
GS24,1020,534,47304,46453,44959,44066,46008,46108,43213,42276,43127,41444,39975,38725,41831,42120,41288,43987,40929,40381,0,0,0,0,0,0,41835,41868,37237,35515,27052,33542,46688,42450,40727,41288,40272,38444,45810,44769,39881,42071,38512,38696,48021,51417,48357,46847,45314,44399,18763,16710,16203,16988,15723,15009,19655,17187,15635,16445,15395,15370,18527,16514,16259,16290,15931,16275,18326,16892,13257,15990,15356,14900,18318,15121,13158,15710,15183,8602,23641,23607,23567,23790,23208,23536,22532,23663,25111,23963,22119,21498,21052,23868,23047,21610,20935,16965
GS24,1020,535,45875,44947,43601,42702,44513,44771,41948,41054,41891,40002,38929,37626,40694,40831,40047,42570,39605,39115,0,0,0,0,0,0,40595,40513,36173,34458,26211,32597,45090,41092,39340,39980,38952,37162,44281,43428,38604,40830,37191,37557,46579,49738,46674,45408,43953,42984,18254,16156,15733,16516,15212,14654,19142,16761,15256,15918,15008,15025,17933,15989,15806,15781,15438,15812,17756,16409,12873,15473,14887,14433,17867,14723,12722,15272,14806,8397,22828,22871,22842,23119,22506,22755,21864,22887,24364,23370,21435,20841,20490,23234,22405,21031,20410,16443
GS24,1020,536,44800,43891,42538,41646,43497,43567,40896,39995,40992,39108,37926,36759,39572,39886,39081,41556,38609,38023,0,0,0,0,0,0,39554,39641,35362,33720,25630,31764,44033,40070,38374,38937,38040,36105,43309,42390,37777,39826,36362,36742,45296,48474,45429,44279,42797,41923,17746,15786,15367,16146,14847,14250,18575,16288,14788,15504,14607,14619,17484,15563,15411,15397,15026,15420,17238,15942,12548,15124,14521,14076,17391,14280,12438,14880,14366,8159,22355,22365,22333,22547,21920,22263,21286,22349,23694,22745,20958,20343,19938,22636,21822,20444,19801,16090
GS24,1020,537,42908,42038,40638,39852,41633,41844,39136,38367,39383,37542,36436,35387,38016,38212,37464,39709,36869,36441,0,0,0,0,0,0,38014,37938,33929,32374,24578,30567,42257,38408,36740,37209,36313,34619,41546,40587,36256,38144,34892,35213,43351,46235,43536,42292,40869,40030,17051,15172,14770,15406,14288,13721,17827,15639,14235,14880,14019,14041,16889,14950,14842,14810,14475,14776,16625,15360,12112,14542,14003,13582,16708,13794,11975,14315,13831,7854,21412,21429,21348,21569,21077,21271,20403,21431,22794,21865,20134,19508,19127,21683,20990,19673,19102,15500
GS24,1020,538,41512,40794,39467,38741,40395,40515,38001,37357,38193,36485,35334,34211,36778,37079,36318,38478,35770,35135,0,0,0,0,0,0,36824,36816,33006,31448,23901,29753,41006,37191,35614,35968,35138,33278,40256,39334,35098,37057,33767,34090,41953,44808,42177,40913,39541,38817,16508,14700,14319,15026,13855,13311,17263,15202,13788,14384,13626,13607,16258,14504,14331,14377,14041,14347,16054,14815,11718,14105,13528,13160,16098,13373,11576,13898,13404,7608,20704,20724,20749,21007,20420,20608,19941,20910,22220,21366,19681,19070,18685,21206,20438,19261,18651,15160
GS24,1020,539,40163,39341,38167,37334,39057,39161,36819,35928,36941,35245,34248,33179,35716,35769,35071,37187,34490,34024,0,0,0,0,0,0,35580,35644,31898,30388,23041,28755,39511,35909,34496,34791,33853,32138,38903,37984,33842,35816,32761,33010,40432,43280,40581,39654,38091,37461,15943,14165,13844,14555,13395,12875,16627,14549,13308,13951,13116,13150,15718,14028,13840,13837,13536,13886,15495,14308,11249,13634,13038,12674,15660,12891,11215,13367,12931,7362,20087,20102,20075,20256,19806,20049,19208,20208,21530,20637,19051,18444,18006,20500,19765,18634,18049,14705
GS24,1020,540,39047,38248,37001,36228,37978,38111,35833,35055,36013,34345,33204,32274,34542,34889,34023,36022,33502,33075,0,0,0,0,0,0,34710,34722,31018,29443,22484,27979,38434,34934,33454,33698,32937,31189,37820,37080,32988,34893,31911,32016,39431,42035,39573,38410,37122,36443,15538,13839,13481,14149,13071,12547,16229,14307,12980,13588,12807,12830,15295,13671,13484,13494,13233,13486,15108,14020,10978,13364,12797,12424,15207,12545,10901,13040,12622,7176,19557,19526,19515,19703,19202,19458,18660,19618,20817,20020,18457,17936,17477,19955,19238,18058,17579,14280
GS24,1020,541,38538,37718,36555,35757,37413,37620,35308,34637,35544,33917,32810,31884,34101,34333,33603,35608,32977,32561,0,0,0,0,0,0,34206,34257,30552,29153,22230,27650,38060,34450,32909,33320,32460,30708,37405,36565,32657,34393,31437,31666,38834,41461,38927,37807,36567,35939,15207,13545,13203,13817,12832,12317,15892,13935,12650,13276,12520,12513,14930,13318,13207,13179,12851,13130,14743,13654,10755,12968,12465,12067,14893,12263,10632,12753,12341,6978,19247,19263,19247,19417,18921,19187,18111,19019,20271,19506,17938,17463,17002,19352,18707,17621,17066,13879
GS24,1020,542,36959,36183,35104,34410,35919,36016,33854,33201,33992,32561,31567,30600,32809,32948,32146,34119,31663,31097,0,0,0,0,0,0,32809,32923,29377,28045,21387,26548,36447,33008,31567,31869,31120,29470,35902,35033,31304,33000,30114,30411,37323,39670,37257,36198,35053,34410,14662,13072,12746,13379,12389,11868,15426,13449,12276,12852,12122,12092,14398,12860,12691,12764,12483,12763,14243,13200,10391,12540,12059,11673,14421,11844,10287,12319,11925,6777,18396,18471,18463,18622,18126,18425,17513,18443,19674,18850,17461,16964,16465,18737,18127,17068,16564,13474
GS24,1020,543,36000,35237,34235,33430,35077,35176,33073,32424,33208,31758,30810,29897,31981,32100,31418,33300,30887,30399,0,0,0,0,0,0,31943,31907,28601,27325,20774,25966,35403,32143,30780,31076,30315,28661,35024,34191,30518,32129,29546,29655,36427,38729,36390,35409,34182,33559,14404,12728,12403,13067,12088,11538,14981,13211,11949,12584,11779,11829,14067,12573,12462,12469,12146,12433,13982,12922,10150,12284,11840,11474,14068,11525,10044,12029,11683,6617,17928,18029,17999,18220,17731,17989,17278,18109,19328,18581,17152,16645,16210,18432,17824,16738,16305,13238
GS24,1020,544,34799,34210,33088,32483,33961,34017,31918,31274,32161,30745,29766,28901,30858,31082,30347,32175,29950,29372,0,0,0,0,0,0,30886,30905,27697,26478,20160,25034,34301,31062,29751,30082,29237,27774,33910,33086,29488,31168,28355,28703,35143,37500,35188,34269,33149,32487,13810,12339,12022,12589,11668,11204,14436,12700,11507,12024,11380,11394,13577,12162,11995,12034,11760,12035,13456,12439,9827,11835,11396,11037,13520,11127,9712,11648,11232,6345,17385,17425,17466,17590,17173,17420,16742,17530,18717,17951,16634,16121,15674,17824,17260,16214,15772,12818
GS24,1020,545,33830,33181,32131,31556,32935,32987,30982,30345,31240,29849,28943,28125,29911,30028,29523,31237,28954,28619,0,0,0,0,0,0,30051,29991,26856,25581,19541,24242,33388,30255,28830,29194,28391,26941,32906,32145,28698,30250,27708,27885,34150,36466,34254,33263,32019,31449,13448,11987,11664,12232,11355,10903,14111,12356,11247,11722,11129,11087,13224,11778,11685,11627,11438,11710,13087,12094,9527,11467,11084,10722,13226,10906,9419,11308,10939,6222,16930,16936,16967,17148,16614,16906,16204,16986,18148,17432,16105,15669,15221,17289,16688,15736,15320,12459
GS24,1020,546,32828,32297,31280,30551,32095,32120,30126,29503,30255,28996,28155,27270,29061,29245,28698,30386,28159,27731,0,0,0,0,0,0,29123,29102,26078,24821,18901,23595,32419,29357,28039,28365,27627,26208,31938,31233,27809,29393,26833,27139,33170,35415,33261,32331,31209,30651,12963,11566,11251,11824,10900,10541,13572,11899,10839,11415,10735,10681,12795,11355,11258,11283,11019,11259,12646,11723,9173,11138,10698,10349,12715,10474,9115,10944,10578,5982,16500,16483,16468,16612,16181,16413,15664,16502,17573,16875,15598,15186,14723,16748,16204,15195,14786,12032
GS24,1020,547,31510,30959,29978,29356,30640,30737,28916,28351,29011,27760,26888,26114,27836,28049,27396,29111,27021,26631,0,0,0,0,0,0,27861,27888,24974,23817,18149,22600,30994,28200,26911,27212,26484,25060,30614,29968,26709,28212,25797,26081,31902,33969,31895,30915,29868,29365,12556,11169,10856,11420,10551,10148,13137,11544,10487,10965,10267,10299,12357,11018,10883,10914,10637,10888,12206,11273,8902,10697,10297,9967,12260,10095,8810,10546,10177,5778,15792,15773,15770,15950,15503,15712,15157,15944,16993,16252,14990,14588,14157,16083,15593,14659,14257,11598
GS24,1020,548,30441,29875,28945,28351,29623,29688,27857,27220,27998,26749,25959,25230,26878,27022,26435,28038,26068,25676,0,0,0,0,0,0,26914,26832,24061,22944,17429,21717,29968,27248,25948,26267,25623,24263,29518,28867,25728,27235,24858,25074,30713,32781,30808,29804,28936,28376,12093,10741,10480,10982,10139,9777,12623,11082,10105,10586,9979,9962,11906,10594,10443,10481,10297,10495,11748,10924,8557,10361,9935,9627,11785,9742,8490,10182,9776,5563,15222,15300,15212,15371,14985,15188,14620,15369,16390,15738,14531,14086,13699,15570,15107,14131,13782,11187
GS24,1020,549,29608,28965,28083,27499,28796,28802,27027,26532,27155,26102,25215,24428,26176,26284,25710,27317,25348,25037,0,0,0,0,0,0,26053,26030,23302,22273,16958,21041,29160,26446,25282,25529,24835,23599,28663,28094,24969,26403,24157,24431,29855,31887,29957,29032,28127,27548,11594,10370,10117,10590,9776,9405,12223,10678,9723,10188,9567,9540,11493,10246,10115,10110,9881,10123,11323,10450,8257,9982,9552,9260,11410,9400,8136,9789,9464,5380,14839,14830,14825,14970,14532,14762,14200,14959,15889,15248,14073,13707,13282,15139,14611,13719,13297,10847
GS24,1020,550,28458,27967,27047,26474,27728,27687,26034,25588,26150,25025,24264,23512,25174,25314,24799,26244,24437,24057,0,0,0,0,0,0,25119,25031,22394,21397,16322,20277,28004,25453,24330,24647,23946,22761,27624,26903,24124,25366,23241,23490,28898,30690,28798,28005,27051,26510,11299,10022,9805,10270,9466,9132,11801,10373,9429,9855,9307,9307,11116,9906,9773,9816,9552,9803,10961,10183,7969,9655,9233,8985,11020,9108,7915,9476,9180,5220,14295,14239,14256,14355,13967,14217,13609,14253,15211,14539,13450,13029,12744,14473,13956,13082,12680,10379
GS24,1020,551,27353,26812,26018,25527,26618,26735,24881,24436,25066,23948,23272,22563,24062,24287,23749,25212,23476,23261,0,0,0,0,0,0,24096,24049,21498,20518,15658,19462,26848,24420,23383,23637,23166,21892,26523,25871,23109,24404,22330,22546,27736,29565,27759,26924,26043,25514,10848,9643,9378,9852,9085,8728,11346,9990,9046,9486,8910,8926,10628,9480,9392,9366,9156,9400,10534,9731,7661,9283,8863,8579,10633,8749,7588,9070,8823,5006,13740,13752,13703,13897,13454,13660,13132,13775,14657,14043,12932,12580,12295,13900,13428,12644,12234,9950
GS24,1020,552,26575,25993,25160,24644,25807,25764,24251,23746,24365,23301,22557,21815,23386,23583,23088,24467,22775,22501,0,0,0,0,0,0,23398,23394,20847,19889,15200,18777,26116,23743,22753,23010,22417,21339,25723,25201,22412,23776,21699,21868,26811,28658,26963,26160,25279,24774,10497,9346,9105,9524,8804,8471,11007,9647,8803,9178,8656,8668,10364,9222,9142,9124,8905,9119,10226,9437,7430,8980,8629,8379,10347,8472,7367,8828,8551,4834,13310,13291,13288,13388,13047,13249,12730,13318,14200,13590,12543,12225,11887,13587,13039,12234,11897,9630
GS24,1020,553,25747,25233,24446,23971,25053,25131,23461,22973,23538,22567,21819,21174,22755,22841,22429,23817,22042,21837,0,0,0,0,0,0,22615,22463,20123,19149,14614,18067,25242,22943,21993,22302,21768,20695,24879,24363,21702,22957,20956,21180,26016,27886,26155,25392,24522,24018,10136,8983,8759,9175,8450,8137,10574,9262,8409,8846,8309,8340,9948,8921,8784,8793,8552,8803,9898,9136,7131,8643,8316,8059,9912,8124,7087,8501,8240,4668,12964,12920,12891,13046,12623,12877,12333,13004,13744,13214,12133,11839,11554,13090,12658,11868,11513,9326
GS24,1020,554,25297,24812,24041,23502,24490,24648,23058,22625,23168,22096,21429,20797,22381,22554,22041,23377,21798,21432,0,0,0,0,0,0,22237,22176,19813,18876,14386,17796,24879,22599,21626,21932,21480,20360,24424,23900,21354,22572,20577,20723,25593,27325,25721,24941,24124,23629,9965,8870,8630,9039,8380,8046,10473,9178,8308,8753,8194,8213,9793,8757,8639,8672,8472,8684,9736,8986,7033,8487,8194,7909,9747,8054,6985,8351,8082,4587,12671,12649,12612,12804,12434,12587,12180,12756,13512,12939,11955,11637,11338,12852,12407,11662,11282,9147
GS24,1020,555,24412,23902,23139,22682,23677,23687,22246,21827,22317,21317,20711,20023,21564,21697,21202,22612,21011,20718,0,0,0,0,0,0,21445,21418,19122,18226,13831,17163,24012,21867,20935,21255,20710,19689,23612,23041,20532,21744,19847,19985,24684,26358,24801,24087,23270,22792,9675,8570,8358,8751,8089,7762,10095,8901,8081,8450,7960,7906,9479,8462,8370,8383,8167,8408,9395,8663,6834,8257,7893,7650,9442,7803,6780,8105,7823,4457,12228,12266,12221,12330,12038,12181,11679,12238,13036,12458,11542,11138,10945,12350,11951,11197,10849,8815
GS24,1020,556,23712,23266,22549,22041,22991,23096,21660,21202,21640,20728,20107,19493,20935,21112,20658,22005,20461,20176,0,0,0,0,0,0,20811,20765,18550,17648,13447,16712,23333,21236,20390,20627,20174,19225,22938,22393,19991,21103,19369,19432,24097,25675,24183,23426,22719,22198,9442,8346,8114,8513,7846,7479,9804,8613,7818,8204,7728,7712,9248,8227,8151,8143,7981,8146,9162,8435,6657,8028,7707,7445,9209,7598,6607,7904,7588,4327,11918,11905,11898,12025,11707,11884,11361,11887,12671,12094,11186,10837,10613,12026,11597,10909,10579,8514
GS24,1020,557,23035,22592,21927,21340,22323,22447,21022,20527,21032,20084,19482,18838,20395,20491,20044,21330,19881,19634,0,0,0,0,0,0,20268,20189,18098,17177,13062,16189,22685,20628,19842,20073,19583,18749,22285,21753,19406,20531,18726,18874,23370,24981,23415,22749,21973,21552,9143,8096,7891,8274,7612,7337,9553,8384,7590,7958,7486,7509,9014,8021,7918,7938,7736,7904,8899,8187,6448,7776,7494,7212,8960,7389,6411,7673,7394,4229,11549,11564,11531,11664,11349,11536,10914,11437,12144,11590,10709,10418,10198,11563,11129,10444,10077,8210
GS24,1020,558,22201,21757,21073,20594,21536,21602,20239,19795,20221,19340,18739,18172,19656,19734,19345,20562,19157,18902,0,0,0,0,0,0,19535,19442,17372,16496,12554,15533,21800,19899,19052,19352,18937,18064,21484,20987,18703,19723,17986,18159,22538,24028,22644,22011,21233,20740,8739,7727,7572,7915,7337,7010,9176,8056,7308,7641,7199,7200,8688,7700,7600,7628,7438,7596,8545,7885,6216,7487,7196,6941,8589,7003,6157,7346,7072,4045,11132,11127,11157,11215,10949,11058,10554,11114,11758,11263,10393,10074,9919,11191,10799,10113,9815,7976
GS24,1020,559,21460,21130,20377,19974,20902,20972,19628,19191,19592,18770,18164,17584,19033,19158,18768,20030,18516,18350,0,0,0,0,0,0,18923,18886,16893,16040,12225,15090,21188,19325,18533,18776,18354,17474,20885,20322,18094,19126,17501,17622,21854,23420,21948,21362,20592,20184,8462,7559,7300,7624,7059,6767,8848,7762,7036,7399,6976,6997,8325,7463,7355,7364,7173,7311,8295,7594,5994,7209,6952,6709,8276,6833,5924,7106,6852,3896,10862,10802,10826,10916,10605,10807,10298,10771,11424,10930,10084,9789,9608,10908,10450,9830,9500,7730
GS24,1020,560,20569,20129,19591,19079,19990,20011,18735,18373,18752,17897,17361,16814,18204,18318,17913,19149,17806,17533,0,0,0,0,0,0,18155,18052,16122,15290,11670,14457,20250,18461,17715,18039,17546,16739,19909,19411,17348,18355,16737,16818,20870,22321,21054,20394,19647,19282,8084,7172,6967,7287,6779,6479,8480,7431,6776,7067,6639,6651,8016,7119,7051,7016,6891,7022,7892,7301,5734,6895,6631,6391,7908,6510,5677,6802,6591,3745,10325,10325,10325,10479,10168,10320,9822,10245,10959,10468,9651,9369,9183,10410,10051,9444,9117,7375
GS24,1020,561,19766,19402,18741,18293,19190,19224,17984,17631,18032,17207,16618,16174,17492,17637,17212,18345,17085,16860,0,0,0,0,0,0,17388,17351,15489,14692,11156,13892,19441,17770,16980,17312,16907,16118,19179,18669,16661,17526,16011,16219,20102,21477,20164,19623,18905,18516,7848,6926,6729,7090,6521,6248,8168,7150,6510,6822,6405,6416,7722,6857,6772,6787,6651,6763,7607,7056,5521,6646,6367,6207,7658,6306,5471,6546,6360,3590,9955,9984,9921,10006,9737,9910,9464,9925,10541,10085,9279,8994,8875,10041,9680,9063,8760,7111
GS24,1020,562,19029,18727,18155,17698,18550,18578,17439,16950,17401,16633,16138,15621,16889,16987,16654,17747,16564,16300,0,0,0,0,0,0,16800,16755,14974,14250,10786,13387,18827,17151,16468,16726,16401,15630,18511,18079,16031,17029,15452,15674,19414,20775,19493,18993,18306,17901,7548,6695,6508,6824,6320,6072,7916,6947,6306,6611,6215,6221,7480,6666,6546,6575,6417,6574,7391,6817,5348,6464,6197,6002,7436,6105,5309,6356,6111,3496,9631,9614,9593,9730,9467,9621,9145,9598,10247,9739,8948,8679,8579,9703,9379,8745,8488,6899
GS24,1020,563,18212,17843,17255,16858,17635,17739,16675,16282,16568,15846,15348,14879,16143,16240,15931,16931,15736,15592,0,0,0,0,0,0,16035,15961,14317,13568,10336,12755,17930,16368,15711,15976,15601,14912,17647,17263,15338,16218,14748,14901,18497,19802,18611,18082,17491,17114,7187,6370,6200,6508,5996,5748,7531,6574,5988,6251,5919,5922,7116,6282,6216,6267,6097,6267,7018,6476,5089,6116,5887,5760,7073,5798,5039,6043,5820,3321,9151,9164,9152,9268,9023,9177,8739,9139,9695,9349,8589,8322,8215,9252,8930,8347,8112,6537
GS24,1020,564,17666,17267,16834,16454,17125,17186,16191,15741,16138,15423,14919,14423,15646,15741,15507,16476,15297,15094,0,0,0,0,0,0,15664,15577,13914,13197,10015,12444,17421,15833,15257,15472,15160,14458,17142,16709,14849,15719,14355,14475,17992,19277,18060,17535,16969,16631,6938,6186,5996,6296,5805,5573,7304,6350,5794,6060,5726,5706,6859,6124,6043,6071,5902,6012,6791,6250,4916,5913,5698,5511,6828,5607,4867,5848,5628,3210,8878,8928,8932,9010,8792,8936,8496,8895,9401,9036,8289,8035,7922,8989,8624,8111,7856,6388
GS24,1020,565,16873,16527,16009,15629,16415,16415,15384,15117,15414,14690,14246,13814,14966,15123,14772,15730,14651,14441,0,0,0,0,0,0,14935,14906,13271,12578,9593,11924,16661,15145,14566,14846,14477,13793,16436,16007,14213,15006,13711,13824,17273,18349,17324,16822,16257,15940,6626,5898,5744,6017,5548,5332,6987,6085,5574,5789,5485,5461,6549,5845,5782,5819,5636,5802,6474,6001,4688,5669,5465,5309,6510,5376,4636,5580,5404,3074,8561,8533,8526,8614,8378,8524,8152,8512,9035,8692,7995,7727,7634,8626,8295,7761,7551,6125
