,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
FUS,1020,497,17690,11208,11340,16742,11257,16831,18721,16420,16849,15919,17049,9124,18443,21300,11705,14206,13412,12757
FUS,1020,498,18234,11543,11687,17217,11608,17373,19065,16729,17190,16366,17463,9400,18797,21740,11926,14598,13822,13208
FUS,1020,499,19179,12170,12295,18031,12247,18214,19884,17399,17923,16974,18296,9879,19556,22526,12452,15205,14451,13878
FUS,1020,500,19796,12628,12761,18691,12656,18809,20314,17803,18350,17536,18777,10158,19971,23078,12726,15624,14843,14428
FUS,1020,501,20630,13138,13293,19421,13199,19591,20838,18323,18885,18021,19478,10619,20405,23575,13143,16209,15407,15002
FUS,1020,502,22006,14030,14171,20706,14116,20794,21950,19094,19951,19115,20669,11370,21404,24752,13841,17115,16396,16057
FUS,1020,503,22758,14554,14751,21584,14625,21571,22493,19617,20526,19658,21368,11833,22011,25393,14260,17691,16988,16750
FUS,1020,504,24129,15390,15617,22786,15467,22857,23423,20498,21400,20742,22483,12517,22896,26333,14894,18561,17876,17812
FUS,1020,505,25344,16235,16407,23879,16274,24001,24390,21293,22336,21571,23661,13201,23677,27446,15553,19506,18799,18865
FUS,1020,506,26496,17041,17244,25171,17158,25150,25300,22090,23264,22572,24754,13940,24566,28587,16211,20374,19777,19987
FUS,1020,507,27986,17998,18198,26523,18084,26605,26294,22956,24278,23595,26137,14738,25549,29810,16996,21353,20802,21217
FUS,1020,508,29413,19038,19256,27989,19055,27922,27593,24067,25435,24909,27555,15659,26657,31126,17826,22517,21943,22450
FUS,1020,509,30865,19903,20210,29322,20091,29298,28661,25023,26556,26005,28956,16462,27722,32360,18551,23619,23102,23795
FUS,1020,510,31940,20639,20904,30373,20834,30256,29475,25646,27372,26841,29993,17118,28363,33261,19198,24340,24040,24813
FUS,1020,511,33128,21398,21633,31553,21519,31348,30322,26362,28303,27784,31189,17884,29307,34298,19841,25361,24977,25916
FUS,1020,512,34620,22399,22688,32988,22514,32737,31546,27427,29517,29066,32604,18839,30366,35635,20674,26430,26137,27246
FUS,1020,513,35310,22800,23123,33634,22956,33307,32108,27899,30006,29634,33344,19342,30779,36251,20993,26973,26746,28063
FUS,1020,514,35846,23264,23562,34149,23334,34024,32534,28285,30550,30186,34215,19711,31197,36895,21456,27569,27395,28755
FUS,1020,515,36267,23416,23783,34571,23562,34308,32704,28491,30885,30452,34520,19991,31408,37221,21716,27893,27812,29289
FUS,1020,516,36504,23570,23915,34701,23683,34571,32959,28594,31112,30815,34895,20181,31675,37560,21829,28183,28047,29640
FUS,1020,517,36327,23440,23769,34588,23616,34394,32885,28451,31032,30669,34895,20206,31460,37360,21735,28153,28009,29595
FUS,1020,518,35848,23157,23510,34121,23344,33893,32392,28060,30668,30374,34619,20058,31138,36973,21554,27782,27727,29464
FUS,1020,519,35267,22869,23088,33549,22942,33412,31924,27679,30293,30020,34188,19743,30616,36533,21191,27490,27355,29152
FUS,1020,520,34308,22217,22467,32568,22306,32509,31123,26959,29464,29095,33229,19335,29784,35573,20725,26743,26674,28483
FUS,1020,521,33423,21621,21840,31629,21694,31510,30233,26195,28611,28445,32475,18788,28965,34602,20065,26005,26065,27646
FUS,1020,522,31916,20649,20948,30416,20720,30243,28990,25156,27510,27276,31205,18049,27839,33261,19306,24994,24992,26685
FUS,1020,523,30900,19888,20209,29343,20084,29153,28054,24217,26645,26439,30161,17458,26865,32155,18624,24202,24236,25781
FUS,1020,524,29386,18959,19264,27956,19118,27901,26725,23199,25421,25208,28842,16655,25657,30637,17725,23056,23114,24558
FUS,1020,525,27904,17917,18188,26439,18040,26416,25447,21925,24063,23856,27342,15748,24359,29137,16823,21885,21903,23291
FUS,1020,526,26471,17062,17281,25141,17254,25107,24192,20899,22891,22778,26007,14998,23174,27812,16074,20849,20814,22168
FUS,1020,527,25065,16208,16409,23866,16361,23904,22887,19860,21756,21504,24622,14144,22093,26457,15236,19785,19756,21023
FUS,1020,528,24316,15688,15839,23120,15816,23158,22253,19272,21049,20873,23805,13724,21391,25609,14799,19164,19129,20347
FUS,1020,529,23144,14936,15108,21978,15076,21988,21206,18333,20089,19852,22670,13128,20403,24391,14139,18261,18236,19413
FUS,1020,530,22617,14552,14814,21493,14692,21407,20773,17972,19552,19352,22080,12751,19913,23796,13775,17800,17728,18903
FUS,1020,531,21703,13965,14147,20562,14089,20600,19971,17310,18818,18592,21225,12170,19132,22944,13225,17053,17064,18125
FUS,1020,532,20971,13484,13676,19901,13643,19866,19269,16735,18194,17979,20508,11773,18519,22170,12795,16541,16456,17402
FUS,1020,533,20105,12983,13153,19111,13082,19086,18516,16020,17489,17238,19585,11308,17831,21309,12263,15844,15828,16725
FUS,1020,534,19397,12530,12633,18368,12553,18391,17902,15457,16822,16625,18853,10864,17227,20536,11842,15254,15194,16019
FUS,1020,535,18751,12125,12266,17795,12218,17839,17306,14986,16312,16132,18327,10500,16659,19957,11498,14799,14700,15494
FUS,1020,536,18345,11888,12006,17343,11967,17346,17027,14694,15926,15720,17828,10233,16339,19476,11191,14445,14329,15074
FUS,1020,537,17684,11404,11553,16687,11494,16707,16257,14141,15304,15089,17092,9841,15697,18651,10821,13867,13764,14458
FUS,1020,538,17133,10988,11165,16184,11100,16148,15834,13706,14890,14671,16578,9530,15212,18118,10439,13441,13337,14018
FUS,1020,539,16614,10649,10812,15647,10730,15567,15318,13253,14378,14142,15955,9189,14699,17552,10109,12966,12905,13525
FUS,1020,540,16166,10427,10590,15346,10509,15261,14983,12997,14096,13831,15631,8958,14374,17147,9852,12669,12538,13206
FUS,1020,541,15779,10166,10291,14866,10207,14887,14568,12638,13656,13423,15207,8692,14072,16686,9603,12327,12179,12825
FUS,1020,542,15266,9838,9949,14426,9925,14422,14098,12223,13280,12999,14658,8454,13633,16176,9303,11957,11832,12381
FUS,1020,543,14896,9586,9723,14040,9670,14054,13780,11930,12891,12669,14291,8244,13269,15782,9079,11608,11545,12107
FUS,1020,544,14340,9279,9370,13531,9330,13543,13294,11541,12416,12198,13807,7928,12796,15254,8755,11241,11099,11690
FUS,1020,545,13977,9020,9149,13177,9070,13238,12926,11210,12088,11861,13446,7747,12457,14788,8477,10945,10817,11366
FUS,1020,546,13502,8735,8837,12781,8786,12756,12469,10850,11739,11476,12977,7485,12031,14238,8193,10562,10446,11002
FUS,1020,547,13042,8441,8563,12316,8479,12327,12033,10422,11347,11030,12528,7217,11594,13708,7953,10152,10096,10619
FUS,1020,548,12595,8126,8279,11887,8181,11914,11598,10063,10917,10686,12093,6966,11148,13303,7659,9813,9734,10242
FUS,1020,549,12229,7954,8064,11526,7964,11572,11221,9787,10586,10352,11748,6787,10827,12924,7490,9548,9446,9934
FUS,1020,550,11922,7720,7819,11264,7763,11212,10936,9502,10315,10092,11425,6616,10535,12515,7260,9292,9175,9670
FUS,1020,551,11452,7434,7501,10768,7438,10779,10513,9143,9908,9702,10910,6351,10122,12020,6966,8932,8846,9307
FUS,1020,552,10969,7111,7185,10370,7145,10394,10090,8754,9512,9357,10533,6102,9749,11585,6678,8574,8521,8994
FUS,1020,553,10604,6858,7008,10016,6924,9977,9748,8437,9162,8983,10163,5911,9347,11146,6471,8259,8186,8666
FUS,1020,554,10472,6792,6854,9843,6796,9871,9588,8325,9044,8882,10039,5824,9219,10961,6372,8124,8105,8549
FUS,1020,555,10221,6632,6697,9627,6643,9659,9370,8118,8854,8672,9783,5683,8998,10726,6224,7992,7917,8366
FUS,1020,556,9853,6399,6479,9284,6422,9271,9035,7838,8556,8359,9469,5483,8721,10352,6071,7725,7688,8093
FUS,1020,557,9561,6247,6337,9027,6262,9066,8767,7615,8267,8146,9193,5366,8480,10021,5865,7495,7447,7831
FUS,1020,558,9331,6063,6165,8778,6081,8785,8533,7394,8034,7882,8929,5177,8204,9738,5696,7282,7225,7630
FUS,1020,559,8936,5793,5877,8421,5800,8390,8167,7091,7701,7589,8594,5004,7846,9343,5443,6973,6963,7324
FUS,1020,560,8630,5577,5685,8142,5661,8134,7891,6846,7418,7292,8277,4851,7597,9006,5264,6737,6712,7113
FUS,1020,561,8231,5314,5392,7726,5355,7769,7537,6543,7117,6985,7929,4614,7242,8631,5034,6449,6408,6798
FUS,1020,562,7945,5140,5241,7461,5206,7495,7260,6338,6894,6729,7660,4455,7022,8340,4873,6256,6189,6570
FUS,1020,563,7585,4928,4971,7156,4941,7157,6928,6047,6600,6486,7302,4257,6702,7948,4641,5964,5934,6258
FUS,1020,564,7296,4743,4772,6859,4752,6882,6694,5826,6348,6225,7047,4119,6425,7679,4506,5752,5698,6029
FUS,1020,565,6986,4564,4597,6594,4591,6624,6401,5586,6109,5984,6742,3953,6186,7395,4328,5504,5473,5830
FUS,1020,566,6762,4411,4466,6371,4433,6393,6222,5389,5900,5786,6537,3843,6027,7109,4161,5306,5313,5596
FUS,1020,567,6452,4193,4255,6057,4198,6077,5912,5169,5616,5491,6229,3637,5697,6803,3990,5044,5076,5330
FUS,1020,568,6197,4054,4114,5847,4050,5862,5742,4963,5392,5324,5977,3505,5511,6533,3818,4898,4893,5104
FUS,1020,569,5851,3799,3867,5466,3833,5521,5388,4688,5078,5016,5636,3307,5217,6229,3606,4615,4590,4857
