,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
FUS,1020,450,1202,1064,566,538,925,1228,1258,751,554,788,935,657,1183,946,947,334,777,543
FUS,1020,451,1492,1334,700,669,1148,1529,1552,921,697,989,1172,818,1474,1191,1178,417,969,670
FUS,1020,452,1858,1643,856,812,1418,1878,1922,1142,856,1218,1428,1012,1832,1450,1456,502,1195,822
FUS,1020,453,2281,1998,1048,1004,1735,2307,2363,1409,1052,1496,1771,1230,2238,1785,1766,607,1463,996
FUS,1020,454,2814,2476,1297,1232,2141,2818,2937,1735,1292,1852,2188,1519,2742,2199,2190,746,1802,1233
FUS,1020,455,3412,3028,1574,1495,2611,3441,3585,2121,1581,2248,2648,1857,3357,2674,2646,895,2188,1481
FUS,1020,456,4126,3659,1876,1805,3124,4142,4316,2549,1890,2723,3222,2229,4035,3214,3206,1093,2630,1784
FUS,1020,457,4921,4349,2238,2148,3737,4941,5132,3066,2263,3243,3837,2664,4819,3848,3830,1307,3151,2143
FUS,1020,458,5861,5176,2675,2547,4442,5892,6148,3640,2695,3851,4602,3165,5718,4566,4566,1528,3729,2532
FUS,1020,459,6919,6125,3160,3010,5235,6952,7287,4317,3206,4574,5440,3739,6784,5427,5413,1821,4403,2968
FUS,1020,460,8102,7122,3665,3511,6076,8056,8491,5026,3727,5324,6342,4352,7887,6330,6267,2123,5114,3488
FUS,1020,461,9215,8135,4204,4007,6928,9210,9727,5749,4259,6105,7253,5005,9016,7204,7199,2423,5897,3999
FUS,1020,462,10641,9402,4850,4610,8038,10568,11186,6652,4944,7048,8374,5774,10361,8267,8281,2772,6753,4537
FUS,1020,463,12116,10717,5534,5243,9113,12073,12828,7634,5656,8108,9599,6584,11925,9510,9484,3198,7744,5234
FUS,1020,464,13496,11879,6125,5803,10157,13353,14258,8481,6310,9001,10679,7353,13215,10560,10561,3558,8615,5754
FUS,1020,465,14857,13072,6764,6405,11178,14744,15710,9368,7008,10015,11830,8126,14568,11646,11647,3902,9548,6378
FUS,1020,466,16400,14381,7477,7096,12342,16182,17428,10375,7764,11052,13064,8966,16112,12931,12911,4353,10564,7058
FUS,1020,467,17654,15523,8029,7611,13216,17417,18770,11166,8380,11942,14082,9701,17324,13989,13950,4693,11342,7598
FUS,1020,468,18753,16493,8533,8068,14013,18476,19960,11953,8926,12725,15106,10379,18471,14895,14860,4989,12089,8122
FUS,1020,469,19899,17532,9073,8580,14845,19575,21201,12693,9536,13522,16017,10956,19682,15852,15859,5344,12886,8650
FUS,1020,470,20913,18384,9515,9010,15572,20614,22379,13412,10035,14338,16928,11575,20727,16635,16685,5611,13586,9100
FUS,1020,471,21425,18800,9750,9233,15991,21168,22968,13724,10339,14724,17394,11912,21254,17108,17147,5771,13896,9393
FUS,1020,472,21886,19194,9970,9418,16329,21546,23403,14099,10600,15059,17813,12201,21726,17536,17519,5912,14265,9603
FUS,1020,473,22527,19684,10249,9706,16804,22141,24142,14505,10913,15524,18371,12610,22361,18133,18131,6106,14752,9898
FUS,1020,474,22457,19675,10234,9683,16754,22106,24166,14544,10943,15590,18416,12600,22336,18077,18138,6129,14804,9897
FUS,1020,475,22730,19828,10360,9780,16894,22433,24457,14728,11079,15752,18671,12806,22693,18339,18342,6256,14990,10085
FUS,1020,476,22333,19611,10177,9665,16651,22059,24113,14522,10932,15528,18354,12648,22335,18027,18055,6161,14807,9918
FUS,1020,477,21995,19266,10087,9527,16412,21721,23774,14308,10798,15359,18113,12509,22047,17903,17887,6119,14595,9831
FUS,1020,478,21535,18962,9900,9350,16116,21381,23313,14061,10613,15068,17772,12310,21717,17545,17604,6007,14355,9675
FUS,1020,479,21083,18499,9672,9145,15809,20866,22802,13807,10399,14794,17472,12061,21264,17204,17276,5895,14096,9498
FUS,1020,480,20507,18025,9441,8975,15389,20359,22222,13456,10140,14374,16979,11742,20697,16759,16733,5743,13741,9218
FUS,1020,481,20205,17662,9310,8782,15104,20003,21834,13220,9994,14182,16719,11551,20286,16503,16529,5669,13546,9105
FUS,1020,482,19567,17183,9055,8564,14726,19394,21161,12844,9706,13737,16207,11254,19759,16016,16046,5527,13153,8885
FUS,1020,483,18952,16641,8765,8310,14217,18835,20560,12476,9412,13335,15678,10893,19141,15511,15542,5353,12762,8575
FUS,1020,484,18757,16520,8646,8242,14052,18606,20273,12288,9316,13127,15469,10758,18863,15316,15356,5305,12570,8496
FUS,1020,485,18112,15983,8433,8024,13640,18049,19707,11980,9024,12803,15073,10434,18356,14878,14885,5161,12280,8269
FUS,1020,486,17891,15769,8325,7903,13474,17844,19323,11782,8898,12569,14795,10305,18025,14678,14693,5092,12031,8150
FUS,1020,487,17687,15610,8250,7832,13350,17661,19067,11668,8811,12422,14569,10181,17832,14457,14525,5014,11886,8042
