,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,N/A,N/A,N/A,N/A,N/A,N/A,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS16,1020,526,54631,55449,58419,59916,55978,55052,56547,53300,54490,50735,47913,50745,61785,54995,54508,57780,60294,56282,0,0,0,0,0,0,53160,51327,47341,51276,45541,45093,53808,58836,56614,58060,54731,50471,53651,52781,64863,52048,51378,51242,60068,59274,62479,59891,60351,56636,20316,23487,25013,19435,22557,23558,22854,24188,18848,21989,21142,21363,25462,26077,27752,25061,24834,25044,24989,24691,27407,23615,23348,24037,24292,24806,24021,22816,22465,23112,31444,30387,32000,32351,29567,29837,33064,31799,32982,26606,26569,25816,27551,33278,30864,30604,29943,26245
GS16,1020,527,51745,52582,55550,56837,53076,52026,53664,50581,51752,48239,45644,48178,58629,52064,51687,54861,57163,53300,0,0,0,0,0,0,50476,48720,44873,48767,43151,42832,51137,55781,53625,54882,51735,47595,50744,50152,61462,49299,48836,48706,57053,56137,59307,56674,57235,53595,19275,22371,23800,18464,21533,22440,21719,23024,17915,20989,20156,20291,24126,24839,26349,23838,23521,23906,23776,23489,26037,22425,22261,22942,23028,23551,22874,21752,21351,22017,29996,28898,30426,30783,28085,28380,31335,30200,31183,25195,25212,24421,26186,31450,29271,29039,28453,24911
GS16,1020,528,50129,50945,53691,54938,51303,50481,52039,49046,50024,46722,44172,46821,56790,50361,50031,53145,55253,51580,0,0,0,0,0,0,48798,47153,43524,47326,41959,41574,49486,54191,51899,52949,50028,45922,49244,48530,59395,47747,47279,47158,55155,54471,57383,54851,55365,51750,18446,21428,22788,17650,20587,21438,20770,21956,17132,20027,19225,19409,23118,23697,25182,22775,22505,22739,22733,22422,24926,21480,21275,22013,22062,22569,21909,20799,20437,21087,28899,27985,29392,29731,27104,27372,30202,29074,30157,24362,24285,23600,25262,30380,28258,28014,27454,24079
GS16,1020,529,47878,48612,51244,52383,49128,48255,49661,46884,47919,44611,42160,44567,54230,48183,47813,50632,52847,49160,0,0,0,0,0,0,46797,45197,41767,45253,40105,39759,47096,51560,49407,50517,47593,43841,46903,46375,57081,45477,45155,44958,52662,51869,54752,52443,52963,49523,17748,20621,21951,16961,19828,20732,19973,21160,16475,19242,18593,18676,22282,22803,24309,21896,21690,21944,21838,21600,23971,20679,20475,21154,21233,21678,21094,20035,19666,20308,27763,26939,28257,28586,26006,26313,29153,28101,29270,23543,23463,22839,24431,29483,27351,27144,26701,23422
GS16,1020,530,46610,47372,49951,51088,47886,46934,48364,45591,46665,43518,41135,43480,52748,46860,46444,49277,51363,47746,0,0,0,0,0,0,45488,44145,40685,44143,39244,38902,45979,50194,48169,49205,46295,42620,45832,45193,55410,44471,44037,43906,51071,50562,53368,51002,51609,48240,17269,20073,21302,16553,19324,20208,19467,20659,16009,18719,18018,18208,21630,22276,23601,21314,21065,21378,21216,21052,23357,20177,19932,20535,20691,21086,20541,19434,19194,19797,26862,25997,27259,27589,25232,25469,28264,27378,28390,22900,22864,22198,23728,28647,26577,26471,25962,22715
GS16,1020,531,44574,45417,47820,49075,45722,45046,46359,43821,44889,41773,39466,41837,50643,45022,44563,47167,49135,45656,0,0,0,0,0,0,43632,42368,39128,42635,37762,37431,44186,48112,46107,47033,44250,40628,44052,43388,53336,42665,42309,42206,49047,48366,51213,48941,49443,46225,16553,19259,20550,15923,18535,19457,18639,19761,15444,18048,17359,17507,20754,21356,22669,20496,20274,20520,20400,20212,22433,19305,19216,19806,19792,20253,19700,18629,18426,18981,25923,25057,26317,26605,24338,24491,27181,26325,27295,22052,22045,21407,22803,27534,25673,25529,25028,21882
GS16,1020,532,43206,43920,46189,47302,44268,43403,44745,42354,43212,40410,38174,40463,48874,43431,42914,45537,47395,44045,0,0,0,0,0,0,42193,40931,37852,41107,36519,36284,42561,46405,44400,45347,42667,39036,42404,41897,51405,41227,40780,40757,47302,46596,49268,47083,47581,44780,16036,18630,19863,15377,18019,18878,18049,19117,14875,17407,16746,16899,20018,20622,21873,19840,19558,19825,19714,19539,21732,18717,18614,19113,19207,19583,19107,18126,17786,18354,24945,24157,25315,25792,23508,23704,26067,25174,26112,21137,21082,20518,21809,26384,24575,24374,24000,21103
GS16,1020,533,41400,42128,44479,45425,42526,41754,43034,40673,41543,38863,36661,38888,47056,41696,41166,43683,45461,42214,0,0,0,0,0,0,40554,39330,36397,39542,35182,34893,40890,44597,42677,43414,40781,37434,40761,40200,49247,39485,39090,39034,45295,44633,47234,45202,45701,42782,15406,17929,19065,14834,17363,18104,17347,18400,14302,16706,16067,16262,19287,19723,20997,18996,18806,19017,18960,18717,20871,18036,17884,18426,18439,18912,18197,17408,17086,17608,24052,23220,24541,24845,22613,22917,25254,24388,25267,20508,20465,19965,21164,25605,23882,23761,23347,20485
GS16,1020,534,39879,40545,42764,43583,40892,40108,41294,39029,40049,37370,35296,37470,45056,39957,39622,41943,43460,40508,0,0,0,0,0,0,38963,37781,34983,38020,33872,33618,39231,42837,40975,41764,39186,35933,39057,38577,47513,38071,37773,37673,43480,42860,45410,43473,43957,41189,14809,17204,18353,14242,16659,17412,16624,17668,13789,16106,15516,15624,18492,19070,20214,18234,18047,18331,18236,18018,20071,17291,17188,17692,17693,18109,17574,16732,16440,16930,23113,22359,23493,23840,21703,21961,24380,23535,24512,19846,19898,19299,20470,24829,23112,22942,22617,19894
GS16,1020,535,38593,39117,41318,42316,39654,38927,40023,37828,38778,36268,34261,36319,43664,38794,38397,40590,42338,39294,0,0,0,0,0,0,37822,36787,33975,37071,33018,32680,38191,41468,39658,40503,37949,34708,38058,37524,46099,36908,36607,36591,42241,41528,43938,42062,42455,39915,14364,16740,17789,13822,16136,16891,16134,17120,13308,15632,15021,15184,17945,18420,19639,17692,17482,17747,17647,17530,19459,16833,16636,17162,17178,17600,17056,16201,15970,16451,22362,21646,22749,23105,21164,21317,23593,22763,23685,19259,19198,18695,19782,23981,22343,22259,21893,19163
GS16,1020,536,37588,38266,40208,41159,38555,37878,38961,36793,37819,35235,33407,35373,42375,37610,37237,39166,40845,37950,0,0,0,0,0,0,36617,35686,32934,36073,32027,31794,37025,40225,38407,39054,36728,33492,36862,36401,44809,35880,35537,35517,40957,40344,42647,40718,41217,38772,13958,16239,17345,13466,15766,16460,15603,16618,12933,15189,14577,14714,17384,17826,19021,17140,17041,17180,17154,16994,18838,16284,16147,16682,16670,17038,16520,15743,15468,15960,21817,21133,22209,22446,20537,20800,22917,22166,23044,18675,18686,18217,19223,23345,21768,21687,21377,18780
GS16,1020,537,36043,36658,38592,39521,37025,36317,37394,35516,36318,33847,32057,34022,40898,36288,35782,37928,39367,36576,0,0,0,0,0,0,35331,34464,31837,34890,30897,30699,35513,38778,36985,37585,35269,32267,35500,35030,43089,34530,34269,34139,39294,38767,40844,39102,39500,37201,13356,15573,16635,12874,15148,15881,15043,15919,12430,14535,14011,14094,16777,17254,18231,16511,16405,16579,16536,16327,18209,15714,15529,16008,16049,16383,15917,15145,14824,15384,20913,20163,21211,21575,19676,19896,21946,21253,22160,17902,17933,17433,18433,22356,20872,20765,20451,18014
GS16,1020,538,34790,35411,37417,38304,35791,35177,36267,34319,35168,32882,31113,33009,39489,34961,34679,36493,38060,35223,0,0,0,0,0,0,34203,33325,30792,33701,29979,29663,34370,37403,35679,36265,33998,31112,34346,34002,41729,33421,33186,33156,38036,37376,39553,37869,38340,35987,12968,15129,16143,12522,14668,15380,14498,15477,12081,14082,13596,13693,16190,16612,17738,15951,15807,16063,15992,15817,17622,15190,15052,15524,15498,15818,15370,14703,14426,14847,20212,19561,20616,20832,19000,19236,21429,20755,21631,17525,17604,17098,17971,21887,20433,20336,20049,17639
GS16,1020,539,33571,34296,36054,36895,34629,33985,35078,33184,33954,31735,30052,31885,38215,33919,33474,35397,36723,33996,0,0,0,0,0,0,33099,32322,29843,32576,29022,28723,33228,36130,34531,35035,32814,29950,33263,32829,40382,32375,32095,32090,36732,36097,38272,36645,37005,34800,12505,14530,15526,12062,14135,14846,14049,14849,11632,13613,13097,13165,15617,16008,17097,15453,15255,15417,15432,15268,17027,14626,14522,14958,14857,15235,14906,14154,13904,14331,19597,18927,19888,20164,18347,18614,20634,19997,20904,16882,16945,16545,17363,21021,19727,19678,19460,17061
GS16,1020,540,32894,33467,35245,36109,33725,33135,34207,32395,33236,31059,29289,31185,37333,33126,32577,34512,35863,33275,0,0,0,0,0,0,32355,31474,29210,32005,28372,28194,32593,35330,33763,34204,32128,29276,32480,32100,39513,31651,31354,31348,35876,35358,37320,35662,36174,33971,12191,14216,15161,11781,13806,14398,13701,14536,11284,13286,12796,12826,15254,15634,16647,15054,14921,15103,15002,14922,16548,14320,14174,14567,14574,14856,14534,13793,13554,13997,19018,18360,19358,19588,17895,18129,20013,19419,20211,16377,16387,16026,16794,20506,19137,19058,18836,16558
GS16,1020,541,31899,32438,34280,35128,32779,32213,33266,31534,32297,30125,28566,30361,36264,32085,31618,33604,34725,32307,0,0,0,0,0,0,31449,30678,28419,31096,27639,27527,31635,34439,32728,33309,31081,28472,31716,31410,38522,30848,30602,30613,34984,34363,36200,34701,35235,33030,11899,13897,14811,11541,13452,14162,13388,14124,11080,12976,12475,12557,14862,15309,16229,14674,14535,14738,14710,14568,16210,13972,13874,14287,14278,14599,14170,13514,13217,13679,18742,18174,19075,19359,17594,17848,19438,18875,19610,15957,15952,15556,16372,19827,18617,18503,18222,16064
GS16,1020,542,30877,31514,33153,33927,31791,31184,32260,30421,31337,29195,27667,29465,35073,31035,30678,32466,33757,31214,0,0,0,0,0,0,30460,29696,27574,30020,26746,26613,30577,33246,31794,32260,30030,27479,30631,30248,37211,29783,29573,29518,33817,33282,35062,33608,33957,31922,11531,13406,14263,11095,13012,13664,12901,13722,10692,12546,12051,12133,14403,14792,15734,14184,14029,14264,14199,14046,15634,13486,13341,13818,13736,14085,13692,13047,12771,13184,17972,17414,18337,18545,16922,17113,18816,18225,19044,15442,15433,15119,15870,19252,17999,17925,17652,15599
GS16,1020,543,30097,30729,32245,32992,30898,30386,31380,29745,30461,28484,26981,28652,34114,30203,29870,31532,32776,30438,0,0,0,0,0,0,29639,28778,26748,29215,26045,25839,29732,32354,30824,31357,29230,26738,29691,29412,36160,29018,28808,28710,32836,32309,34020,32656,33016,30957,11208,13074,13957,10852,12718,13292,12587,13374,10399,12221,11763,11814,14025,14386,15316,13849,13709,13835,13859,13673,15292,13171,13076,13400,13417,13685,13324,12669,12465,12856,17594,17018,17922,18028,16525,16686,18537,17967,18717,15180,15255,14899,15574,18903,17705,17689,17429,15343
GS16,1020,544,28964,29576,31036,31933,29681,29267,30197,28692,29304,27465,25962,27538,32863,29166,28784,30451,31664,29223,0,0,0,0,0,0,28470,27907,25768,28109,25062,24891,28641,31156,29675,30217,28114,25696,28662,28380,34837,27984,27782,27691,31626,31087,32818,31512,31810,29766,10824,12625,13491,10478,12243,12826,12119,12871,10044,11738,11355,11414,13527,13844,14782,13337,13207,13395,13331,13222,14720,12691,12558,12951,12953,13248,12859,12219,11997,12397,17008,16501,17274,17555,15986,16154,17951,17398,18122,14695,14749,14427,15072,18276,17174,17105,16836,14832
GS16,1020,545,28211,28738,30229,31040,29019,28473,29444,27925,28550,26682,25217,26831,32068,28386,28044,29611,30779,28530,0,0,0,0,0,0,27735,26999,25056,27324,24379,24279,27825,30238,28939,29413,27440,25128,27915,27580,33919,27209,26939,26949,30754,30222,31959,30580,30869,29055,10538,12306,13063,10136,11901,12529,11816,12591,9778,11448,11028,11125,13155,13492,14412,13006,12872,12997,12993,12849,14304,12360,12191,12607,12619,12874,12477,11894,11703,12027,16543,16018,16857,17007,15507,15654,17352,16881,17587,14277,14241,13951,14612,17745,16621,16527,16340,14357
GS16,1020,546,27263,27779,29357,30020,28061,27633,28511,26974,27666,25821,24486,26043,30973,27500,27051,28640,29784,27611,0,0,0,0,0,0,26860,26194,24216,26449,23506,23408,26963,29275,28004,28381,26558,24287,27012,26712,32810,26312,26088,26022,29810,29240,30934,29581,29908,28155,10187,11854,12734,9855,11521,12048,11425,12134,9471,11092,10672,10714,12686,13022,13900,12557,12393,12597,12551,12423,13768,11961,11823,12187,12179,12473,12130,11424,11307,11660,16099,15540,16349,16482,15049,15229,16863,16337,17031,13804,13864,13451,14177,17145,16059,16027,15814,13896
GS16,1020,547,26300,26882,28255,28885,27030,26589,27514,25972,26649,24858,23598,25021,29846,26438,26156,27672,28807,26635,0,0,0,0,0,0,25793,25195,23359,25479,22679,22546,25991,28279,27033,27389,25523,23450,26017,25672,31592,25394,25156,25027,28675,28221,29871,28587,28870,27115,9826,11449,12253,9467,11119,11609,11023,11712,9125,10687,10308,10340,12294,12569,13440,12114,11994,12134,12086,11960,13310,11499,11427,11754,11754,11980,11684,11084,10898,11234,15430,14933,15690,15869,14471,14644,16246,15786,16440,13310,13344,12993,13653,16582,15506,15437,15245,13419
GS16,1020,548,25428,25922,27269,27933,26095,25685,26565,25102,25709,23964,22674,24176,28818,25456,25216,26697,27741,25717,0,0,0,0,0,0,24914,24302,22481,24490,21823,21749,25075,27283,26051,26430,24794,22656,25109,24793,30580,24469,24292,24225,27765,27300,28849,27556,27876,26125,9449,11013,11801,9136,10698,11204,10629,11237,8805,10282,9904,9914,11819,12123,12938,11644,11588,11667,11613,11545,12830,11103,11023,11329,11319,11584,11262,10672,10497,10826,14911,14455,15154,15318,13980,14117,15731,15246,15904,12917,12890,12559,13235,16040,14962,14931,14716,12993
GS16,1020,549,24670,25101,26474,27136,25448,24873,25765,24311,24914,23290,22093,23409,27934,24822,24446,25883,26980,24965,0,0,0,0,0,0,24189,23533,21836,23814,21152,21028,24359,26471,25286,25742,24083,21963,24304,24132,29628,23733,23587,23528,26945,26456,27944,26776,27124,25485,9102,10648,11298,8834,10332,10789,10237,10861,8455,9912,9596,9574,11430,11646,12436,11273,11171,11302,11195,11136,12382,10679,10584,10943,10858,11127,10823,10322,10094,10460,14465,14014,14715,14883,13573,13755,15215,14797,15428,12495,12521,12245,12750,15540,14497,14494,14284,12547
GS16,1020,550,23994,24449,25729,26404,24672,24233,25003,23630,24268,22621,21481,22818,27135,24119,23834,25124,26185,24378,0,0,0,0,0,0,23463,22820,21176,23138,20535,20425,23694,25810,24620,25063,23475,21431,23706,23357,28729,23097,22853,22857,26217,25800,27232,25994,26339,24728,8857,10328,10983,8559,9975,10456,9947,10476,8221,9620,9235,9305,11066,11347,12099,10906,10799,10948,10894,10802,12048,10360,10239,10602,10552,10784,10539,9973,9801,10142,13973,13475,14128,14351,13098,13226,14607,14141,14776,11947,11979,11714,12246,14872,13895,13820,13647,12005
GS16,1020,551,23055,23537,24767,25343,23688,23262,24093,22711,23265,21782,20641,21888,26097,23146,22961,24231,25236,23391,0,0,0,0,0,0,22565,21928,20374,22203,19728,19596,22754,24788,23740,24109,22605,20651,22769,22513,27685,22188,21998,21997,25237,24731,26200,25094,25365,23821,8531,9975,10604,8209,9585,10057,9582,10143,7914,9212,8939,8976,10645,10920,11647,10493,10391,10502,10472,10423,11533,10002,9882,10213,10217,10428,10128,9637,9444,9746,13409,12974,13635,13833,12588,12722,14057,13684,14198,11484,11527,11267,11790,14314,13358,13366,13124,11565
GS16,1020,552,22219,22587,23806,24373,22758,22411,23090,21865,22406,20915,19812,21054,25123,22347,22074,23322,24322,22563,0,0,0,0,0,0,21657,21128,19508,21264,18903,18808,21919,23825,22802,23159,21725,19922,21902,21686,26655,21364,21208,21153,24225,23872,25269,24093,24385,22920,8273,9617,10262,7962,9301,9713,9265,9872,7646,8968,8620,8693,10299,10646,11296,10173,10041,10220,10169,10083,11192,9611,9592,9893,9848,10102,9772,9319,9156,9411,13000,12581,13225,13405,12202,12323,13693,13321,13841,11219,11215,10967,11509,13987,13048,12992,12771,11211
GS16,1020,553,21367,21832,22975,23486,21895,21656,22337,21082,21558,20189,19164,20251,24201,21488,21252,22458,23489,21756,0,0,0,0,0,0,20957,20338,18814,20535,18234,18122,21093,23005,21977,22422,21002,19209,21036,20799,25663,20536,20428,20392,23382,23036,24301,23220,23513,22042,7956,9246,9892,7635,8947,9419,8920,9478,7386,8637,8341,8358,9935,10223,10876,9807,9695,9843,9813,9683,10748,9307,9233,9510,9498,9718,9408,8996,8855,9126,12676,12248,12876,13012,11837,11955,13349,12887,13424,10853,10874,10630,11201,13542,12614,12587,12400,10891
GS16,1020,554,21073,21528,22623,23180,21692,21330,21972,20776,21276,19871,18813,19996,23874,21156,20987,22154,23041,21428,0,0,0,0,0,0,20591,19982,18481,20202,17893,17764,20803,22668,21641,22031,20661,18945,20832,20574,25246,20218,20107,20167,23061,22748,24012,22978,23275,21761,7847,9108,9752,7555,8810,9196,8799,9310,7287,8523,8208,8241,9798,10111,10732,9684,9585,9711,9658,9544,10629,9184,9123,9374,9341,9596,9326,8827,8720,8996,12417,11963,12626,12810,11681,11782,13068,12647,13199,10668,10646,10350,10987,13296,12394,12332,12123,10676
GS16,1020,555,20601,21019,22143,22664,21207,20796,21466,20263,20783,19381,18288,19523,23364,20760,20507,21727,22649,20979,0,0,0,0,0,0,20199,19574,18059,19742,17482,17385,20371,22169,21224,21575,20281,18640,20309,20079,24642,19780,19649,19626,22513,22244,23461,22397,22700,21286,7611,8838,9426,7307,8536,8944,8538,9065,7056,8239,7967,7966,9457,9757,10406,9375,9300,9429,9355,9292,10296,8878,8807,9066,9102,9311,8987,8560,8396,8732,12000,11552,12218,12368,11275,11396,12637,12249,12708,10291,10268,10017,10558,12822,11924,11862,11664,10290
GS16,1020,556,19913,20300,21360,21874,20380,20115,20692,19552,20090,18745,17719,18872,22506,20039,19799,21050,21861,20313,0,0,0,0,0,0,19479,18952,17480,19100,16937,16831,19674,21525,20506,20875,19563,17956,19591,19399,23882,19133,18988,18971,21767,21446,22674,21753,21925,20584,7406,8592,9147,7095,8305,8719,8302,8815,6862,8028,7780,7806,9251,9526,10148,9130,9037,9173,9122,9011,10028,8644,8583,8840,8853,9048,8771,8333,8204,8454,11657,11302,11860,12039,10966,11095,12294,11891,12318,9970,10018,9711,10304,12424,11567,11588,11397,9999
GS16,1020,557,19353,19717,20782,21195,19898,19522,20141,19057,19475,18180,17203,18267,21928,19485,19234,20416,21290,19746,0,0,0,0,0,0,18892,18402,17009,18487,16401,16286,19163,20809,19959,20320,19043,17500,19074,18863,23151,18562,18397,18385,21210,20892,22084,21110,21320,20014,7205,8345,8905,6943,8059,8461,8087,8551,6671,7809,7541,7536,9001,9249,9796,8883,8754,8886,8852,8749,9708,8423,8326,8563,8601,8770,8544,8110,7989,8236,11343,10979,11546,11699,10680,10789,11813,11457,11888,9576,9598,9378,9904,11983,11122,11099,10925,9566
GS16,1020,558,18869,19182,20213,20606,19344,18988,19625,18474,18949,17763,16763,17781,21372,18978,18811,19889,20673,19186,0,0,0,0,0,0,18415,17870,16489,17944,15967,15844,18623,20313,19418,19792,18582,17107,18563,18350,22512,18087,17920,17911,20624,20319,21481,20557,20770,19379,6903,8066,8526,6629,7740,8095,7715,8198,6408,7505,7213,7248,8679,8856,9410,8514,8424,8549,8465,8413,9342,8075,7995,8276,8235,8459,8192,7799,7640,7907,10915,10581,11144,11205,10257,10407,11491,11077,11478,9322,9316,9045,9592,11615,10809,10719,10597,9335
GS16,1020,559,17999,18367,19319,19771,18489,18176,18738,17720,18124,16899,15977,17009,20373,18133,17938,19020,19817,18391,0,0,0,0,0,0,17634,17155,15814,17212,15269,15120,17809,19419,18607,18920,17745,16345,17741,17533,21539,17289,17112,17109,19740,19421,20573,19695,19858,18646,6677,7767,8278,6422,7492,7894,7489,7936,6187,7259,6996,7024,8359,8577,9124,8239,8170,8262,8229,8155,9022,7802,7750,7994,8011,8167,7942,7542,7408,7676,10611,10316,10850,10954,9971,10108,11109,10735,11206,9029,9049,8793,9306,11251,10529,10470,10240,9022
GS16,1020,560,17425,17760,18661,19154,17979,17598,18123,17162,17557,16403,15527,16419,19744,17541,17358,18427,19169,17801,0,0,0,0,0,0,17026,16553,15295,16632,14806,14665,17242,18789,17984,18331,17186,15893,17162,16948,20822,16702,16545,16493,19072,18761,19847,19051,19268,18108,6384,7421,7895,6135,7155,7532,7178,7566,5924,6928,6709,6698,8008,8165,8751,7875,7784,7894,7887,7792,8649,7440,7392,7640,7678,7838,7587,7197,7096,7328,10164,9829,10316,10415,9535,9671,10651,10335,10734,8654,8695,8448,8917,10780,10074,9990,9830,8621
GS16,1020,561,16547,16930,17839,18280,17048,16810,17341,16276,16715,15632,14760,15695,18841,16716,16637,17617,18295,17016,0,0,0,0,0,0,16266,15807,14625,15912,14137,14022,16435,17933,17115,17500,16474,15144,16366,16163,19869,15906,15799,15749,18189,17943,18958,18156,18359,17255,6185,7165,7636,5931,6890,7263,6918,7317,5716,6703,6430,6462,7681,7880,8428,7593,7537,7600,7575,7504,8335,7223,7124,7381,7390,7567,7314,6957,6848,7038,9771,9445,9918,10047,9160,9278,10226,9937,10285,8321,8356,8123,8611,10402,9720,9647,9509,8320
GS16,1020,562,16081,16332,17262,17632,16555,16229,16716,15788,16139,15099,14317,15191,18316,16243,16024,17028,17743,16474,0,0,0,0,0,0,15724,15320,14132,15457,13607,13536,15886,17379,16608,16976,15919,14634,15892,15743,19240,15436,15285,15291,17656,17435,18343,17547,17743,16709,5917,6901,7383,5712,6671,6980,6704,7092,5535,6453,6199,6277,7461,7640,8133,7347,7265,7386,7338,7261,8120,6948,6914,7131,7129,7276,7110,6712,6607,6811,9414,9156,9574,9730,8895,8975,9944,9550,9961,8058,8028,7821,8305,10027,9374,9326,9144,8030
GS16,1020,563,15344,15594,16465,16896,15776,15505,15923,15044,15433,14419,13603,14457,17408,15486,15307,16196,16901,15665,0,0,0,0,0,0,15075,14609,13423,14725,13040,12921,15219,16550,15860,16163,15146,13940,15102,14939,18374,14769,14583,14538,16791,16662,17537,16826,17016,15882,5679,6579,7009,5473,6369,6703,6374,6779,5288,6180,5964,5969,7112,7262,7735,6985,6925,7010,6997,6912,7666,6665,6593,6776,6803,6956,6759,6406,6301,6478,8987,8710,9124,9259,8490,8572,9512,9144,9485,7685,7682,7492,7957,9549,8973,8867,8752,7701
GS16,1020,564,14813,15056,15843,16221,15177,14936,15349,14550,14833,13903,13117,13973,16792,14909,14757,15640,16295,15191,0,0,0,0,0,0,14559,14130,13022,14184,12603,12508,14691,16033,15311,15598,14601,13501,14622,14450,17770,14223,14060,14110,16271,16076,16925,16240,16406,15365,5494,6349,6753,5290,6161,6465,6158,6511,5100,5956,5726,5738,6852,7026,7476,6769,6661,6757,6763,6652,7412,6435,6334,6540,6622,6708,6552,6180,6103,6275,8778,8458,8917,8967,8234,8327,9176,8896,9227,7443,7479,7279,7724,9324,8678,8632,8474,7434
GS16,1020,565,14111,14448,15210,15598,14575,14310,14768,13898,14266,13294,12590,13392,16100,14287,14140,14970,15633,14486,0,0,0,0,0,0,13887,13480,12507,13614,12080,11972,14052,15291,14712,14921,14103,12875,13962,13800,16990,13644,13567,13513,15641,15445,16225,15554,15719,14752,5220,6078,6442,5006,5870,6173,5867,6266,4867,5689,5481,5507,6566,6752,7156,6470,6385,6502,6464,6401,7077,6113,6086,6282,6312,6433,6227,5936,5833,5996,8372,8096,8492,8625,7860,7953,8828,8489,8808,7162,7165,6952,7384,8920,8335,8263,8172,7133
GS16,1020,566,13677,13963,14681,15006,14091,13839,14180,13467,13822,12882,12143,12898,15608,13793,13633,14504,15100,14062,0,0,0,0,0,0,13490,13108,12068,13227,11699,11610,13645,14858,14206,14492,13592,12434,13531,13399,16484,13265,13087,13070,15162,14872,15719,15053,15198,14316,5029,5847,6244,4823,5630,5941,5636,5999,4660,5468,5287,5307,6319,6484,6879,6185,6147,6268,6194,6138,6851,5886,5835,6052,6038,6208,5964,5691,5550,5798,7961,7742,8118,8255,7492,7569,8415,8137,8421,6847,6832,6644,7042,8501,7932,7904,7766,6851
GS16,1020,567,13030,13269,14000,14297,13407,13091,13606,12807,13090,12241,11574,12316,14832,13164,12990,13751,14370,13323,0,0,0,0,0,0,12856,12448,11504,12541,11174,11014,12903,14139,13476,13760,12911,11871,12883,12711,15656,12597,12424,12412,14374,14139,14947,14323,14443,13538,4818,5624,5996,4655,5450,5709,5460,5780,4490,5237,5073,5111,6069,6254,6633,5967,5912,6025,5943,5913,6556,5674,5609,5799,5838,5935,5743,5501,5392,5545,7711,7446,7810,7885,7209,7309,8056,7764,8084,6540,6574,6351,6785,8165,7652,7592,7472,6594
GS16,1020,568,12556,12765,13511,13770,12898,12720,13087,12326,12682,11824,11167,11900,14273,12694,12559,13279,13840,12874,0,0,0,0,0,0,12402,12022,11095,12097,10762,10657,12533,13554,12965,13296,12461,11480,12455,12298,15096,12050,11982,11954,13827,13621,14422,13804,13987,13091,4646,5396,5761,4464,5196,5458,5226,5509,4317,5071,4864,4905,5828,5974,6381,5714,5663,5779,5734,5684,6329,5452,5388,5575,5603,5716,5564,5260,5170,5362,7406,7171,7498,7587,6931,7047,7698,7434,7704,6228,6261,6139,6453,7812,7284,7242,7156,6252
