,,Well,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S2,1020,515,31510,30160,33453,21101,34001,30325,29453,29833,35919,22585,30167,29232,28603,29677,25955,27301,26743,28373
PUMA S2,1020,516,31791,30430,33743,21341,34275,30522,29816,30192,36527,22798,30440,29650,28914,29968,26254,27655,27062,28840
PUMA S2,1020,517,31600,30277,33438,21168,34133,30357,29711,30119,36378,22727,30460,29621,28791,29937,26179,27591,27035,28730
PUMA S2,1020,518,31456,30160,33472,21090,34106,30366,29739,30048,36422,22803,30552,29626,28863,29994,26250,27594,27059,28798
PUMA S2,1020,519,30712,29566,32716,20666,33205,29589,29176,29450,35608,22267,29813,29090,28240,29343,25667,27087,26546,28203
PUMA S2,1020,520,30195,28955,32110,20240,32557,29027,28611,29009,35187,21886,29452,28579,27949,28891,25316,26614,26139,27765
PUMA S2,1020,521,29261,28022,31047,19594,31561,28120,27825,28126,34106,21255,28451,27710,26972,28048,24610,25888,25314,26903
PUMA S2,1020,522,28050,26987,29809,18778,30286,27030,26702,27030,32753,20416,27374,26718,25968,26965,23600,24806,24381,25956
PUMA S2,1020,523,27123,26104,28849,18178,29171,26084,25866,26205,31760,19740,26513,25724,25133,26097,22860,24070,23569,25054
PUMA S2,1020,524,25692,24502,27154,17167,27567,24583,24445,24742,29984,18669,25025,24393,23710,24735,21634,22663,22304,23633
PUMA S2,1020,525,24451,23421,25992,16302,26399,23456,23325,23689,28686,17860,23935,23316,22705,23569,20668,21726,21361,22676
PUMA S2,1020,526,23113,22180,24526,15453,24984,22226,22064,22309,27081,16879,22576,22034,21441,22266,19546,20539,20140,21449
PUMA S2,1020,527,21973,21013,23257,14636,23604,21010,20959,21244,25793,16013,21497,20893,20388,21156,18581,19501,19116,20313
PUMA S2,1020,528,20945,20047,22067,13979,22483,20054,19927,20192,24635,15312,20464,19926,19494,20238,17663,18589,18226,19409
PUMA S2,1020,529,20144,19250,21281,13420,21651,19300,19196,19470,23622,14684,19656,19161,18737,19414,17008,17908,17536,18609
PUMA S2,1020,530,19488,18697,20722,13036,21037,18757,18621,18922,22971,14275,19066,18537,18171,18880,16478,17419,17029,18101
PUMA S2,1020,531,18743,17972,19866,12540,20214,17949,17863,18198,22028,13718,18368,17787,17503,18068,15821,16660,16312,17311
PUMA S2,1020,532,18131,17286,19196,12099,19472,17335,17291,17530,21205,13204,17731,17142,16846,17470,15348,16094,15826,16720
PUMA S2,1020,533,17349,16586,18389,11600,18677,16609,16552,16771,20359,12651,16946,16437,16170,16741,14678,15413,15117,16084
PUMA S2,1020,534,16631,15950,17634,11121,17931,15977,15895,16094,19579,12117,16318,15835,15475,16072,14039,14811,14493,15339
PUMA S2,1020,535,16181,15437,17096,10825,17422,15439,15455,15612,18952,11747,15823,15325,15024,15614,13619,14357,14014,14881
PUMA S2,1020,536,15670,14970,16612,10491,16843,15033,14973,15177,18390,11417,15315,14844,14573,15132,13184,13929,13587,14452
PUMA S2,1020,537,15089,14410,15916,10046,16167,14439,14342,14530,17662,10963,14613,14188,13991,14480,12690,13377,13081,13829
PUMA S2,1020,538,14544,13941,15397,9751,15694,13928,13886,14080,17009,10580,14150,13758,13553,14052,12268,12921,12588,13363
PUMA S2,1020,539,14049,13440,14821,9409,15064,13426,13368,13553,16349,10196,13608,13237,13019,13512,11784,12460,12093,12885
PUMA S2,1020,540,13701,13046,14473,9160,14698,13117,13023,13159,15934,9925,13266,12847,12684,13157,11490,12077,11781,12495
PUMA S2,1020,541,13352,12742,14047,8931,14325,12804,12666,12820,15557,9655,12947,12594,12374,12827,11185,11780,11529,12194
PUMA S2,1020,542,12878,12347,13638,8633,13951,12378,12273,12412,15063,9366,12548,12169,11964,12440,10846,11432,11121,11779
PUMA S2,1020,543,12595,12036,13376,8480,13577,12058,12003,12123,14681,9102,12195,11909,11672,12124,10583,11140,10866,11480
PUMA S2,1020,544,12196,11590,12838,8159,13133,11655,11558,11700,14113,8816,11792,11470,11276,11661,10204,10749,10482,11097
PUMA S2,1020,545,11808,11291,12522,7947,12739,11371,11217,11359,13784,8590,11480,11121,10922,11379,9923,10440,10225,10775
PUMA S2,1020,546,11453,10941,12074,7680,12305,10993,10874,10990,13265,8265,11073,10735,10573,10966,9607,10083,9889,10421
PUMA S2,1020,547,11123,10626,11696,7462,11916,10615,10502,10603,12848,8028,10681,10386,10228,10603,9269,9771,9527,10074
PUMA S2,1020,548,10718,10245,11276,7188,11533,10235,10139,10267,12415,7739,10312,10056,9897,10249,8957,9444,9208,9730
PUMA S2,1020,549,10346,9875,10939,6946,11160,9905,9786,9884,11973,7454,9954,9708,9496,9921,8688,9115,8851,9371
PUMA S2,1020,550,10024,9613,10606,6747,10758,9646,9507,9609,11681,7267,9703,9443,9242,9658,8407,8873,8650,9151
PUMA S2,1020,551,9686,9279,10250,6523,10439,9283,9178,9279,11291,7033,9371,9070,8894,9292,8060,8551,8363,8836
PUMA S2,1020,552,9401,9034,9941,6336,10157,9024,8913,9025,10877,6822,9125,8863,8684,9004,7903,8289,8101,8570
PUMA S2,1020,553,9060,8682,9576,6095,9801,8698,8601,8700,10566,6602,8750,8530,8398,8705,7642,8028,7845,8294
PUMA S2,1020,554,8959,8542,9473,6019,9670,8625,8477,8622,10429,6508,8714,8443,8287,8589,7542,7924,7744,8164
PUMA S2,1020,555,8675,8296,9208,5836,9381,8329,8258,8369,10152,6343,8461,8239,8048,8381,7330,7715,7496,8002
PUMA S2,1020,556,8484,8141,8952,5724,9151,8127,8055,8159,9897,6201,8275,7997,7901,8149,7102,7491,7353,7787
PUMA S2,1020,557,8267,7887,8723,5559,8854,7924,7856,7953,9587,5997,8016,7771,7632,7965,6916,7300,7143,7540
PUMA S2,1020,558,7950,7580,8401,5364,8535,7611,7566,7646,9216,5759,7686,7476,7352,7620,6649,7052,6880,7269
PUMA S2,1020,559,7726,7343,8141,5196,8289,7367,7343,7390,8971,5617,7490,7297,7121,7415,6445,6808,6714,7065
PUMA S2,1020,560,7348,7050,7757,4958,7883,7031,7000,7067,8588,5367,7138,6939,6802,7073,6190,6543,6360,6753
PUMA S2,1020,561,7102,6783,7486,4813,7643,6817,6778,6846,8308,5175,6896,6704,6601,6834,5990,6284,6177,6520
PUMA S2,1020,562,6873,6574,7246,4655,7407,6580,6536,6647,8039,5053,6679,6508,6368,6632,5796,6081,5970,6299
PUMA S2,1020,563,6546,6247,6882,4416,7033,6280,6233,6312,7600,4758,6336,6183,6067,6306,5480,5774,5697,6022
PUMA S2,1020,564,6320,6041,6676,4256,6786,6042,6035,6089,7400,4640,6155,6006,5889,6075,5331,5626,5522,5792
PUMA S2,1020,565,6036,5770,6371,4071,6502,5782,5745,5833,7067,4429,5886,5763,5623,5850,5113,5384,5265,5566
PUMA S2,1020,566,5807,5531,6114,3905,6240,5537,5533,5630,6790,4268,5632,5494,5408,5600,4918,5156,5048,5348
PUMA S2,1020,567,5576,5301,5900,3758,5970,5320,5319,5388,6505,4093,5435,5279,5195,5391,4696,4976,4833,5149
PUMA S2,1020,568,5345,5106,5639,3600,5721,5119,5106,5188,6265,3923,5222,5074,4991,5154,4521,4785,4680,4940
PUMA S2,1020,569,5054,4833,5329,3405,5408,4811,4785,4888,5897,3727,4953,4803,4729,4883,4266,4522,4394,4638
PUMA S2,1020,570,4826,4630,5118,3274,5226,4657,4621,4702,5667,3566,4757,4590,4534,4695,4104,4328,4253,4447
PUMA S2,1020,571,4624,4433,4870,3140,4947,4429,4423,4482,5407,3423,4523,4418,4317,4515,3917,4161,4037,4270
PUMA S2,1020,572,4456,4252,4687,3006,4766,4257,4249,4344,5211,3294,4348,4233,4146,4311,3795,3969,3892,4125
PUMA S2,1020,573,4226,4050,4481,2882,4537,4043,4061,4072,4981,3146,4140,4043,3948,4112,3597,3768,3698,3922
PUMA S2,1020,574,4062,3880,4264,2751,4343,3880,3870,3908,4760,3000,3967,3853,3784,3934,3410,3646,3530,3770
PUMA S2,1020,575,3938,3740,4151,2654,4203,3760,3737,3799,4586,2885,3852,3738,3662,3799,3304,3499,3423,3616
PUMA S2,1020,576,3779,3603,3992,2556,4045,3597,3603,3653,4440,2783,3678,3568,3522,3672,3209,3370,3296,3484
PUMA S2,1020,577,3584,3432,3750,2434,3833,3431,3419,3466,4200,2651,3517,3404,3342,3477,3047,3189,3123,3307
PUMA S2,1020,578,3420,3272,3604,2313,3669,3289,3278,3354,4017,2522,3367,3267,3228,3339,2910,3076,3001,3160
PUMA S2,1020,579,3217,3066,3383,2187,3425,3070,3108,3121,3752,2388,3133,3065,3017,3140,2743,2893,2811,2974
PUMA S2,1020,580,3092,2953,3247,2085,3310,2945,2924,3000,3623,2297,3023,2957,2899,3014,2637,2758,2701,2846
PUMA S2,1020,581,2878,2758,3044,1977,3082,2754,2776,2825,3405,2140,2834,2748,2699,2781,2467,2603,2535,2677
PUMA S2,1020,582,2799,2685,2969,1907,2987,2679,2703,2746,3311,2069,2746,2679,2636,2735,2396,2508,2448,2601
PUMA S2,1020,583,2683,2581,2811,1822,2885,2586,2572,2594,3169,1988,2623,2547,2496,2615,2276,2418,2345,2482
PUMA S2,1020,584,2604,2495,2737,1772,2802,2502,2501,2545,3061,1930,2549,2481,2421,2535,2215,2332,2281,2410
PUMA S2,1020,585,2506,2397,2626,1691,2678,2400,2392,2421,2953,1854,2445,2372,2331,2432,2133,2252,2181,2312
PUMA S2,1020,586,2423,2319,2534,1652,2621,2316,2306,2355,2844,1795,2370,2309,2274,2357,2071,2199,2129,2242
PUMA S2,1020,587,2342,2224,2453,1565,2490,2237,2224,2245,2707,1716,2274,2190,2161,2243,1979,2076,2038,2138
PUMA S2,1020,588,2254,2146,2387,1534,2398,2143,2143,2179,2631,1671,2203,2126,2095,2182,1927,2018,1973,2082
PUMA S2,1020,589,2181,2090,2300,1477,2343,2116,2087,2126,2556,1619,2130,2080,2052,2118,1859,1972,1922,2000
PUMA S2,1020,590,2115,2001,2225,1460,2244,2026,2002,2073,2474,1586,2066,2027,1977,2068,1819,1893,1849,1930
PUMA S2,1020,591,2057,1960,2162,1399,2205,1968,1967,2011,2405,1523,2014,1951,1927,1994,1737,1856,1800,1895
PUMA S2,1020,592,1999,1912,2104,1358,2128,1894,1899,1926,2324,1453,1947,1894,1857,1930,1699,1775,1727,1825
PUMA S2,1020,593,1937,1874,2055,1332,2090,1862,1850,1900,2287,1445,1921,1850,1836,1907,1670,1766,1712,1796
PUMA S2,1020,594,1891,1791,1996,1291,2031,1791,1800,1819,2204,1392,1837,1798,1756,1837,1586,1703,1635,1724
PUMA S2,1020,595,1825,1755,1912,1258,1962,1744,1751,1760,2136,1351,1776,1733,1714,1760,1549,1657,1596,1682
PUMA S2,1020,596,1770,1710,1868,1219,1910,1701,1705,1725,2082,1313,1721,1696,1665,1736,1496,1592,1549,1632
PUMA S2,1020,597,1732,1668,1813,1189,1838,1644,1627,1666,2016,1273,1657,1618,1620,1688,1460,1525,1495,1574
PUMA S2,1020,598,1648,1579,1761,1129,1798,1588,1590,1635,1952,1224,1620,1577,1559,1607,1423,1503,1453,1542
PUMA S2,1020,599,1588,1526,1667,1084,1699,1529,1511,1541,1849,1178,1556,1512,1484,1537,1379,1418,1386,1473
PUMA S2,1020,600,1554,1485,1613,1061,1653,1489,1493,1508,1786,1146,1512,1476,1444,1524,1341,1394,1356,1449
