,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
p53 NTAD,1020,494,22494,22729,22281,21810,21923,21372,23130,21363,21290,20358,17791,15502,23028,20624,20057,18126,18075,15474
p53 NTAD,1020,495,23052,23275,22795,22382,22541,21914,23680,21853,21776,20779,18265,15889,23563,21029,20510,18556,18549,15987
p53 NTAD,1020,496,23421,23669,23220,22756,22887,22276,23931,22138,22085,21073,18540,16274,23782,21228,20789,18890,18903,16193
p53 NTAD,1020,497,24039,24324,23844,23462,23450,22879,24476,22557,22571,21540,19003,16739,24349,21744,21331,19328,19386,16772
p53 NTAD,1020,498,24736,25053,24422,24082,24092,23509,25035,23164,23152,22229,19578,17248,24906,22182,21812,19854,19988,17281
p53 NTAD,1020,499,25771,26031,25513,25056,25166,24522,25888,23940,24005,23032,20400,18077,25901,23042,22723,20748,20857,18113
p53 NTAD,1020,500,26514,26764,26188,25749,25905,25286,26561,24611,24585,23661,21139,18789,26475,23645,23365,21381,21594,18861
p53 NTAD,1020,501,27385,27721,27127,26607,26733,26070,27245,25183,25386,24439,21877,19553,27237,24225,24046,22084,22426,19636
p53 NTAD,1020,502,28978,29301,28678,28143,28325,27616,28628,26509,26691,25872,23231,20791,28573,25555,25368,23489,23848,21003
p53 NTAD,1020,503,30008,30289,29574,29020,29260,28506,29392,27230,27535,26670,24150,21775,29316,26267,26166,24294,24769,21918
p53 NTAD,1020,504,31404,31686,31119,30634,30645,29894,30645,28425,28676,28033,25430,23068,30587,27446,27448,25613,26240,23282
p53 NTAD,1020,505,32776,33125,32535,31935,32134,31187,31897,29520,30003,29273,26779,24363,31797,28636,28752,26867,27656,24658
p53 NTAD,1020,506,34397,34702,34078,33490,33710,32791,33161,30744,31328,30662,28164,25799,33257,29824,30034,28198,29167,26076
p53 NTAD,1020,507,35870,36310,35580,34980,35211,34262,34441,32015,32626,32241,29745,27315,34601,31236,31502,29672,30712,27657
p53 NTAD,1020,508,37702,38223,37467,36716,37069,36048,36029,33535,34271,33996,31541,29046,36245,32621,33032,31388,32691,29534
p53 NTAD,1020,509,39413,39891,39085,38398,38720,37637,37568,34928,35811,35499,33130,30750,37666,34108,34734,33092,34369,31252
p53 NTAD,1020,510,40671,41135,40432,39717,40008,38830,38590,35886,36937,36873,34527,32158,38788,35126,35970,34337,35905,32729
p53 NTAD,1020,511,42137,42675,41764,41086,41429,40235,39852,37123,38337,38356,35874,33647,40018,36324,37227,35761,37421,34257
