,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS48,1020,497,26867,14627,24810,25002,28084,21855,24165,17329,24084,23976,15951,25162,27088,25076,24472,23075,26624,22131
GS48,1020,498,27429,14858,25466,25655,28627,22501,24653,17616,24711,24603,16315,25722,27414,25507,25069,23585,27173,22675
GS48,1020,499,28080,15141,26086,26359,29342,22993,24973,17932,25345,25200,16714,26298,28007,25964,25738,24122,27876,23371
GS48,1020,500,28841,15522,26938,27180,30125,23694,25570,18353,26142,25964,17165,27145,28577,26597,26551,24906,28636,24085
GS48,1020,501,29547,15723,27589,27879,30778,24288,25968,18673,26802,26682,17601,27897,29017,26944,27180,25546,29385,24766
GS48,1020,502,31065,16515,29026,29420,32302,25548,27152,19502,28111,28101,18514,29324,30192,28122,28600,26861,30842,26145
GS48,1020,503,31617,16742,29680,30129,32911,26059,27454,19760,28853,28755,18884,30000,30534,28424,29201,27416,31410,27018
GS48,1020,504,32686,17156,30735,31163,33936,27011,28056,20230,29910,29735,19494,31129,31354,29150,30267,28379,32626,27978
GS48,1020,505,34413,17963,32474,32951,35530,28450,29217,21123,31590,31373,20548,32799,32749,30466,31867,29931,34280,29683
GS48,1020,506,35243,18328,33345,33898,36472,29191,29701,21599,32469,32228,21075,33841,33229,31049,32751,30644,35208,30694
GS48,1020,507,36657,18939,34721,35283,37820,30382,30514,22211,33710,33468,21859,35301,34258,31959,33944,31867,36633,32095
GS48,1020,508,37806,19466,35936,36568,38969,31330,31394,22762,34811,34589,22620,36578,34997,32664,35184,32961,37889,33305
GS48,1020,509,39058,19994,37226,37907,40145,32346,32136,23382,36097,35883,23390,37951,35980,33641,36465,34076,39330,34910
GS48,1020,510,40316,20623,38610,39213,41494,33472,33060,24040,37311,37129,24153,39402,36883,34561,37742,35275,40674,36227
GS48,1020,511,41307,20982,39522,40321,42326,34270,33446,24454,38169,37978,24747,40449,37562,35082,38509,36217,41778,37431
GS48,1020,512,42396,21525,40675,41411,43508,35229,34195,24981,39387,39001,25436,41682,38348,35980,39723,37197,43032,38685
GS48,1020,513,42998,21769,41291,42097,44153,35804,34442,25236,39902,39789,25849,42603,38762,36392,40296,37710,43847,39538
GS48,1020,514,43220,21805,41481,42400,44252,35849,34498,25272,40193,39953,26104,42893,38846,36458,40393,37885,44163,39955
GS48,1020,515,43835,22116,42171,43095,44937,36423,34906,25567,40796,40512,26491,43696,39202,36938,41216,38633,45016,40850
GS48,1020,516,43463,21948,41819,42901,44577,36016,34500,25256,40530,40166,26286,43484,38804,36551,40838,38176,44777,40730
GS48,1020,517,43327,21829,41670,42548,44427,35897,34185,25099,40360,40084,26095,43375,38572,36391,40697,38114,44649,40722
GS48,1020,518,43078,21742,41393,42394,44164,35726,33960,24963,40073,39800,26026,43225,38362,36161,40516,37944,44602,40662
GS48,1020,519,41795,21183,40226,41339,42938,34701,32918,24197,38936,38682,25333,42233,37376,35228,39330,36846,43504,39561
GS48,1020,520,41262,21012,39632,40630,42244,34282,32499,23924,38344,38196,24995,41584,36809,34688,38760,36384,42888,39110
GS48,1020,521,39557,20089,38025,38939,40557,32726,31058,22842,36748,36492,23950,40112,35247,33220,37187,34762,41195,37566
GS48,1020,522,38343,19541,36725,37608,39245,31707,30178,22079,35682,35298,23202,38757,34103,32190,36002,33704,39923,36379
GS48,1020,523,36946,18913,35322,36229,37849,30540,29074,21354,34214,34128,22373,37421,32911,31002,34595,32458,38525,35104
GS48,1020,524,35038,18017,33553,34445,35887,29008,27622,20261,32625,32317,21246,35473,31271,29510,32912,30758,36548,33348
GS48,1020,525,33285,17247,31706,32617,34122,27569,26287,19272,30903,30602,20249,33678,29702,28039,31193,29190,34643,31580
GS48,1020,526,31804,16522,30429,31160,32546,26318,25154,18388,29435,29288,19260,32127,28460,26739,29743,27909,33176,30083
GS48,1020,527,30487,15915,29062,29726,31196,25162,24081,17579,28239,28058,18436,30723,27239,25616,28486,26757,31732,28908
GS48,1020,528,29412,15426,28136,28714,30066,24279,23284,17017,27213,27094,17768,29685,26300,24827,27522,25747,30627,27855
GS48,1020,529,28472,15030,27162,27766,29087,23485,22502,16500,26407,26156,17263,28694,25541,24005,26643,24923,29657,26871
GS48,1020,530,27513,14592,26254,26786,28059,22658,21800,15980,25454,25300,16652,27590,24591,23232,25755,24062,28565,25888
GS48,1020,531,26396,14145,25258,25754,27114,21847,21030,15363,24487,24351,16022,26593,23834,22332,24757,23216,27506,24922
GS48,1020,532,25489,13611,24291,24779,25992,20911,20196,14810,23578,23383,15424,25534,22883,21553,23784,22216,26387,23954
GS48,1020,533,24638,13225,23472,23942,25179,20233,19574,14355,22785,22609,14848,24667,22215,20850,22993,21542,25535,23100
GS48,1020,534,23884,12925,22651,23261,24421,19631,19042,13914,22031,21907,14385,23856,21520,20162,22301,20852,24719,22310
GS48,1020,535,23270,12691,22233,22719,23872,19162,18621,13619,21529,21390,14059,23297,21058,19805,21739,20361,24042,21700
GS48,1020,536,22775,12468,21730,22306,23395,18737,18192,13326,21140,20954,13832,22712,20699,19421,21293,19939,23619,21260
GS48,1020,537,21882,11987,20861,21256,22420,18026,17546,12831,20210,20070,13218,21865,19850,18624,20527,19193,22600,20371
GS48,1020,538,21249,11731,20294,20666,21773,17554,17073,12454,19662,19574,12844,21211,19294,18101,19915,18580,21987,19794
GS48,1020,539,20563,11429,19573,19977,21067,17021,16524,12063,19038,18843,12425,20447,18668,17540,19298,18018,21226,19080
GS48,1020,540,20060,11170,19114,19489,20581,16563,16072,11760,18499,18338,12113,19996,18212,17089,18744,17588,20684,18640
GS48,1020,541,19573,10960,18651,19056,20057,16173,15669,11485,18076,17952,11788,19431,17788,16708,18280,17134,20118,18147
GS48,1020,542,18745,10557,17852,18243,19260,15524,15093,11070,17337,17266,11350,18702,17081,15982,17520,16478,19377,17409
GS48,1020,543,18368,10350,17483,17918,18871,15214,14809,10817,17004,16846,11094,18313,16750,15640,17166,16109,18937,17048
GS48,1020,544,17943,10191,17115,17414,18401,14881,14459,10543,16623,16465,10855,17807,16371,15276,16788,15672,18534,16623
GS48,1020,545,17378,9922,16565,16973,17870,14407,14013,10255,16081,16022,10523,17248,15792,14768,16247,15213,17878,16112
GS48,1020,546,16948,9655,16116,16448,17350,13983,13621,9971,15624,15517,10263,16808,15328,14381,15823,14774,17374,15673
GS48,1020,547,16177,9295,15435,15773,16637,13412,13078,9591,15021,14917,9826,16094,14702,13820,15154,14205,16722,15056
GS48,1020,548,15657,9040,14938,15264,16122,12999,12584,9197,14531,14402,9493,15574,14216,13324,14630,13723,16164,14549
GS48,1020,549,15205,8822,14481,14743,15563,12602,12212,8938,14052,13917,9215,15079,13813,12871,14191,13354,15599,14070
GS48,1020,550,14577,8441,13864,14204,14955,12099,11715,8590,13467,13375,8854,14513,13202,12364,13635,12761,15022,13559
GS48,1020,551,13962,8105,13310,13579,14279,11604,11186,8199,12957,12839,8450,13933,12641,11880,13045,12166,14364,13003
GS48,1020,552,13453,7882,12861,13135,13793,11149,10773,7905,12435,12350,8189,13440,12191,11444,12652,11753,13893,12585
GS48,1020,553,13144,7702,12519,12811,13471,10904,10528,7746,12183,12089,8007,13111,11885,11186,12331,11514,13585,12310
GS48,1020,554,12900,7578,12283,12593,13211,10685,10277,7567,11900,11843,7826,12872,11681,10929,12064,11264,13333,12011
GS48,1020,555,12455,7389,11868,12150,12730,10289,9957,7302,11533,11468,7599,12453,11290,10585,11684,10917,12853,11606
GS48,1020,556,12098,7208,11540,11846,12459,10081,9695,7118,11260,11206,7402,12110,10946,10305,11330,10649,12496,11380
GS48,1020,557,11563,6965,11054,11337,11873,9611,9274,6793,10729,10726,7079,11614,10457,9875,10865,10179,12022,10864
GS48,1020,558,11233,6785,10754,11030,11576,9326,9005,6639,10460,10385,6848,11337,10173,9597,10593,9930,11660,10641
GS48,1020,559,10816,6554,10314,10578,11071,8950,8682,6321,10050,9924,6646,10832,9779,9177,10145,9488,11181,10179
GS48,1020,560,10426,6352,9923,10182,10645,8619,8354,6117,9689,9571,6352,10456,9432,8843,9760,9160,10819,9813
GS48,1020,561,10055,6202,9586,9839,10326,8345,8042,5934,9320,9252,6146,10076,9108,8550,9450,8812,10446,9471
GS48,1020,562,9629,5984,9212,9381,9868,8035,7699,5672,8951,8874,5887,9671,8739,8162,9031,8506,9995,9110
GS48,1020,563,9258,5764,8829,9041,9471,7701,7421,5462,8545,8538,5668,9288,8377,7877,8689,8144,9600,8718
GS48,1020,564,9019,5660,8595,8815,9218,7496,7221,5300,8343,8251,5511,9050,8165,7649,8439,7902,9328,8499
GS48,1020,565,8542,5390,8129,8322,8686,7100,6822,5049,7898,7877,5231,8579,7744,7270,7983,7529,8890,8056
GS48,1020,566,8216,5250,7863,8026,8386,6840,6595,4882,7653,7578,5065,8296,7445,7017,7732,7277,8541,7716
GS48,1020,567,7902,5073,7513,7715,8069,6548,6350,4682,7313,7267,4822,7962,7159,6718,7405,6929,8195,7419
GS48,1020,568,7533,4883,7192,7333,7702,6261,6038,4450,6981,6936,4639,7574,6852,6445,7063,6619,7823,7118
GS48,1020,569,7242,4689,6874,7028,7369,6024,5781,4257,6717,6641,4424,7231,6562,6174,6781,6329,7482,6792
GS48,1020,570,6917,4598,6625,6798,7088,5768,5560,4114,6430,6361,4245,6935,6299,5899,6550,6109,7189,6545
