,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,wt %,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA S2,1020,450,912,861,847,890,834,843,867,838,797,778,749,782,853,843,787,790,756,757
PUMA S2,1020,451,1124,1086,1057,1104,1028,1063,1071,1048,978,959,937,973,1053,1048,980,971,930,930
PUMA S2,1020,452,1389,1333,1293,1370,1257,1296,1326,1304,1204,1191,1152,1202,1294,1310,1216,1211,1149,1159
PUMA S2,1020,453,1707,1629,1572,1667,1549,1584,1629,1594,1471,1457,1415,1455,1599,1596,1475,1474,1401,1411
PUMA S2,1020,454,2094,1996,1935,2050,1907,1958,1996,1960,1825,1788,1740,1793,1958,1981,1810,1808,1733,1739
PUMA S2,1020,455,2555,2420,2352,2495,2324,2365,2433,2394,2227,2192,2123,2199,2410,2413,2221,2214,2087,2099
PUMA S2,1020,456,3065,2932,2830,3004,2773,2826,2928,2880,2669,2637,2554,2653,2870,2889,2675,2673,2547,2518
PUMA S2,1020,457,3642,3510,3384,3603,3315,3378,3503,3439,3212,3161,3061,3158,3445,3442,3199,3180,3035,2987
PUMA S2,1020,458,4316,4155,4017,4246,3946,4016,4159,4087,3784,3787,3654,3764,4051,4113,3799,3778,3596,3568
PUMA S2,1020,459,5112,4929,4741,5021,4674,4766,4906,4844,4513,4469,4334,4473,4802,4862,4508,4489,4275,4237
PUMA S2,1020,460,5947,5738,5545,5906,5425,5534,5744,5654,5249,5220,5085,5219,5614,5707,5270,5233,4974,4972
PUMA S2,1020,461,6809,6531,6337,6733,6216,6351,6576,6503,6034,5978,5805,6009,6432,6537,6046,6031,5721,5661
PUMA S2,1020,462,7739,7502,7240,7711,7098,7234,7508,7446,6902,6880,6647,6832,7381,7497,6942,6893,6562,6482
PUMA S2,1020,463,8876,8567,8280,8809,8106,8221,8582,8581,7940,7916,7657,7869,8392,8570,7965,7868,7495,7407
PUMA S2,1020,464,9851,9530,9227,9783,9021,9188,9547,9527,8877,8802,8528,8767,9407,9571,8878,8808,8379,8257
PUMA S2,1020,465,10868,10497,10197,10817,9990,10103,10555,10567,9814,9762,9413,9677,10343,10596,9832,9764,9244,9155
PUMA S2,1020,466,12033,11621,11254,11924,11017,11208,11742,11670,10928,10865,10502,10789,11504,11737,10903,10840,10304,10169
PUMA S2,1020,467,12992,12498,12097,12835,11874,11999,12619,12590,11765,11691,11302,11550,12343,12625,11706,11671,11082,10925
PUMA S2,1020,468,13725,13307,12922,13668,12588,12743,13417,13418,12522,12454,12010,12358,13126,13466,12433,12438,11851,11679
PUMA S2,1020,469,14694,14191,13744,14557,13418,13611,14341,14387,13421,13296,12824,13177,14072,14427,13372,13289,12613,12419
PUMA S2,1020,470,15327,14799,14332,15229,14033,14171,15007,14992,14026,13939,13468,13831,14674,15022,13958,13873,13237,13031
PUMA S2,1020,471,15748,15207,14671,15623,14419,14562,15440,15447,14461,14376,13874,14269,15107,15467,14427,14289,13644,13471
PUMA S2,1020,472,16114,15621,15074,16013,14783,14920,15789,15869,14838,14749,14266,14662,15478,15881,14790,14738,14058,13828
PUMA S2,1020,473,16447,15922,15425,16337,15072,15256,16171,16129,15141,15100,14594,14990,15818,16264,15093,15022,14327,14105
PUMA S2,1020,474,16602,16002,15507,16492,15105,15382,16300,16342,15312,15270,14741,15182,15909,16382,15232,15208,14455,14281
PUMA S2,1020,475,16634,16042,15563,16492,15239,15422,16389,16458,15393,15318,14833,15250,16037,16465,15307,15306,14533,14372
PUMA S2,1020,476,16388,15855,15329,16261,14969,15203,16136,16213,15215,15117,14685,15077,15776,16212,15132,15134,14350,14153
PUMA S2,1020,477,16298,15738,15172,16114,14943,15114,16033,16119,15091,15057,14558,15005,15749,16184,15006,14973,14291,14074
PUMA S2,1020,478,15939,15398,14887,15772,14528,14771,15691,15779,14787,14724,14275,14662,15484,15814,14665,14673,13945,13841
PUMA S2,1020,479,15630,15088,14541,15490,14317,14519,15410,15525,14516,14467,14033,14360,15140,15537,14468,14393,13727,13617
PUMA S2,1020,480,15274,14693,14215,15062,13894,14113,15040,15035,14137,14079,13653,14073,14712,15122,14093,14050,13406,13253
PUMA S2,1020,481,14904,14356,13841,14702,13624,13800,14691,14709,13761,13689,13336,13631,14327,14737,13748,13714,13069,12966
PUMA S2,1020,482,14580,14050,13547,14383,13338,13532,14407,14381,13488,13457,13018,13413,14091,14451,13444,13412,12807,12673
PUMA S2,1020,483,14077,13571,13100,13930,12895,13069,13908,13924,13040,12990,12604,12974,13667,13978,12992,12996,12396,12300
PUMA S2,1020,484,13887,13326,12901,13641,12693,12909,13696,13682,12819,12794,12366,12732,13401,13771,12769,12718,12164,12070
PUMA S2,1020,485,13606,13089,12644,13451,12448,12672,13396,13385,12543,12472,12153,12460,13093,13432,12509,12488,11958,11816
PUMA S2,1020,486,13335,12814,12390,13204,12217,12392,13105,13079,12262,12202,11828,12192,12859,13131,12188,12186,11650,11581
