,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
PUMA WT,1020,515,45243,43697,43002,43271,42243,41312,39171,37315,36799,36290,36512,35546,39392,37636,35301,36011,40577,32185
PUMA WT,1020,516,45605,44075,43286,43608,42407,41579,39430,37401,36982,36659,36812,35877,39588,37827,35645,36397,41127,32459
PUMA WT,1020,517,45939,44255,43491,43785,42749,41867,39658,37750,37288,36944,37110,36204,39879,38198,35838,36622,41564,32798
PUMA WT,1020,518,45950,44403,43598,43933,42944,42108,39889,37950,37473,37078,37422,36405,40074,38434,36068,37030,41980,33182
PUMA WT,1020,519,45177,43607,42812,43136,42061,41200,39188,37156,36771,36443,36688,35770,39306,37744,35475,36274,41309,32674
PUMA WT,1020,520,44633,43175,42365,42739,41715,40852,38767,36905,36416,36097,36349,35612,38940,37508,35137,36075,41162,32406
PUMA WT,1020,521,42920,41364,40529,41031,39830,39242,37322,35540,35072,34899,35055,34306,37482,36010,33793,34748,39564,31277
PUMA WT,1020,522,41628,40182,39348,39721,38760,38084,36119,34462,34134,33801,34079,33317,36421,34910,32889,33809,38600,30376
PUMA WT,1020,523,40109,38555,37953,38214,37254,36622,34883,33224,32905,32692,32865,32105,35093,33678,31757,32657,37153,29329
PUMA WT,1020,524,37977,36509,35890,36281,35315,34655,33136,31569,31196,30989,31195,30471,33281,31976,30081,30919,35264,27807
PUMA WT,1020,525,35938,34686,34045,34463,33489,32884,31438,29989,29715,29496,29551,28945,31641,30442,28652,29334,33488,26444
PUMA WT,1020,526,34071,32863,32318,32646,31772,31296,29908,28503,28175,27975,28147,27487,30102,28902,27201,27948,31778,25043
PUMA WT,1020,527,32462,31308,30770,31127,30297,29755,28513,27180,26901,26665,26813,26173,28696,27576,25961,26601,30347,23897
PUMA WT,1020,528,31183,30049,29532,29891,29103,28582,27408,26142,25867,25511,25834,25153,27513,26470,24946,25552,29016,22913
PUMA WT,1020,529,29923,28933,28384,28770,27941,27476,26393,25147,24860,24667,24776,24128,26498,25433,23906,24541,27879,21939
PUMA WT,1020,530,28798,27714,27236,27482,26759,26297,25334,24155,23933,23671,23845,23220,25518,24462,23031,23573,26823,21048
PUMA WT,1020,531,27460,26575,26032,26264,25667,25142,24250,23078,22915,22652,22694,22240,24393,23379,21980,22571,25568,20155
PUMA WT,1020,532,26259,25294,24930,25164,24441,24043,23197,22185,21882,21622,21720,21175,23338,22464,21067,21555,24527,19212
PUMA WT,1020,533,25212,24331,23889,24175,23483,23084,22294,21272,20991,20764,20865,20390,22442,21571,20236,20693,23448,18438
PUMA WT,1020,534,24246,23409,22928,23235,22629,22256,21536,20606,20252,20059,20115,19596,21649,20795,19506,19916,22718,17798
PUMA WT,1020,535,23530,22734,22330,22541,21880,21552,20810,19972,19702,19427,19500,19019,21002,20144,18887,19303,21845,17195
PUMA WT,1020,536,22931,22155,21709,21901,21376,21020,20341,19458,19149,18954,18966,18479,20416,19649,18359,18815,21342,16739
PUMA WT,1020,537,21913,21074,20729,20905,20384,20105,19395,18564,18268,18109,18108,17641,19492,18777,17532,17951,20368,16006
PUMA WT,1020,538,21207,20373,20080,20196,19729,19323,18776,17892,17672,17532,17487,17021,18869,18084,16949,17324,19627,15449
PUMA WT,1020,539,20387,19647,19282,19411,18969,18609,18041,17265,17037,16857,16856,16384,18107,17371,16340,16695,18933,14860
PUMA WT,1020,540,19727,19070,18680,18851,18365,18006,17531,16706,16483,16364,16344,15951,17626,16927,15861,16130,18354,14428
PUMA WT,1020,541,19217,18537,18208,18396,17900,17583,17048,16228,16002,15859,15855,15481,17117,16491,15402,15753,17813,14016
PUMA WT,1020,542,18410,17725,17431,17611,17085,16849,16357,15637,15395,15183,15203,14772,16434,15782,14693,15041,17085,13328
PUMA WT,1020,543,17938,17280,16983,17159,16774,16441,15960,15173,15011,14855,14818,14471,15993,15382,14426,14683,16638,13007
PUMA WT,1020,544,17515,16887,16563,16704,16326,16015,15507,14772,14616,14438,14460,14059,15622,15018,14048,14304,16144,12704
PUMA WT,1020,545,16997,16411,16102,16256,15853,15609,15104,14422,14242,14074,14018,13667,15201,14580,13656,13889,15654,12347
PUMA WT,1020,546,16601,15961,15726,15858,15418,15195,14673,14002,13817,13676,13652,13260,14753,14177,13266,13489,15256,11985
PUMA WT,1020,547,15936,15327,15111,15238,14844,14581,14116,13454,13247,13140,13084,12711,14169,13590,12707,12965,14690,11505
PUMA WT,1020,548,15388,14819,14548,14696,14312,14038,13621,12972,12793,12642,12657,12341,13657,13099,12282,12512,14180,11070
PUMA WT,1020,549,15001,14415,14194,14366,13962,13737,13247,12610,12453,12367,12331,11969,13328,12801,11978,12179,13805,10790
PUMA WT,1020,550,14446,13933,13646,13855,13441,13232,12739,12167,11950,11834,11865,11533,12763,12303,11483,11708,13296,10456
PUMA WT,1020,551,13833,13339,13113,13264,12910,12647,12212,11618,11472,11312,11419,11085,12280,11818,11058,11264,12772,10012
PUMA WT,1020,552,13479,12923,12725,12880,12514,12263,11835,11258,11137,10953,10969,10736,11883,11394,10693,10911,12354,9658
PUMA WT,1020,553,13185,12634,12465,12564,12244,12051,11627,10992,10844,10765,10787,10505,11666,11192,10445,10735,12116,9525
PUMA WT,1020,554,12947,12451,12242,12354,12040,11814,11399,10871,10680,10629,10603,10384,11429,10963,10253,10485,11912,9352
PUMA WT,1020,555,12468,12038,11885,12018,11724,11445,11034,10513,10390,10284,10322,10016,11128,10638,9968,10193,11570,9070
PUMA WT,1020,556,12236,11793,11597,11687,11446,11180,10780,10268,10167,10031,10058,9801,10818,10321,9730,9952,11278,8845
PUMA WT,1020,557,11702,11318,11161,11256,10949,10743,10362,9869,9736,9633,9642,9412,10461,9984,9357,9570,10862,8532
PUMA WT,1020,558,11419,11025,10859,10977,10724,10470,10102,9621,9490,9408,9423,9177,10126,9767,9117,9327,10572,8302
PUMA WT,1020,559,11046,10657,10465,10585,10279,10078,9717,9238,9147,9038,9094,8861,9815,9346,8813,8966,10211,7990
PUMA WT,1020,560,10628,10246,10029,10148,9861,9725,9374,8927,8814,8728,8736,8515,9434,9020,8448,8665,9823,7729
PUMA WT,1020,561,10279,9888,9738,9824,9550,9396,9043,8640,8530,8421,8451,8237,9096,8722,8207,8349,9491,7481
PUMA WT,1020,562,9846,9452,9290,9443,9163,8969,8650,8242,8186,8066,8146,7916,8733,8377,7852,8041,9136,7210
PUMA WT,1020,563,9405,9106,8927,9060,8780,8654,8350,7954,7850,7801,7820,7603,8392,8051,7538,7728,8812,6905
PUMA WT,1020,564,9186,8829,8705,8811,8576,8413,8136,7754,7666,7588,7594,7393,8147,7820,7326,7538,8566,6703
PUMA WT,1020,565,8708,8387,8204,8301,8120,7947,7678,7315,7275,7121,7152,6974,7735,7417,6939,7125,8111,6355
PUMA WT,1020,566,8379,8071,7917,7995,7780,7653,7404,7120,6978,6882,6927,6745,7432,7160,6685,6856,7800,6162
PUMA WT,1020,567,8030,7762,7573,7669,7471,7355,7120,6752,6675,6617,6616,6443,7138,6835,6414,6545,7500,5892
PUMA WT,1020,568,7640,7327,7212,7280,7131,6979,6789,6459,6403,6287,6290,6149,6804,6536,6128,6276,7124,5595
PUMA WT,1020,569,7295,7003,6871,6941,6767,6645,6473,6173,6086,6027,6059,5889,6475,6212,5871,5990,6775,5330
PUMA WT,1020,570,6961,6722,6596,6684,6470,6357,6180,5905,5851,5787,5783,5643,6231,5972,5589,5739,6495,5118
PUMA WT,1020,571,6666,6433,6312,6397,6212,6113,5936,5663,5578,5519,5545,5376,5969,5708,5363,5480,6209,4886
PUMA WT,1020,572,6421,6176,6067,6087,5946,5848,5716,5463,5367,5305,5317,5150,5727,5553,5148,5292,6008,4722
PUMA WT,1020,573,6146,5913,5757,5880,5692,5627,5455,5223,5148,5093,5103,4998,5470,5260,4926,5046,5723,4499
PUMA WT,1020,574,5872,5637,5527,5603,5466,5352,5238,4986,4935,4878,4875,4733,5224,5042,4728,4854,5512,4301
PUMA WT,1020,575,5599,5407,5293,5379,5222,5098,5044,4785,4718,4669,4682,4565,5035,4833,4532,4635,5239,4107
PUMA WT,1020,576,5314,5128,5067,5122,4973,4910,4774,4564,4513,4443,4453,4320,4791,4592,4300,4369,4962,3929
PUMA WT,1020,577,5097,4897,4831,4871,4748,4677,4537,4340,4301,4257,4242,4145,4567,4417,4127,4213,4760,3750
PUMA WT,1020,578,4886,4684,4620,4659,4530,4458,4359,4190,4129,4057,4085,3974,4389,4215,3952,4023,4589,3588
PUMA WT,1020,579,4575,4380,4328,4363,4240,4196,4102,3910,3884,3819,3801,3705,4110,3944,3707,3773,4279,3345
PUMA WT,1020,580,4400,4258,4144,4190,4067,3988,3924,3756,3719,3678,3686,3574,3927,3816,3577,3665,4120,3226
PUMA WT,1020,581,4091,3942,3927,3924,3815,3779,3707,3520,3488,3440,3426,3334,3698,3573,3324,3396,3842,2994
PUMA WT,1020,582,3980,3842,3758,3781,3703,3653,3586,3419,3387,3323,3358,3253,3603,3473,3251,3316,3734,2905
PUMA WT,1020,583,3818,3668,3633,3642,3560,3491,3436,3265,3239,3219,3179,3111,3449,3328,3117,3159,3566,2805
PUMA WT,1020,584,3669,3519,3458,3509,3400,3369,3303,3152,3111,3091,3083,2977,3339,3203,2994,3029,3431,2707
PUMA WT,1020,585,3507,3361,3278,3342,3272,3212,3143,3016,2969,2931,2926,2855,3160,3029,2841,2903,3278,2541
PUMA WT,1020,586,3401,3252,3190,3244,3134,3095,3049,2921,2910,2824,2872,2784,3065,2923,2776,2832,3164,2490
PUMA WT,1020,587,3241,3111,3068,3116,3018,2982,2934,2801,2785,2736,2719,2665,2950,2846,2654,2685,3061,2389
PUMA WT,1020,588,3161,3020,2989,3019,2932,2876,2852,2713,2688,2657,2645,2572,2855,2729,2570,2604,2937,2305
PUMA WT,1020,589,3058,2950,2894,2928,2851,2816,2763,2653,2610,2561,2594,2498,2759,2668,2529,2537,2895,2261
PUMA WT,1020,590,2966,2850,2799,2811,2744,2699,2682,2551,2514,2487,2487,2403,2680,2600,2412,2464,2771,2195
PUMA WT,1020,591,2864,2791,2725,2738,2682,2641,2609,2487,2446,2417,2427,2340,2616,2531,2354,2397,2720,2108
PUMA WT,1020,592,2771,2651,2627,2620,2586,2543,2491,2384,2357,2326,2322,2257,2515,2431,2265,2289,2596,2024
PUMA WT,1020,593,2685,2599,2559,2565,2512,2474,2446,2329,2308,2282,2279,2205,2444,2359,2193,2244,2519,1996
PUMA WT,1020,594,2617,2520,2460,2490,2412,2400,2365,2222,2234,2193,2172,2151,2393,2310,2144,2190,2467,1929
PUMA WT,1020,595,2535,2453,2410,2406,2372,2326,2292,2204,2193,2147,2125,2066,2304,2209,2066,2097,2367,1852
PUMA WT,1020,596,2457,2353,2332,2361,2285,2256,2247,2127,2107,2071,2064,2007,2227,2152,2020,2040,2337,1817
PUMA WT,1020,597,2390,2291,2257,2286,2229,2180,2161,2071,2033,2009,2022,1958,2170,2093,1954,1980,2235,1736
PUMA WT,1020,598,2283,2203,2168,2170,2144,2084,2060,1971,1947,1936,1912,1858,2073,1995,1848,1889,2133,1674
PUMA WT,1020,599,2201,2137,2107,2124,2051,2011,1990,1909,1879,1851,1838,1787,1998,1904,1802,1849,2069,1639
PUMA WT,1020,600,2158,2076,2036,2062,1990,1962,1969,1889,1834,1828,1796,1763,1962,1882,1750,1809,2032,1598
