,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS48,1020,497,17709,38114,34122,34740,34370,34220,37043,36738,34155,35536,32475,30689,35455,36112,35692,32552,31240,28742
GS48,1020,498,18254,39237,35258,35814,35541,35329,37970,37727,35050,36389,33478,31576,36249,37098,36614,33347,32246,29774
GS48,1020,499,18878,40609,36371,37084,36581,36487,38899,38534,35982,37442,34419,32626,37089,37951,37628,34356,33262,30720
GS48,1020,500,19358,41514,37336,37915,37577,37287,39463,39118,36637,38263,35076,33539,37670,38534,38182,35050,34126,31628
GS48,1020,501,20134,43028,38716,39394,38874,38683,40423,40174,37614,39309,36305,34874,38649,39560,39223,36133,35221,32839
GS48,1020,502,21219,45283,40760,41273,40796,40552,41989,41790,39241,41177,38207,36742,40168,41193,41021,37948,37048,34641
GS48,1020,503,21879,46705,41891,42501,41965,41728,42733,42634,40180,42221,39194,37839,40912,41907,41951,38850,38161,35868
GS48,1020,504,22771,48647,43647,44300,43794,43457,44072,44056,41493,43789,40741,39573,42170,43383,43469,40410,39796,37654
GS48,1020,505,23950,51069,45787,46490,45828,45513,45464,45461,43058,45621,42687,41585,43657,44812,45037,42078,41836,39618
GS48,1020,506,24895,52931,47756,48334,47583,47267,46618,46861,44271,47255,44173,43266,44868,46098,46456,43638,43332,41404
GS48,1020,507,25832,54964,49405,50078,49397,49064,47915,48032,45640,48756,45980,45023,46075,47509,48003,45279,45111,43119
GS48,1020,508,26844,57107,51399,52176,51241,50852,49153,49390,47126,50360,47592,46950,47415,48914,49544,46764,46901,45119
GS48,1020,509,27918,59528,53504,54126,53481,52937,50534,51024,48603,52260,49555,48973,48903,50379,51320,48607,48892,47140
GS48,1020,510,28717,61258,55027,55632,54935,54277,51542,51809,49670,53435,50870,50478,49764,51472,52533,49895,50413,48688
GS48,1020,511,29535,63152,56616,57561,56641,55981,52813,53153,50991,55116,52440,52291,50992,52735,53938,51477,52097,50555
GS48,1020,512,30261,64546,57954,58672,57790,57117,53536,54013,51833,56297,53649,53687,51729,53565,55017,52438,53358,51889
GS48,1020,513,30792,65744,58853,59792,58882,58088,54133,54546,52459,57094,54663,54669,52297,54314,55813,53475,54265,52943
GS48,1020,514,31046,66481,59534,60202,59401,58683,54240,54928,52806,57582,54997,55349,52627,54596,56243,53810,54821,53722
GS48,1020,515,31303,67094,60041,60904,59983,59252,54536,55124,53155,57964,55506,56000,53019,55014,56690,54446,55560,54532
GS48,1020,516,31021,66479,59433,60259,59403,58826,53974,54659,52751,57478,55214,55530,52328,54410,56233,54014,55190,54231
GS48,1020,517,30774,66110,59099,59833,59043,58308,53427,54113,52280,56976,54820,55325,51925,53984,55742,53656,54854,53969
GS48,1020,518,30649,65829,58835,59679,58867,58283,53254,53800,52199,56829,54744,55225,51617,53812,55743,53563,54762,54031
GS48,1020,519,29630,63520,56951,57604,56730,56194,51460,52043,50328,55092,52693,53367,49821,51737,53779,51649,53133,52447
GS48,1020,520,29208,62485,56008,56710,56064,55376,50661,51324,49562,54171,52037,52716,49331,51080,52874,51059,52411,51705
GS48,1020,521,28147,60396,54062,54619,54051,53586,48993,49561,47921,52534,50349,50909,47501,49519,51096,49259,50641,50015
GS48,1020,522,26844,57749,51670,52328,51729,51128,46900,47363,45838,50107,48140,48784,45503,47182,48890,47272,48446,47813
GS48,1020,523,26045,56035,50060,50869,50121,49742,45545,46080,44384,48609,46706,47154,44207,45869,47463,45732,46975,46405
GS48,1020,524,24595,52884,47291,47928,47251,46903,42989,43460,42024,45887,43985,44558,41749,43343,44877,43271,44293,43928
GS48,1020,525,23525,50582,45219,45816,45233,44775,41297,41587,40287,44073,42267,42558,39950,41501,43007,41353,42528,42017
GS48,1020,526,22466,48310,43163,43736,43300,42888,39488,39788,38460,42095,40303,40738,38315,39693,41067,39575,40685,40169
